YML Name,YML Resource Type,__pk_ResourceAttribute_ID
"driver_client_module","InstrumentAgent","2010179"
"definition","ResourceLifeCycle","2010635"
"definition_type","ResourceLifeCycle","2010634"
"url","Stream","2010217"
"instrument_family","InstrumentModel","2010032"
"manufacturer","InstrumentModel","2010030"
"model_label","InstrumentModel","2010029"
"primary_interface","InstrumentModel","2010035"
"encoding","Stream","2010216"
"original","Stream","2010218"
"exclusive_rights_status","DataProduct","2010126"
"geospatial_bounds","DataProduct","2010135"
"provider_acknowledgement","DataProduct","2010674"
"provider_project","DataProduct","2010124"
"version_status","DataProduct","2010118"
"data_quality_control_level","DataProduct","2010117"
"data_url","DataProduct","2010110"
"dataset_configuration_id","DataProduct","2010676"
"dataset_id","DataProduct","2010675"
"time_source","InstrumentAgent","2010182"
"driver_module","InstrumentAgent","2010177"
"definition_type","ProcessDefinition","2010641"
"driver_class","InstrumentAgent","2010178"
"data_record_description","InstrumentModel","2010034"
"geospatial_constraint","Site","2010223"
"temporal_constraint","Site","2010224"
"definition_type","ObjectType","2010642"
"signal_characteristics","SensorDevice","2010231"
"exclusive_rights_contact","DataProduct","2010128"
"exclusive_rights_end_date","DataProduct","2010127"
"exclusive_rights_notes","DataProduct","2010129"
"reference_url","InstrumentModel","2010031"
"writeable_storage","InstrumentModel","2010039"
"platform_type","PlatformModel","2010103"
"shore_networked","PlatformModel","2010102"
"maximum_crew","PlatformModel","2010104"
"serial_number","PlatformDevice","2010089"
"ION_onboard","PlatformModel","2010101"
"OOI_node_type","PlatformModel","2010100"
"manufacturer","PlatformModel","2010348"
"firmware_version","SensorDevice","2010228"
"model","SensorDevice","2010227"
"serial_number","SensorDevice","2010229"
"software_version","SensorDevice","2010232"
"datum_characteristics","SensorModel","2010602"
"query","Subscription","2010208"
"contact","ExternalDataProvider","2010273"
"institution","ExternalDataProvider","2010272"
"iso_topic_category","DataProduct","2010672"
"keywords","DataProduct","2010111"
"license","DataProduct","2010121"
"license_URI","DataProduct","2010122"
"identity_provider","UserCredentials","2010629"
"definition","ObjectType","2010638"
"xn_type","ExchangeName","2010275"
"topology_type","ExchangePoint","2010274"
"definition","Policy","2010650"
"definition_type","Policy","2010189"
"enabled","Policy","2010648"
"rule","Policy","2010649"
"ATBD_reference","DataProcess","2010332"
"source_code","DataProcess","2010333"
"CDM_data_type","DataProduct","2010119"
"ISO_spatial_representation_type","DataProduct","2010120"
"contact","DataProduct","2010677"
"data_contact","DataProduct","2010123"
"data_format","DataProduct","2010673"
"data_product_level","DataProduct","2010116"
"contact","ExternalDataset","2010271"
"dataset_description","ExternalDataset","2010266"
"update_description","ExternalDataset","2010267"
"manufacture_date","PlatformDevice","2010092"
"model","PlatformDevice","2010090"
"nominal_location","PlatformDevice","2010091"
"datum_characterization","InstrumentDevice","2010022"
"firmware_version","InstrumentDevice","2010018"
"lot_number","InstrumentDevice","2010021"
"manufacture_date","InstrumentDevice","2010020"
"serial_number","InstrumentDevice","2010019"
"manufacturer","SensorModel","2010599"
"model_label","SensorModel","2010598"
"reference_url","SensorModel","2010601"
"description","Resource","2012435"
"lcstate","Resource","2012436"
"name","Resource","2010690"
"ts_created","Resource","2012437"
"ts_updated","Resource","2012438"
