"Scenario","ID","owner_id","lcstate","org_ids","stream_def_id","dp/name","dp/description","dp/point_of_contact_list","dp/geospatial_bounds/geospatiallatmin","dp/geospatial_bounds/geospatiallatmax","dp/geospatial_bounds/geospatiallonmin","dp/geospatial_bounds/geospatiallonmax","dp/geospatial_bounds/minbottomdepth","dp/geospatial_bounds/maxbottomdepth","dp/geospatial_bounds/geospatialverticalpositive","dp/data_format","dp/processing_level_code","dp/quality_control_level","dp/version_status","dp/CDM_data_type","dp/ISO_spatial_representation_type","dp/license_URI","dp/exclusive_rights_status","dp/exclusive_rights_end_date","dp/exclusive_rights_notes","dp/acknowledgement","param_dict_type"
"DOC",,,,,,"data product name (crisp, unique for this resource type)","data product description (more detail than name, can be a few lines)",,"location bounds as minLat,maxLat,minLon,maxLon,minDepth,maxDepth (positive down system)",,,,,,,,,,,,,,,,,,"ctd"
"R2_DEMO","DPROD11","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef11","CTDBP-1012-REC1 Raw Endurance OR Offshore Benthic Pkg Demo","Raw stream from SBE37 simulator",,44.55,44.65,-125.45,-125.35,0,205,,,"Raw","a","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD12","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef12","CTDBP-1012-REC1 Parsed Endurance OR Offshore Benthic Pkg Demo","Parsed Stream from SBE37 simulator",,44.5,44.7,-125.5,-125.3,0,3000,,,"Parsed_Canonical","a","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD13","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef13","Sea_water_electrical_conductivity L0 Endurance OR Offshore Benthic Pkg Demo","OOI Core L0 Conductivity Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L0","a","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD14","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef14","Sea_water_conservative_temperature L0 Endurance OR Offshore Benthic Pkg Demo","OOI Core L0 Temperature Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L0","a","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD15","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef15","Sea_water_pressure L0 Endurance OR Offshore Benthic Pkg Demo","OOI Core L0 Pressure Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L0","a","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD16","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef16","Sea_water_electrical_conductivity L1 Endurance OR Offshore Benthic Pkg Demo","OOI Core L1 Conductivity Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L1","b","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD17","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef17","Sea_water_conservative_temperature L1 Endurance OR Offshore Benthic Pkg Demo","OOI Core L1 Temperature Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L1","b","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD18","USER_1","DEPLOYED_AVAILABLE","MF_3","StreamDef18","Sea_water_pressure L1 Endurance OR Offshore Benthic Pkg Demo","OOI Core L1 Pressure Data Product from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L1","b","active","station","textTable",,"Public",,,,"ctd"
"R2_DEMO","DPROD19","USER_1","DEPLOYED_PRIVATE","MF_3","StreamDef19","Sea_water_practical_salinity L2 Endurance OR Offshore Benthic Pkg Demo","OOI Core L2 Calculated Practical Salinity from the Endurance OR Offshore Benthic Pkg Site",,,,,,,,,,"L2","b","active","station","textTable",,"Public",,,,"ctd"
