"Scenario","ID","data_product_id","input_resource_id","comment"
"R2_DEMO",,"DPROD11","ID3","CTD Sim 1 Raw"
"R2_DEMO",,"DPROD12","ID3","CTD Sim 1 Parsed"
"R2_DEMO",,"DPROD21","ID4","CTD Sim 2 Raw"
"R2_DEMO",,"DPROD22","ID4","CTD Sim 2 Parsed"
"R2_DEMO",,"GumData1","GumDevice1","gumstix parsed"
"R2_DEMO",,"GumData2","GumDevice2","gumstix parsed"
"R2_DEMO",,"GumData3","GumDevice3","gumstix parsed"
"R2_DEMO",,"GumData4","GumDevice4","gumstix parsed"
"R2_DEMO",,"GumData5","GumDevice5","gumstix parsed"
"R2_DEMO",,"GumData6","GumDevice6","gumstix parsed"
"R2_DEMO",,"GumData7","GumDevice7","gumstix parsed"
"R2_DEMO",,"GumData8","GumDevice8","gumstix parsed"
"R2_DEMO",,"GumData9","GumDevice9","gumstix parsed"
"R2_DEMO",,"GumData10","GumDevice10","gumstix parsed"
"R2_DEMO",,"GumData11","GumDevice11","gumstix parsed"
"R2_DEMO",,"GumData12","GumDevice12","gumstix parsed"
"R2_DEMO",,"GumData13","GumDevice13","gumstix parsed"
"R2_DEMO",,"GumData14","GumDevice14","gumstix parsed"
"R2_DEMO",,"GumData15","GumDevice15","gumstix parsed"
"R2_DEMO",,"GumData16","GumDevice16","gumstix parsed"
"R2_DEMO",,"GumData17","GumDevice17","gumstix parsed"
"R2_DEMO",,"GumData18","GumDevice18","gumstix parsed"
"R2_DEMO",,"GumData19","GumDevice19","gumstix parsed"
"R2_DEMO",,"GumData20","GumDevice20","gumstix parsed"
"R2_DEMO",,"GumData21","GumDevice21","gumstix parsed"
"R2_DEMO",,"GumData22","GumDevice22","gumstix parsed"
"R2_DEMO",,"GumData23","GumDevice23","gumstix parsed"
"R2_DEMO",,"GumData24","GumDevice24","gumstix parsed"
"R2_DEMO",,"GumData25","GumDevice25","gumstix parsed"
"R2_DEMO",,"GumData26","GumDevice26","gumstix parsed"
"R2_DEMO",,"GumData27","GumDevice27","gumstix parsed"
"R2_DEMO",,"GumData28","GumDevice28","gumstix parsed"
"R2_DEMO",,"GumData29","GumDevice29","gumstix parsed"
"R2_DEMO",,"GumData30","GumDevice30","gumstix parsed"
"R2_DEMO",,"GumData31","GumDevice31","gumstix parsed"
"R2_DEMO",,"GumData32","GumDevice32","gumstix parsed"
"R2_DEMO",,"GumData33","GumDevice33","gumstix parsed"
"R2_DEMO",,"GumData34","GumDevice34","gumstix parsed"
"R2_DEMO",,"GumData35","GumDevice35","gumstix parsed"
"R2_DEMO",,"GumData36","GumDevice36","gumstix parsed"
"R2_DEMO",,"GumData37","GumDevice37","gumstix parsed"
"R2_DEMO",,"GumData38","GumDevice38","gumstix parsed"
"R2_DEMO",,"GumData39","GumDevice39","gumstix parsed"
"R2_DEMO",,"GumData40","GumDevice40","gumstix parsed"
"R2_DEMO",,"GumRaw1","GumDevice1","gumstix raw"
"R2_DEMO",,"GumRaw2","GumDevice2","gumstix raw"
"R2_DEMO",,"GumRaw3","GumDevice3","gumstix raw"
"R2_DEMO",,"GumRaw4","GumDevice4","gumstix raw"
"R2_DEMO",,"GumRaw5","GumDevice5","gumstix raw"
"R2_DEMO",,"GumRaw6","GumDevice6","gumstix raw"
"R2_DEMO",,"GumRaw7","GumDevice7","gumstix raw"
"R2_DEMO",,"GumRaw8","GumDevice8","gumstix raw"
"R2_DEMO",,"GumRaw9","GumDevice9","gumstix raw"
"R2_DEMO",,"GumRaw10","GumDevice10","gumstix raw"
"R2_DEMO",,"GumRaw11","GumDevice11","gumstix raw"
"R2_DEMO",,"GumRaw12","GumDevice12","gumstix raw"
"R2_DEMO",,"GumRaw13","GumDevice13","gumstix raw"
"R2_DEMO",,"GumRaw14","GumDevice14","gumstix raw"
"R2_DEMO",,"GumRaw15","GumDevice15","gumstix raw"
"R2_DEMO",,"GumRaw16","GumDevice16","gumstix raw"
"R2_DEMO",,"GumRaw17","GumDevice17","gumstix raw"
"R2_DEMO",,"GumRaw18","GumDevice18","gumstix raw"
"R2_DEMO",,"GumRaw19","GumDevice19","gumstix raw"
"R2_DEMO",,"GumRaw20","GumDevice20","gumstix raw"
"R2_DEMO",,"GumRaw21","GumDevice21","gumstix raw"
"R2_DEMO",,"GumRaw22","GumDevice22","gumstix raw"
"R2_DEMO",,"GumRaw23","GumDevice23","gumstix raw"
"R2_DEMO",,"GumRaw24","GumDevice24","gumstix raw"
"R2_DEMO",,"GumRaw25","GumDevice25","gumstix raw"
"R2_DEMO",,"GumRaw26","GumDevice26","gumstix raw"
"R2_DEMO",,"GumRaw27","GumDevice27","gumstix raw"
"R2_DEMO",,"GumRaw28","GumDevice28","gumstix raw"
"R2_DEMO",,"GumRaw29","GumDevice29","gumstix raw"
"R2_DEMO",,"GumRaw30","GumDevice30","gumstix raw"
"R2_DEMO",,"GumRaw31","GumDevice31","gumstix raw"
"R2_DEMO",,"GumRaw32","GumDevice32","gumstix raw"
"R2_DEMO",,"GumRaw33","GumDevice33","gumstix raw"
"R2_DEMO",,"GumRaw34","GumDevice34","gumstix raw"
"R2_DEMO",,"GumRaw35","GumDevice35","gumstix raw"
"R2_DEMO",,"GumRaw36","GumDevice36","gumstix raw"
"R2_DEMO",,"GumRaw37","GumDevice37","gumstix raw"
"R2_DEMO",,"GumRaw38","GumDevice38","gumstix raw"
"R2_DEMO",,"GumRaw39","GumDevice39","gumstix raw"
"R2_DEMO",,"GumRaw40","GumDevice40","gumstix raw"
