"Scenario","confluence","ID","owner_id","org_ids","site_id","device_id","activate","d/name","d/description","d/temporal_constraint"
"R2_DEMO",,"DEP1","USER_1","MF_3","LOGINS3","ID3","FALSE","dep1","deployment of first device",
"R2_DEMO",,"DEP2","USER_1","MF_3","LOGINS4","ID4","FALSE","dep2","deployment of second device",
"R2_DEMO",,"DEP3","USER_1","MF_3","LP3","PD3","FALSE","dep3","deployment of platform device 1",
"R2_DEMO",,"DEP4","USER_1","MF_3","LP4","PD4","FALSE","dep4","deployment of platform device 2",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","Deploy1","USER_1","MF_3","D1PlatformSite1","D1PlatformDevice1","FALSE","dep4","test deployment 1",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","Deploy2","USER_1","MF_3","D2InstrumentSite1","D2InstrumentDevice3","FALSE","dep4","test deployment 2",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","Deploy3","USER_1","MF_3","D3InstrumentSite1","D3InstrumentDevice4","FALSE","dep4","test deployment 3",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy1","USER_1","MF_3","GumSite1","GumDevice1","FALSE","GumDep1","deployment for gummi test device 1",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy2","USER_1","MF_3","GumSite2","GumDevice2","FALSE","GumDep2","deployment for gummi test device 2",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy3","USER_1","MF_3","GumSite3","GumDevice3","FALSE","GumDep3","deployment for gummi test device 3",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy4","USER_1","MF_3","GumSite4","GumDevice4","FALSE","GumDep4","deployment for gummi test device 4",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy5","USER_1","MF_3","GumSite5","GumDevice5","FALSE","GumDep5","deployment for gummi test device 5",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy6","USER_1","MF_3","GumSite6","GumDevice6","FALSE","GumDep6","deployment for gummi test device 6",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy7","USER_1","MF_3","GumSite7","GumDevice7","FALSE","GumDep7","deployment for gummi test device 7",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy8","USER_1","MF_3","GumSite8","GumDevice8","FALSE","GumDep8","deployment for gummi test device 8",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy9","USER_1","MF_3","GumSite9","GumDevice9","FALSE","GumDep9","deployment for gummi test device 9",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy10","USER_1","MF_3","GumSite10","GumDevice10","FALSE","GumDep10","deployment for gummi test device 10",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy11","USER_1","MF_3","GumSite11","GumDevice11","FALSE","GumDep11","deployment for gummi test device 11",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy12","USER_1","MF_3","GumSite12","GumDevice12","FALSE","GumDep12","deployment for gummi test device 12",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy13","USER_1","MF_3","GumSite13","GumDevice13","FALSE","GumDep13","deployment for gummi test device 13",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy14","USER_1","MF_3","GumSite14","GumDevice14","FALSE","GumDep14","deployment for gummi test device 14",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy15","USER_1","MF_3","GumSite15","GumDevice15","FALSE","GumDep15","deployment for gummi test device 15",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy16","USER_1","MF_3","GumSite16","GumDevice16","FALSE","GumDep16","deployment for gummi test device 16",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy17","USER_1","MF_3","GumSite17","GumDevice17","FALSE","GumDep17","deployment for gummi test device 17",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy18","USER_1","MF_3","GumSite18","GumDevice18","FALSE","GumDep18","deployment for gummi test device 18",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy19","USER_1","MF_3","GumSite19","GumDevice19","FALSE","GumDep19","deployment for gummi test device 19",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy20","USER_1","MF_3","GumSite20","GumDevice20","FALSE","GumDep20","deployment for gummi test device 20",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy21","USER_1","MF_3","GumSite21","GumDevice21","FALSE","GumDep21","deployment for gummi test device 21",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy22","USER_1","MF_3","GumSite22","GumDevice22","FALSE","GumDep22","deployment for gummi test device 22",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy23","USER_1","MF_3","GumSite23","GumDevice23","FALSE","GumDep23","deployment for gummi test device 23",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy24","USER_1","MF_3","GumSite24","GumDevice24","FALSE","GumDep24","deployment for gummi test device 24",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy25","USER_1","MF_3","GumSite25","GumDevice25","FALSE","GumDep25","deployment for gummi test device 25",
"R2_DEMO","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","GumDeploy26","USER_1","MF_3","GumSite26","GumDevice26","FALSE","GumDep26","deployment for gummi test device 26",
