"Scenario","ID","confluence","owner_id","lcstate","org_ids","instrument_model_id","platform_device_id","id/name","id/description","id/serial_number","id/firmware_version"
"R2_DEMO","ID3",,"USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"CTD Simulator 1 Demo","Simulator 1 providing CTD data in the LCA demonstration",10003,"0-00"
"R2_DEMO","ID4",,"USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"CTD Simulator 2 Demo","Simulator 2 replacement for 1 providing CTD data in the LCA demonstration",10004,"0-00"
"R2_DEMO","D1InstrumentDevice1","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2","D1PlatformDevice1","CTD Simulator 1 for deployment1","Simulator 1 providing CTD data in the LCA demonstration",10003,"0-00"
"R2_DEMO","D1InstrumentDevice2","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2","D1PlatformDevice1","CTD Simulator 2 for deployment1","Simulator 1 providing CTD data in the LCA demonstration",10003,"0-00"
"R2_DEMO","D2InstrumentDevice3","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"CTD Simulator for deployment 2","Simulator 1 providing CTD data in the LCA demonstration",10003,"0-00"
"R2_DEMO","D3InstrumentDevice4","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"CTD Simulator for deployment 3","Simulator 1 providing CTD data in the LCA demonstration",10003,"0-00"
"LCA_MANUAL","MANUAL",,,,,"IM2",,"Seabird CTD for Demo","Seabird Conductivity-Temperature-Depth instrument used for demonstration","tbd","tbd"
"R2_DEMO","GumDevice1","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"Gummi Flavor, Color, Softness sensor",,,
"R2_DEMO","GumDevice2","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"Gummi FCS sensor 2",,,
"R2_DEMO","GumDevice3","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","DEPLOYED_AVAILABLE","MF_3","IM2",,"Gummi FCS sensor 3",,,
