"Scenario","ID","confluence","owner_id","org_ids","parent_site_id","instrument_model_ids","is/name","is/description","is/geospatial_constraint/geospatiallatmin","is/geospatial_constraint/geospatiallatmax","is/geospatial_constraint/geospatiallonmin","is/geospatial_constraint/geospatiallonmax","is/geospatial_constraint/minbottomdepth","is/geospatial_constraint/maxbottomdepth","is/geospatial_constraint/geospatialverticalpositive","is/temporal_constraint","is/entity_constraint"
"R2_DEMO","LOGINS3",,"USER_1","MF_3","LP3","IM2","Logical instrument 1 Demo","First logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","LOGINS4",,"USER_1","MF_3","LP4","IM2","Logical instrument 2 Demo","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","D1PlatformSite1Instrument1","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","MF_3","D1PlatformSite1","IM2","logical instrument 1 for test deployment 1","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","D1PlatformSite1Instrument2","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","MF_3","D1PlatformSite1","IM2","logical instrument 2 for test deployment 1","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","D2InstrumentSite1","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","MF_3",,"IM2","logical instrument for test deployment 2","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","D3InstrumentSite1","https://confluence.oceanobservatories.org/display/CIDev/Preload+Data+for+Deployments+1-3","USER_1","MF_3",,"IM2","logical instrument for test deployment 3","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite1","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 1","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite2","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 2","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite3","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 3","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite4","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 4","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite5","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 5","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite6","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 6","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite7","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 7","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite8","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 8","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite9","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 9","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite10","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 10","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite11","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 11","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
"R2_DEMO","GumSite12","https://confluence.oceanobservatories.org/display/CIDev/gumstix+capacity+testing+preload","USER_1","MF_3","LP3","IM2","Gummi testing deployment site 12","Second logical simulator of CTD",32.882375,32.882385,-117.2321465,-117.2321455,100,140,"TRUE",,
