Textbox8,tbToday,Textbox2
All Instrument Type Counts,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

InstrumentTypes,Class,Family,Count
velocity_profile_mobile_asset,ADCPA,VEL,15
Velocity_Profile_Long_Range,ADCPS,VEL,16
Velocity_Profile_Short_Range,ADCPT,VEL,17
pressure_bottom_tilt,BOTPT,PRS,3
camera_digital_still_strobe,CAMDS,CAM,10
camera_digital_video_HD,CAMHD,CAM,1
CTD_AUV,CTDAV,CTD,3
CTD_bottom_pumped,CTDBP,CTD,18
CTD_glider,CTDGV,CTD,24
CTD_mooring,CTDMO,CTD,135
CTD_profiler,CTDPF,CTD,30
oxygen_dissolved_fastresp,DOFST,DO2,16
oxygen_dissolved_stable,DOSTA,DO2,67
flux_direct_cov_HP,FDCHP,FDC,7
flux_direct_cov_LP,FDCLP,FDC,3
Fluorometer_two_wavelength,FLORD,FLO,33
Fluorometer_three_wavelength,FLORT,FLO,42
IES_pressure_velocity,HPIES,IES,2
Hydrophone_BB_passive,HYDBB,HYD,6
Hydrophone_LF_passive,HYDLF,HYD,5
mass_spectrometer,MASSP,MSP,2
Meteorology_bulk,METBK,MET,18
nutrient_Nitrate,NUTNR,NIT,22
nutrient_four_channel,NUTR4,NUT,3
Seismometer_BB_triaxial_accel,OBSBB,OBS,3
Seismometer_BB_triaxial_keck,OBSBK,OBS,2
Seismometer_shortperiod,OBSSP,OBS,8
attenuation_absorption_optical,OPTAA,OPT,35
watersample_chem_trace,OSMOI,SFL,2
flow_benthic ,OTISF,SFL,1
PAR,PARAD,OPT,30
pCO2_air-sea,PCO2A,CO2,10
pCO2_water,PCO2W,CO2,25
pH_stable,PHSEN,CO2,33
DNA_particulate,PPSDN,RAS,1
pressure_SF,PRESF,PRS,9
pressure_SF_tidal,PREST,PRS,3
watersample_chem_trace_H2S_pH,RASFL,RAS,1
spectral_irradiance,SPKIR,OPT,22
Temp_H2_H2S_pH,THSPH,SFL,1
Temperature_seafloor,TMPSF,SFL,1
Temp_resist,TRHPH,SFL,1
Velocity_profile_50m_turb,VADCP,VEL,2
Velocity_point_3D_turb,VEL3D,VEL,32
Velocity_point,VELPT,VEL,21
wave_spectra_surface,WAVSS,WAV,8
plankton_ZP_sonar_coastal,ZPLSC,ZPL,8
plankton_ZP_sonar_global,ZPLSG,ZPL,4

