Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE01ISSM-MF004-01-DOSTA0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),004,01,DOSTA,0,999,25,25
CE01ISSM-MF004-02-PHSEN0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),004,02,PHSEN,0,999,25,25
CE01ISSM-MF004-03-OPTAA0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),004,03,OPTAA,0,999,25,25
CE01ISSM-MF004-04-PCO2W0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),004,04,PCO2W,0,999,25,25
CE01ISSM-MF004-05-ADCPT0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),004,05,ADCPT,0,999,25,25
CE01ISSM-MF005-01-CTDBP0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),005,01,CTDBP,0,999,25,25
CE01ISSM-MF005-02-ZPLSC0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),005,02,ZPLSC,0,999,25,25
CE01ISSM-MF005-03-VEL3D0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),005,03,VEL3D,0,999,25,25
CE01ISSM-MF005-04-PRESF0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),005,04,PRESF,0,999,25,25
CE01ISSM-MF005-05-CAMDS0999,Endurance OR Inshore Surface Mooring ,01,ISSM,MF (Multi-Function Node),005,05,CAMDS,0,999,25,25
CE01ISSM-RI002-01-DOSTA0999,Endurance OR Inshore Surface Mooring ,01,ISSM,RI (Mooring Riser),002,01,DOSTA,0,999,5,5
CE01ISSM-RI002-02-VELPT0999,Endurance OR Inshore Surface Mooring ,01,ISSM,RI (Mooring Riser),002,02,VELPT,0,999,5,5
CE01ISSM-RI002-03-PHSEN0999,Endurance OR Inshore Surface Mooring ,01,ISSM,RI (Mooring Riser),002,03,PHSEN,0,999,5,5
