__pk_ScreenLabel_ID,Text,Abbreviation
"2090003","ID",""
"2090004","Name",""
"2090005","Description",""
"2090006","Lifecycle State",""
"2090007","Created",""
"2090008","Modified",""
"2090009","Naming Authority",""
"2090010","Size",""
"2090011","Number of Associations",""
"2090012","Number of User Comments",""
"2090013","Number of Events",""
"2090014","Last Event ID",""
"2090015","Uptime",""
"2090016","Monitorable",""
"2090017","Message Controllable",""
"2090018","Operational State",""
"2090019","Model",""
"2090020","Firmware Version",""
"2090021","Serial Number",""
"2090022","Manufactured",""
"2090023","Lot Number",""
"2090024","Datum Characterizaion",""
"2090025","Software Version",""
"2090026","Sensors",""
"2090027","Location",""
"2090028","Orientation",""
"2090029","Site List",""
"2090030","Data Produced",""
"2090031","Model Label",""
"2090032","Manufacturer",""
"2090033","Reference URL",""
"2090034","Instrument Family",""
"2090035","Instrument Classes Supported",""
"2090037","Primary Interface",""
"2090038","Secondary Interfaces",""
"2090039","Baud Rate Default",""
"2090040","Data Rates",""
"2090041","Writable Storage",""
"2090042","Control Commands",""
"2090043","Data Streaming",""
"2090044","Data Polling",""
"2090045","Mixed Sampling Mode",""
"2090046","In-Line Management",""
"2090047","Driver Compatability",""
"2090048","Software Needed",""
"2090049","Standards",""
"2090050","Clock Type",""
"2090051","Clock Sync",""
"2090052","Clock Max Drift",""
"2090053","Clock Notes",""
"2090054","Dimentions",""
"2090055","Weight",""
"2090056","Buoyancy",""
"2090057","Materials",""
"2090058","Operational Depth Max",""
"2090059","Survival Depth Maximumn",""
"2090060","Operational Temperature Range",""
"2090062","Internal Data Storage",""
"2090063","Data Storage Capacity",""
"2090064","Sample Period Minimum",""
"2090065","Cold Start Boot Time",""
"2090066","Cold Start Sample Time",""
"2090067","Required On Time",""
"2090068","Hot Start Sample Time",""
"2090069","Power Source",""
"2090070","Current Type",""
"2090071","Voltage",""
"2090072","Wattage",""
"2090073","Maximum Survival Voltage",""
"2090074","Maximum Survival Current",""
"2090075","Electrical Notes",""
"2090076","Hotel Current",""
"2090077","Inrush Current",""
"2090078","Inrush Current Duration",""
"2090079","Integrated Inductive Modem",""
"2090080","Internal Battery",""
"2090081","Internal Battery Type",""
"2090082","Current Max",""
"2090083","Current Operational",""
"2090084","Current Standard",""
"2090086","Voltage Range",""
"2090087","Reagents",""
"2090088","Batteries",""
"2090089","Other",""
"2090090","Facepage",""
"2090091","Status",""
"2090092","Related",""
"2090093","Information",""
