__pk_jt_Block_Attribute,_fk_Block_ID,_fk_Attribute_ID,Position
"2001007","2060002","2010002","B1"
"2001008","2060002","2010001","B2"
"2001009","2060002","2010088","B3"
"2001010","2060002","2010017","B5"
"2001011","2060002","2010030","B6"
"2001012","2060003","2010025","B2"
"2001014","2060005","2010002","B1"
"2001015","2060005","2010105","B2"
"2001016","2060005","2010107","B3"
"2001017","2060006","2010152","B4"
"2001018","2060006","2010153","B5"
"2001019","2060006","2010150","B3"
"2001020","2060006","2010149","B2"
"2001021","2060006","2010148","B1"
"2001023","2060008","2010148","B3"
"2001024","2060008","2010149","B2"
"2001025","2060008","2010150","B4"
"2001026","2060008","2010151","B1"
"2001027","2060009","2010372","B1"
"2001028","2060009","2010335",""
"2001029","2060009","2010103","B4"
"2001030","2060032","2010098","B7"
"2001031","2060009","2010651","B2"
"2001032","2060010","2010160","B2"
"2001033","2060010","2010172","B1"
"2001034","2060010","2010173","B4"
"2001035","2060010","2010159","B3"
"2001036","2060011","2010004","B2"
"2001037","2060011","2010016","B1"
"2001038","2060011","2010174","B3"
"2001039","2060022","2010035","B1"
"2001040","2060022","2010036","B2"
"2001041","2060022","2010037","B3"
"2001042","2060022","2010038","B4"
"2001044","2060023","2010184","B1"
"2001045","2060023","2010185","B3"
"2001046","2060023","2010186","B2"
"2001047","2060023","2010187","B4"
"2001048","2060024","2010188","B1"
"2001049","2060024","2010189","B3"
"2001050","2060024","2010190","B5"
"2001052","2060025","2010048","B8"
"2001053","2060025","2010049","B7"
"2001057","2060026","2010081","B1"
"2001058","2060026","2010069","B2"
"2001059","2060026","2010070",""
"2001061","2060025","2010060","B5"
"2001063","2060025","2010061","B6"
"2001064","2060025","2010085","B3"
"2001065","2060025","2010086","B2"
"2001066","2060025","2010087","B4"
"2001067","2060029","2010024","B4"
"2001068","2060030","2010024","B4"
"2001069","2060028","2010001","B3"
"2001070","2060027","2010001","B4"
"2001071","2060007","2010337","B1"
"2001073","2060024","2010192","B4"
"2001074","2060002","2010020","B7"
"2001077","2060003","2010027","B1"
"2001078","2060003","2010334","B3"
"2001081","2060007","2010145","B2"
"2001082","2060007","2010338","B3"
"2001083","2060027","2010373","B1"
"2001084","2060027","2010195","B4"
"2001086","2060028","2010373","B1"
"2001087","2060027","2010340","B2"
"2001088","2060028","2010340","B2"
"2001089","2060028","2010195","B3"
"2001091","2060029","2010001","B2"
"2001092","2060029","2010341","B1"
"2001093","2060029","2010013","B3"
"2001094","2060029","2010342","B5"
"2001095","2060030","2010001","B2"
"2001096","2060030","2010341","B1"
"2001097","2060030","2010013","B3"
"2001098","2060030","2010342","B5"
"2001099","2060024","2010001","B2"
"2001100","2060027","2010003","B6"
"2001101","2060028","2010003","B6"
"2001102","2060027","2010344","B7"
"2001103","2060028","2010344","B7"
"2001104","2060026","2010067","B1"
"2001105","2060009","2010345","B6"
"2001106","2060009","2010383","B5"
"2001107","2060005","2010002","B4"
"2001108","2060005","2010105","B5"
"2001109","2060005","2010107","B6"
"2001112","2060031","2010001","B2"
"2001113","2060031","2010372","B1"
"2001114","2060031","2010103","B3"
"2001115","2060031","2010090","B4"
"2001116","2060031","2010348","B5"
"2001117","","2010303","B2"
"2001118","2060031","2010089","B6"
"2001119","2060031","2010092","B7"
"2001120","2060002","2010032","B4"
"2001121","2060032","2010350","B1"
"2001122","2060032","2010349","B2"
"2001123","2060032","2010362","B5"
"2001124","2060032","2010363","B4"
"2001125","2060033","",""
"2001126","2060033","2010094",""
"2001127","2060034","2010365",""
"2001128","2060035","2010365","B1"
"2001129","2060036","2010016","B1"
"2001130","2060036","2010004","B2"
"2001131","2060036","2010351","B3"
"2001132","2060037","2010365","B1"
"2001133","2060038","2010365",""
"2001134","2060039","2010002",""
"2001135","2060039","2010378",""
"2001136","2060039","2010363",""
"2001137","2060039","2010367",""
"2001138","2060039","2010365",""
"2001139","2060040","2010371","B2"
"2001140","2060040","2010001","B3"
"2001142","2060040","2010013",""
"2001143","2060040","2010342",""
"2001144","2060041","2010365",""
"2001145","2060042","2010365",""
"2001148","2060046","",""
"2001149","2060046","2010003",""
"2001150","2060047","2010365",""
"2001151","2060048","2010365",""
"2001152","2060049","2010365",""
"2001153","2060050","2010365",""
"2001154","2060051","",""
"2001161","","2010369","B1"
"2001162","2060040","2010370","B1"
"2001163","2060040","2010016","B4"
"2001164","2060053","2010004","B2"
"2001165","2060053","2010016","B1"
"2001166","2060053","2010342","B4"
"2001167","2060053","2010379","B5"
"2001168","2060053","2010380","B6"
"2001169","2060053","2010381","B7"
"2001170","2060053","2010382","B7"
"2001171","2060053","2010013","B3"
"2001172","2060054","2010016","B1"
"2001173","2060054","2010004","B2"
"2001174","2060054","2010013","B3"
"2001175","2060054","2010342","B4"
"2001176","2060054","2010379","B5"
"2001177","2060054","2010380","B6"
"2001178","2060054","2010381","B7"
"2001179","2060054","2010382","B8"
"2001180","2060002","2010005","B12"
"2001181","2060002","2010007","B11"
"2001184","2060002","2010021","B10"
"2001186","2060002","2010006","B13"
"2001187","2060011","2010014",""
"2001188","2060011","2010015",""
"2001189","2060011","2010018",""
"2001190","2060002","2010019","B9"
"2001191","2060002","2010029","B8"
"2001192","2060007","2010028",""
"2001193","2060007","2010022",""
"2001194","2060003","2010026","B4"
"2001195","2060010","2010031",""
"2001196","2060007","2010034",""
"2001197","2060007","2010033",""
"2001198","2060023","2010040",""
"2001199","2060022","2010039",""
"2001200","2060022","2010041",""
"2001201","2060022","2010042",""
"2001202","2060022","2010043",""
"2001203","2060022","2010044",""
"2001204","2060022","2010045",""
"2001205","2060022","2010046",""
"2001206","2060022","2010047",""
"2001207","2060025","2010050",""
"2001208","2060025","2010051",""
"2001209","2060025","2010052",""
"2001210","2060025","2010053",""
"2001211","2060025","2010054",""
"2001212","2060025","2010057",""
"2001213","2060025","2010056",""
"2001214","2060025","2010055",""
"2001215","2060025","2010058",""
"2001216","2060025","2010059",""
"2001217","2060025","2010062",""
"2001218","2060025","2010063",""
"2001219","2060025","2010064",""
"2001220","2060025","2010065",""
"2001221","2060025","2010066",""
"2001222","2060026","2010068",""
"2001224","2060026","2010071",""
"2001225","2060026","2010072",""
"2001226","2060026","2010073",""
"2001227","2060026","2010074",""
"2001228","2060026","2010075",""
"2001229","2060026","2010076",""
"2001230","2060026","2010077",""
"2001231","2060026","2010078",""
"2001232","2060026","2010079",""
"2001233","2060026","2010080",""
"2001234","2060026","2010082",""
"2001235","2060026","2010084",""
"2001236","2060026","2010083",""
"2001237","2060011","2010023",""
"2001238","2060011","2010176",""
"2001239","2060011","2010175",""
"2001240","2060010","2010391",""
"2001241","2060010","2010392",""
"2001242","2060033","2010091",""
"2001243","2060040","2010093",""
"2001244","2060033","2010095",""
"2001245","2060035","2010097",""
"2001246","2060033","2010099","B6"
"2001247","2060035","2010096",""
"2001249","2060024","2010193",""
"2001250","2060024","2010648",""
"2001251","2060024","2010649",""
"2001252","2060024","2010650",""
"2001253","2060010","2010384",""
"2001254","2060010","2010385",""
"2001255","2060003","2010386",""
"2001256","2060003","2010387",""
"2001257","2060055","",""
"2001258","2060055","2010003",""
"2001259","2060046","","B2"
