Scenario,ID,owner_id,mf_ids,data_process_definition_id,in_data_product_id,out_data_products
LCA_DEMO_PRE,DPROC1,USER_10,MF_RSN,DPD1,DPROD2,"{'conductivity':'DPROD3','pressure':'DPROD4','temperature':'DPROD5'}"
LCA_DEMO_PRE,DPROC2,USER_10,MF_RSN,DPD2,DPROD3,{'out':'DPROD6'}
LCA_DEMO_PRE,DPROC3,USER_10,MF_RSN,DPD3,DPROD4,{'out':'DPROD7'}
LCA_DEMO_PRE,DPROC4,USER_10,MF_RSN,DPD4,DPROD5,{'out':'DPROD8'}
LCA_DEMO_PRE,DPROC5,USER_10,MF_RSN,DPD5,DPROD2,{'out':'DPROD9'}
LCA_DEMO_PRE,DPROC6,USER_1,MF_3,DPD7,DPROD12,"{'conductivity':'DPROD13','pressure':'DPROD14','temperature':'DPROD15'}"
LCA_DEMO_PRE,DPROC7,USER_1,MF_3,DPD8,DPROD13,{'out':'DPROD16'}
LCA_DEMO_PRE,DPROC8,USER_1,MF_3,DPD9,DPROD14,{'out':'DPROD17'}
LCA_DEMO_PRE,DPROC9,USER_1,MF_3,DPD10,DPROD15,{'out':'DPROD18'}
LCA_DEMO_PRE,DPROC10,USER_1,MF_3,DPD11,DPROD12,{'out':'DPROD19'}
VIZ_DEMO_PRE,DPROC6,,,DPD12,,{'out':'DPROD21'}
VIZ_DEMO_PRE,DPROC7,,,DPD13,,{'out':'DPROD22'}
