Scenario,ID,data_product_id,input_resource_id,create_stream,comment
LCA_DEMO_PRE,,DPROD11,ID3,FALSE,CTD Sim 1 Raw
LCA_DEMO_PRE,,DPROD12,ID3,FALSE,CTD Sim 1 Parsed
NOT_NEEDED,,DPROD13,DPROC6,TRUE,CTD Sim L0 Cond
NOT_NEEDED,,DPROD14,DPROC6,TRUE,CTD Sim L0 Temp
NOT_NEEDED,,DPROD15,DPROC6,TRUE,CTD Sim L0 Pres
NOT_NEEDED,,DPROD16,DPROC7,TRUE,CTD Sim L1 Cond
NOT_NEEDED,,DPROD17,DPROC8,TRUE,CTD Sim L1 Temp
NOT_NEEDED,,DPROD18,DPROC9,TRUE,CTD Sim L1 Pres
NOT_NEEDED,,DPROD19,DPROC10,TRUE,CTD Sim L2 Sal
NOT_NEEDED,,DPROD20,DPROC12,TRUE,CTD Sim L2 Dens
