Textbox8,tbToday,Textbox2
Instrument Counts Per Subsite,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Observatory,SubsiteCode,SubsiteName,InstrumentCount
CE (Endurance Array),CE01ISSM,Endurance OR Inshore Surface Mooring ,20
CE (Endurance Array),CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,9
CE (Endurance Array),CE02SHBP,Endurance OR Shelf Benthic Pkg,11
CE (Endurance Array),CE02SHSM,Endurance OR Shelf Surface Mooring,15
CE (Endurance Array),CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring,9
CE (Endurance Array),CE04OSBP,Endurance OR Offshore Benthic Pkg,9
CE (Endurance Array),CE04OSHY,Endurance OR Offshore Hybrid Profiler Mooring,16
CE (Endurance Array),CE04OSSM,Endurance OR Offshore Surface Mooring,15
CE (Endurance Array),CE05MOAS,Endurance Mobile Assets,30
CE (Endurance Array),CE06ISSM,Endurance WA Inshore Surface Mooring ,20
CE (Endurance Array),CE06ISSP,Endurance WA Inshore Surface Piercing Profiler Mooring,9
CE (Endurance Array),CE07SHSM,Endurance WA Shelf Surface Mooring,25
CE (Endurance Array),CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,9
CE (Endurance Array),CE09OSPM,Endurance WA Offshore Profiler Mooring,5
CE (Endurance Array),CE09OSSM,Endurance WA Offshore Surface Mooring,23
CP (Pioneer Array),CP01CNSM,Pioneer Central Surface Mooring,21
CP (Pioneer Array),CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,9
CP (Pioneer Array),CP02PMCI,Pioneer Central Inshore Profiler Mooring,6
CP (Pioneer Array),CP02PMCO,Pioneer Central Offshore Profiler Mooring,6
CP (Pioneer Array),CP02PMUI,Pioneer Upstream Inshore Profiler Mooring,6
CP (Pioneer Array),CP02PMUO,Pioneer Upstream Offshore Profiler Mooring,6
CP (Pioneer Array),CP03ISSM,Pioneer Inshore Surface Mooring,20
CP (Pioneer Array),CP03ISSP,Pioneer Inshore Surface-Piercing Profiler Mooring,9
CP (Pioneer Array),CP04OSPM,Pioneer Offshore Profiler Mooring,5
CP (Pioneer Array),CP04OSSM,Pioneer Offshore Surface Mooring,19
CP (Pioneer Array),CP05MOAS,Pioneer Mobile Assets,48
GA (Global Argentine),GA01SUMO,Argentine Basin Surface Mooring,23
GA (Global Argentine),GA02HYPM,Argentine Basin Hybrid Profiler,12
GA (Global Argentine),GA03FLMA,Argentine Basin Flanking Mooring A,16
GA (Global Argentine),GA03FLMB,Argentine Basin Flanking Mooring B,16
GA (Global Argentine),GA05MOAS,Argentine Basin Mobile Assets,9
GI (Global Irminger),GI01SUMO,Irminger Sea Surface Mooring,23
GI (Global Irminger),GI02HYPM,Irminger Sea Hybrid Profiler,12
GI (Global Irminger),GI03FLMA,Irminger Sea Flanking Mooring A,16
GI (Global Irminger),GI03FLMB,Irminger Sea Flanking Mooring B,16
GI (Global Irminger),GI05MOAS,Irminger Sea Mobile Assets,9
GP (Global Papa),GP02HYPM,Station Papa Hybrid Profiler,12
GP (Global Papa),GP03FLMA,Station Papa Flanking Mooring A,16
GP (Global Papa),GP03FLMB,Station Papa Flanking Mooring B,16
GP (Global Papa),GP05MOAS,Station Papa Mobile Assets,9
GS (Global Southern),GS01SUMO,Southern Ocean Surface Mooring,23
GS (Global Southern),GS02HYPM,Southern Ocean Hybrid Profiler,12
GS (Global Southern),GS03FLMA,Southern Ocean Flanking Mooring A,16
GS (Global Southern),GS03FLMB,Southern Ocean Flanking Mooring B,16
GS (Global Southern),GS05MOAS,Southern Ocean Mobile Assets,9
RS (Regional),RS01HRBS,Hydrate Base,4
RS (Regional),RS01HRVM,Hydrate Mooring,29
RS (Regional),RS01SUM1,Southern Hydrate Summit 1,7
RS (Regional),RS01SUM2,Southern Hydrate Summit 2,5
RS (Regional),RS03ASHD,Ashes-Diffuse,7
RS (Regional),RS03ASHI,Ashes-Inferno,3
RS (Regional),RS03ASHS,Ashes-Seismic,4
RS (Regional),RS03AXBS,Axial Base,4
RS (Regional),RS03AXVM,Axial Mooring,29
RS (Regional),RS03ECAL,Eastern Caldera,4
RS (Regional),RS03NCAL,Northern Caldera,4

