__pk_Attribute_ID,Name,_fk_InformationLevel_ID,_fk_ScreenLabel_ID,_fk_InternalResourceType_ID,Value Generation,Alignment Status
"2010001","_ID (Instrument)","2020001","2090003","2190011","Value","Unknown"
"2010002","name","2020001","2090004","2190009","Value","Unknown"
"2010003","description","2020001","2090005","2190009","Value","Unknown"
"2010004","lifecycle_state","2020001","2090006","2190009","Value","Unknown"
"2010005","creation_date","2020001","2090007","2190009","Value","Unknown"
"2010006","modified_date","2020002","2090008","2190009","Value","Unknown"
"2010007","naming_authority_id","2020002","2090009","2190009","Calculated","Unknown"
"2010008","resource_size","2020002","2090010","2190009","Calculated","Unknown"
"2010009","number_of_associations","2020002","2090011","2190009","Calculated","Unknown"
"2010010","number_of_user_comments","2020002","2090012","2190009","Calculated","Unknown"
"2010011","number_of_events","2020003","2090013","2190009","Calculated","Unknown"
"2010012","last_event_id","2020001","2090014","2190009","Calculated","Unknown"
"2010013","uptime","2020001","2090015","2190009","Calculated","Unknown"
"2010014","monitorable","2020003","2090016","2190010","Value","Unknown"
"2010015","message_controllable","2020003","2090017","2190010","Value","Unknown"
"2010016","operational_state","2020001","2090018","2190010","Calculated","Unknown"
"2010017","Model","2020001","2090019","2190011","Value","Unknown"
"2010018","firmware_version","2020002","2090020","2190011","Value","Unknown"
"2010019","serial_number","2020002","2090021","2190011","Value","Unknown"
"2010020","manufacture_date","2020002","2090022","2190011","Value","Unknown"
"2010021","lot_number","2020003","2090023","2190011","Value","Unknown"
"2010022","datum_characterization","2020003","2090024","2190011","Value","Unknown"
"2010023","Software version","2020002","2090025","2190011","Calculated","Unknown"
"2010024","Sensors attached","2020001","2090026","2190011","Calculated","Unknown"
"2010025","Location","2020001","2090027","2190011","Calculated","Unknown"
"2010026","Orientation","2020002","2090028","2190011","Calculated","Unknown"
"2010027","Site List","2020003","2090029","2190011","Calculated","Unknown"
"2010028","Data produced","2020001","2090030","2190011","Calculated","Unknown"
"2010029","Model Label","2020003","2090031","2190012","Value","Unknown"
"2010030","Manufacturer","2020001","2090032","2190012","Value","Unknown"
"2010031","Reference URL","2020001","2090033","2190012","Value","Unknown"
"2010032","Instrument Family","2020001","2090034","2190012","Value","Unknown"
"2010033","Instrument Classes supported","2020003","2090035","2190012","Value","Unknown"
"2010034","Data Record Description","2020003","2090036","2190012","Value","Unknown"
"2010035","Primary interface","2020001","2090037","2190012","Value","Unknown"
"2010036","Secondary interfaces","2020001","2090038","2190012","Value","Unknown"
"2010037","Baud Rate default","2020001","2090039","2190012","Value","Unknown"
"2010038","Data rates","2020001","2090040","2190012","Value","Unknown"
"2010039","Writeable storage","2020002","2090041","2190012","Value","Unknown"
"2010040","Control commands","2020003","2090042","2190012","Value","Unknown"
"2010041","Data streaming","2020002","2090043","2190012","Value","Unknown"
"2010042","Data polling","2020002","2090044","2190012","Value","Unknown"
"2010043","Mixed Sampling Mode","2020002","2090045","2190012","Value","Unknown"
"2010044","In-line management","2020003","2090046","2190012","Value","Unknown"
"2010045","Driver compatibility","2020003","2090047","2190012","","Unknown"
"2010046","Software needed","2020003","2090048","2190012","Value","Unknown"
