__pk_Group_ID,Name,_fk_ScreenLabel_ID,Description
"2070001","Information","2090093",""
"2070002","Data","2090097",""
"2070003","Administration","2090098",""
"2070004","Recent Events","2090105",""
"2070005","Planned Events","2090100",""
"2070006","Science Sensors","2090107",""
"2070007","Engineering Sensors","2090108",""
"2070008","Instruments","2090264",""
"2070010","Reference","2090384",""
"2070011","Status Overview","2090385",""
"2070012","Status Bar","2090389","Top right screen area - opposite resource name."
"2070013","Supplements","2090422",""
"2070014","Versions","2090423",""
"2070015","Data Products","2090441",""
"2070016","Data Processes","2090440",""
"2070017","Power Details","2090442",""
"2070018","Communication Details","2090443",""
"2070019","Data Details","2090444",""
"2070020","Location Details","2090445",""
