__pk_jt_Group_Block_ID,_fk_Group_ID,_fk_Block_ID,Position,_fk_InformationLevel_ID,_fk_Representation_ID
"2000006","2070001","2060002","G1","2020001",""
"2000007","2070001","2060003","G2","2020001",""
"2000009","2070001","2060005","G4","2020001",""
"2000010","2070002","2060008","G2","2020001",""
"2000011","2070002","2060007","G3","2020001",""
"2000012","2070002","2060006","G1","2020001",""
"2000013","2070003","2060009","G1","2020001",""
"2000015","2070003","2060010","G2","2020001",""
"2000016","2070003","2060011","G6","2020001",""
"2000017","2070003","2060023","G7","2020001",""
"2000018","2070003","2060024","G8","2020001",""
"2000019","2070003","2060025","G3","2020001",""
"2000020","2070003","2060026","G5","2020001",""
"2000021","2070004","2060027","G1","2020001",""
"2000022","2070005","2060028","G1","2020001",""
"2000023","2070006","2060029","G1","2020001",""
"2000024","2070007","2060030","","",""
"2000025","2070003","2060022","G4","2020001",""
"2000026","2070001","2060031","G1","2020001",""
"2000027","2070003","2060032","","2020001",""
"2000028","2070001","2060033","G2","2020001",""
"2000029","2070003","2060034","","2020001",""
"2000030","2070003","2060035","","2020001",""
"2000031","2070003","2060036","","2020001",""
"2000032","2070003","2060037","","2020001",""
"2000033","2070003","2060038","","2020001",""
"2000034","2070003","2060039","","2020001",""
"2000035","2070008","2060040","","",""
"2000042","2070010","2060041","G1","2020001",""
"2000043","2070010","2060042","G2","2020001",""
"2000045","2070001","2060046","G3","2020001",""
"2000046","2070011","2060047","","",""
"2000047","2070011","2060048","","",""
"2000048","2070011","2060049","","",""
"2000049","2070011","2060050","","",""
"2000050","2070011","2060051","","",""
"2000052","2070012","2060053","G0","2020001",""
"2000053","2070012","2060054","G0","2020001",""
"2000054","2070001","2060055","G3","",""
