__pk_jt_View_Group_ID,_fk_View_ID,_fk_Group_ID,Position
"2990001","2250001","2070001","V1"
"2990002","2250001","2070002","V2"
"2990003","2250001","2070003","V3"
"2990004","2250001","2070005","V4"
"2990005","2250001","2070004","V4"
"2990006","2250001","2070010","V3"
"2990007","2250001","2070006","V5"
"2990008","2250001","2070007","V5"
"2990009","2250001","2070008","V5"
"2990011","2250001","2070012","V0"
"2990012","2250002","2070001","V1"
"2990013","2250002","2070011","V0"
"2990014","2250002","2070008",""
"2990015","2250002","2070006",""
"2990016","2250002","2070007",""
"2990017","2250002","2070015",""
"2990018","2250002","2070016",""
"2990019","2250002","2070004",""
"2990020","2250002","2070005",""
