Scenario,ID,owner_id,confluence,type,south,north,west,east,top,bottom,vertical_direction,start,end,time_format
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,,,
DOC,IDs must be unique across ALL scenarios. Scenarios are ignored during preload,,,geospatial or temporal,,,,,,,elevation or depth,date and time in format specified,,"python time formatting string, or blank for default ISO: '%Y-%m-%dT%H:%M:%S' (ie- 2012-09-24T17:33:00) 2-digit month and day, GMT time."
BETA,GEO1,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,32.88237,32.88237,-117.23214,-117.23214,100,140,depth,,,
BETA,GEO2,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,44.5,44.7,-125.5,-125.3,0,3000,depth,,,
BETA,GEO3,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,47.6,47.7,-122.3,-122.2,0,5,depth,,,
R2_DEMO,GEO4,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,41.5,41.6,-70.6,-70.5,0,0,depth,,,
R2_DEMO,GEO5,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,44.45,44.55,-125.45,-125.35,2905,2907,depth,,,
BETA,TEMP1,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,temporal,,,,,,,,2011-01-01T0:00:00,2054-01-01T0:00:00,
BETA,GEO_UW,USER_1,,geospatial,47.6,47.7,-122.3,-122.2,0,0,depth,,,
BETA,GEO_WHOI,USER_1,,geospatial,41.5,41.6,-70.6,-70.5,0,0,depth,,,
IDK,GEO_IDK,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,geospatial,44.45,44.55,-125.45,-125.35,2905,2907,depth,,,
IDK,TEMP_IDK,USER_1,https://confluence.oceanobservatories.org/display/CIDev/Preload+constraints,temporal,,,,,,,,2011-01-01T0:00:00,2054-01-01T0:00:00,
BETA,GEO_WHOI2,USER_1,,geospatial,41.5,41.6,-70.6,-70.5,0,0,depth,,,
FOO,GEO_WHOI3,USER_1,,geospatial,41.5,41.6,-70.6,-70.5,0,0,depth,,,
