Scenario,ID,owner_id,lcstate,org_ids,stream_def_id,persist_metadata,persist_data,geo_constraint_id,coordinate_system_id,contact_ids,dp/name,dp/description,dp/processing_level_code,dp/quality_control_level,dp/ISO_spatial_representation_type,dp/ooi_short_name,dp/ooi_product_name,obsolete/available_formats,dp/license_uri,dp/exclusive_rights_status,dp/exclusive_rights_end_date,dp/exclusive_rights_notes,param_dict_type,parent
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,,,,,,,,,,,,,
DOC,,,,,,,,choose a GEOSPATIAL row from constraint tab (not TEMPORAL),,,"data product name (crisp, unique for this resource type)","data product description (more detail than name, can be a few lines)",,,,,,,,,,,values found in res/config/param_dict_defs.yml,
R2_DEMO,DPROD11,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef11,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator 1 Raw,Raw stream from SBE37 simulator on Beta Demonstration Platform,Raw,a,textTable,,Raw,"csv,netcdf",,Public,,,raw,
R2_DEMO,DPROD12,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef12,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator 1 Parsed,Parsed Stream from SBE37 simulator on Beta Demonstration Platform,Parsed_Canonical,a,textTable,,Parsed,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD13,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef13,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator CONDWAT L0,OOI Core L0 Conductivity Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L0,a,textTable,CONDWAT,Conductivity,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD14,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef14,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator TEMPWAT L0,OOI Core L0 Temperature Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L0,a,textTable,TEMPWAT,Temperature,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD15,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef15,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator PRESWAT L0,OOI Core L0 Pressure Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L0,a,textTable,PRESWAT,Pressure,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD16,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef16,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator CONDWAT L1,OOI Core L1 Conductivity Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L1,b,textTable,CONDWAT,Conductivity,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD17,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef17,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator TEMPWAT L1,OOI Core L1 Temperature Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L1,b,textTable,TEMPWAT,Temperature,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
R2_DEMO,DPROD18,USER_1,DEPLOYED_AVAILABLE,MF_3,StreamDef18,TRUE,TRUE,GEO2,SUBMERGED,"M_MANAGER,O_OWNERREP",SBE37SMP Simulator PRESWAT L1,OOI Core L1 Pressure Data Product from the SBE37SMP Simulator on Beta Demonstration Platform,L1,b,textTable,PRESWAT,Pressure,"csv,netcdf",,Public,,,ctd_parsed_param_dict,
