Scenario,ID,data_product_id,input_resource_id,source_resource_id,resource_type,comment
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,
DOC,,The data product preload ID,The resource to be linked to - link assocuation depends on value in column resource_type,"Additionally, association of type hasSource from DataProduct to an InstrumentDevice or PlatformDevice.",Type of input_resource_id (behavior will be different for different types),
OOIR2_ALPHA,LINK34,DP_ID12_RAW,ID_BTST_SBE37,ID_BTST_SBE37,InstrumentDevice,SBE37SMP Raw
OOIR2_ALPHA,LINK35,DP_ID12,ID_BTST_SBE37,ID_BTST_SBE37,InstrumentDevice,SBE37SMP Parsed
OOIR2_ALPHA,LINK79,DPROD27,,ID_BTST_SBE37,InstrumentDevice,
OOIR2_ALPHA,LINK80,DPROD28,,ID_BTST_SBE37,InstrumentDevice,
OOIR2_ALPHA,LINK81,DPROD29,,ID_BTST_SBE37,InstrumentDevice,
OOIR2_ALPHA,LINK82,DPROD30,,ID_BTST_SBE37,InstrumentDevice,
OOIR2_ALPHA,LINK83,DPROD31,,ID_BTST_SBE37,InstrumentDevice,
OOIR2_ALPHA,LINK79A,DPROD27,,IS_BTST_SBE37,InstrumentSite,
OOIR2_ALPHA,LINK80A,DPROD28,,IS_BTST_SBE37,InstrumentSite,
OOIR2_ALPHA,LINK81A,DPROD29,,IS_BTST_SBE37,InstrumentSite,
OOIR2_ALPHA,LINK82A,DPROD30,,IS_BTST_SBE37,InstrumentSite,
OOIR2_ALPHA,LINK83A,DPROD31,,IS_BTST_SBE37,InstrumentSite,
OOIR2_DEMO,LINK38,DPROD51,ID_BTST_CTDSIM0,ID_BTST_CTDSIM0,InstrumentDevice,CTD Sim Beta Raw
OOIR2_DEMO,LINK39,DPROD52,ID_BTST_CTDSIM0,ID_BTST_CTDSIM0,InstrumentDevice,CTD Sim Beta Parsed
OOIR2_DEMO,LINK89,DPROD56,,ID_BTST_CTDSIM0,InstrumentDevice,
OOIR2_DEMO,LINK90,DPROD57,,ID_BTST_CTDSIM0,InstrumentDevice,
OOIR2_DEMO,LINK91,DPROD58,,ID_BTST_CTDSIM0,InstrumentDevice,
OOIR2_DEMO,LINK92,DPROD59,,ID_BTST_CTDSIM0,InstrumentDevice,
OOIR2_DEMO,LINK93,DPROD60,,ID_BTST_CTDSIM0,InstrumentDevice,
OOIR2_DEMO,LINK89A,DPROD56,,IS_BTST_CTDSIM0,InstrumentSite,
OOIR2_DEMO,LINK90A,DPROD57,,IS_BTST_CTDSIM0,InstrumentSite,
OOIR2_DEMO,LINK91A,DPROD58,,IS_BTST_CTDSIM0,InstrumentSite,
OOIR2_DEMO,LINK92A,DPROD59,,IS_BTST_CTDSIM0,InstrumentSite,
OOIR2_DEMO,LINK93A,DPROD60,,IS_BTST_CTDSIM0,InstrumentSite,
OOIR2_DEMO,LINK1,DPROD11,ID_BTST_CTDSIM1,ID_BTST_CTDSIM1,InstrumentDevice,CTD Sim 1 Raw
OOIR2_DEMO,LINK2,DPROD12,ID_BTST_CTDSIM1,ID_BTST_CTDSIM1,InstrumentDevice,CTD Sim 1 Parsed
OOIR2_DEMO,LINK6,DPROD16,,ID_BTST_CTDSIM1,InstrumentDevice,
OOIR2_DEMO,LINK7,DPROD17,,ID_BTST_CTDSIM1,InstrumentDevice,
OOIR2_DEMO,LINK8,DPROD18,,ID_BTST_CTDSIM1,InstrumentDevice,
OOIR2_DEMO,LINK9,DPROD19,,ID_BTST_CTDSIM1,InstrumentDevice,
OOIR2_DEMO,LINK10,DPROD20,,ID_BTST_CTDSIM1,InstrumentDevice,
OOIR2_DEMO,LINK6A,DPROD16,,IS_BTST_CTDSIM1,InstrumentSite,
OOIR2_DEMO,LINK7A,DPROD17,,IS_BTST_CTDSIM1,InstrumentSite,
OOIR2_DEMO,LINK8A,DPROD18,,IS_BTST_CTDSIM1,InstrumentSite,
OOIR2_DEMO,LINK9A,DPROD19,,IS_BTST_CTDSIM1,InstrumentSite,
OOIR2_DEMO,LINK10A,DPROD20,,IS_BTST_CTDSIM1,InstrumentSite,
OOIR2_DEMO,LINK11,DPROD21,ID_BTST_CTDSIM2,ID_BTST_CTDSIM2,InstrumentDevice,CTD Sim 2 Raw
OOIR2_DEMO,LINK12,DPROD22,ID_BTST_CTDSIM2,ID_BTST_CTDSIM2,InstrumentDevice,CTD Sim 2 Parsed
OOIR2_DEMO,LINK16,DPROD16,,ID_BTST_CTDSIM2,InstrumentDevice,
OOIR2_DEMO,LINK17,DPROD17,,ID_BTST_CTDSIM2,InstrumentDevice,
OOIR2_DEMO,LINK18,DPROD18,,ID_BTST_CTDSIM2,InstrumentDevice,
OOIR2_DEMO,LINK19,DPROD19,,ID_BTST_CTDSIM2,InstrumentDevice,
OOIR2_DEMO,LINK20,DPROD20,,ID_BTST_CTDSIM2,InstrumentDevice,
OOIR2_DEMO,LINK27,DP_PD3,PD_BTST_RSN1,PD_BTST_RSN1,PlatformDevice,Platform Engineering Data Product
OOIR2_DEMO,LINK27A,DP_PD3,,PS_BTST_RSN,PlatformSite,Platform Engineering Data Product
