Scenario,ID,owner_id,lcstate,org_ids,instrument_model_ids,ia/name,ia/description,ia/agent_version,ia/driver_uri,ia/driver_module,ia/driver_class,stream_configurations,agent_default_config
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,"[0] must be raw, [1] must be parsed, then engineering",
OOIR2_I,IA_CTDBP_CDEF,,DEPLOYED_AVAILABLE,,,CTDBP Instrument Agent,"CTD for SBE16plusV2 Strain Gauge, no external instruments",0.5,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe16plus_v2_ooicore-0.0.6-py2.7.egg,mi.instrument.seabird.sbe16plus_v2.ooicore.driver,InstrumentDriver,"SC1,SC13,SC14,SC15",aparam_pubrate_config:0
OOIR2_I,IA_PRESF_A,,DEPLOYED_AVAILABLE,,,PRESF Instrument Agent,SBE 26plus,0.7,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe26plus_ooicore-0.0.8-py2.7.egg,,,"SC1,SC4,SC10,SC11,SC65,SC66",aparam_pubrate_config:0
OOIR2_I,IA_PREST_AB,,DEPLOYED_AVAILABLE,,,PREST Instrument Agent,SBE 54 Tsunami Pressure Sensor,0.1,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe54tps_ooicore-0.1.2-py2.7.egg,mi.instrument.seabird.sbe54tps.ooicore.driver,InstrumentDriver,"SC1,SC27,SC28,SC29,SC30,SC31,SC32",aparam_pubrate_config:0
OOIR2_I,IA_TMPSF_A,,DEPLOYED_AVAILABLE,,,TMPSF agent,TMPSF,0.2,http://sddevrepo.oceanobservatories.org/releases/rbr_xr_420_thermistor_24_ooicore-0.0.2-py2.7.egg,,,"SC1,SC81,SC82",aparam_pubrate_config:0
OOIR2_I,IA_VEL3D_B,,DEPLOYED_AVAILABLE,,,VEL3D_B agent,VEL3D,0.1,http://sddevrepo.oceanobservatories.org/releases/nobska_mavs4_ooicore-0.0.7-py2.7.egg,,,"SC1,SC25,SC26",aparam_pubrate_config:0
OOIR2_I,IA_TRHPH_A,,DEPLOYED_AVAILABLE,,,TRHPH Instrument Agent,Temperature and Resistivity Probe,0.1,,mi.instrument.uw.bars.ooicore.driver,ooicoreInstrumentDriver,"SC1,SC22",aparam_pubrate_config:0
OOIR2_IX,IA_OPTAA_CD,,DEPLOYED_AVAILABLE,,,OPTAA Instrument Agent,Agent for Optical Attenuation and Absorption Instrument (OPTAA),0.2,http://sddevrepo.oceanobservatories.org/releases/wetlabs_ac_s_ooicore-0.0.2-py2.7.egg,mi.instrument.wetlabs.ac_s.ooicore.driver,InstrumentDriver,"SC1,SC49,SC50","aparam_pubrate_config.raw:10, aparam_pubrate_config.optaa_sample:10, aparam_pubrate_config.optaa_status:10"
OOIR2_DEMO,IA_XSBE37_A,,DEPLOYED_AVAILABLE,,IM_SBE37,SBE37SMP Instrument Agent (old streams),Seabird 37 CTD Instrument Agent,0.3,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.1.3-py2.7.egg,,,"SC1,SC2",aparam_pubrate_config:0
OOIR2_DEMO,IA_XSBE37_B,,DEPLOYED_AVAILABLE,,IM_SBE37,SBE37SMP Instrument Agent (new streams),Seabird 37 CTD Instrument Agent,0.3,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.1.3-py2.7.egg,,,"SC1,SC84",aparam_pubrate_config:0
NOSE,IA1N,USER_1,DEPLOYED_AVAILABLE,MF_TEST,IM_NOSE,Test instrumentAgent,For nose tests,0.5,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.0.5-py2.7.egg,,,"SC1,SC2",aparam_pubrate_config:0
BETA,IA2,USER_1,DEPLOYED_AVAILABLE,MF_3,IM2,SBE37SMP Instrument Agent,Seabird 37 CTD Instrument Agent,0.3,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.1.3-py2.7.egg,,,"SC1,SC2",aparam_pubrate_config:0
BETA,IA13,USER_1,DEPLOYED_AVAILABLE,MF_3,IM2,SBE37SMP Instrument Agent,Seabird 37 CTD Instrument Agent,0.3,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.1.3-py2.7.egg,,,"SC1,SC84","aparam_pubrate_config.raw:10, aparam_pubrate_config.optaa_sample:10, aparam_pubrate_config.optaa_status:10"
PRESF,IA4,USER_1,DEPLOYED_AVAILABLE,MF_3,IM5,PRESF Instrument Agent,SBE 26plus,0.8,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe26plus_ooicore-0.0.8-py2.7.egg,,,"SC1,SC4,SC10,SC11,SC65,SC66",aparam_pubrate_config:0
CTDBP,IA5,USER_1,DEPLOYED_AVAILABLE,MF_3,IM6,CTDBP Instrument Agent,"CTD for SBE16plusV2 Strain Gauge, no external instruments",0.5,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe16plus_v2_ooicore-0.0.6-py2.7.egg,mi.instrument.seabird.sbe16plus_v2.ooicore.driver,InstrumentDriver,"SC1,SC13,SC14,SC15",aparam_pubrate_config:0
PREST,IA7,USER_1,DEPLOYED_AVAILABLE,MF_3,IM8,PREST Instrument Agent,SBE 54 Tsunami Pressure Sensor,0.1,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe54tps_ooicore-0.1.2-py2.7.egg,mi.instrument.seabird.sbe54tps.ooicore.driver,InstrumentDriver,"SC1,SC27,SC28,SC29,SC30,SC31,SC32",aparam_pubrate_config:0
DEVS,IA3,USER_1,DEPLOYED_AVAILABLE,MF_3,IM4,PARAD Instrument Agent,,0.1,,mi.instrument.satlantic.par_ser_600m.ooicore.driver,InstrumentDriver,"SC1,SC3",aparam_pubrate_config:0
DEVS,IA8,USER_1,DEPLOYED_AVAILABLE,MF_3,IM9,VELPT Instrument Agent,Aquadopp Current Meters,0.1,,mi.instrument.nortek.aquadopp.ooicore.driver,InstrumentDriver,"SC1,SC7",aparam_pubrate_config:0
DEVS,IA6,USER_1,DEPLOYED_AVAILABLE,MF_3,IM7,TRHPH Instrument Agent,Temperature and Resistivity Probe,0.1,,mi.instrument.uw.bars.ooicore.driver,ooicoreInstrumentDriver,"SC1,SC22",aparam_pubrate_config:0
DEVS,IA9,USER_1,DEPLOYED_AVAILABLE,MF_3,IM10,NUTNR Instrument Agent,Satlantic ISUS V3 Nitrate Sensor,0.1,,mi.instrument.satlantic.isusv3.ooicore.driver,InstrumentDriver,"SC1,SC8",aparam_pubrate_config:0
XXX,IDK_AGENT,IDK_USER,DEPLOYED_AVAILABLE,IDK_ORG,IDK_MODEL,IDK Agent,Placeholder definition for IDK definition of instrument driver,0.1,,UNKNOWN,InstrumentDriver,"IDK_SC_RAW,IDK_SC_PARSED",aparam_pubrate_config:0
xxx,xxx,USER_1,DEPLOYED_AVAILABLE,MF_3,IM2,SBE37SMP Instrument Omelette,Seabird 37 CTD Instrument Agent,0.2,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.0.2-py2.7.egg,mi.instrument.seabird.sbe37smb.ooicore.driver,SBE37Driver,"SC1,SC2",aparam_pubrate_config:0
TMPSF,IA11,USER_1,DEPLOYED_AVAILABLE,MF_3,IM11,TMPSF agent,TMPSF,0.2,http://sddevrepo.oceanobservatories.org/releases/rbr_xr_420_thermistor_24_ooicore-0.0.2-py2.7.egg,,,"SC1,SC81,SC82",aparam_pubrate_config:0
VEL3D_B,IA12,USER_1,DEPLOYED_AVAILABLE,MF_3,IM12,VEL3D_B agent,VEL3D_B Agent,0.1,http://sddevrepo.oceanobservatories.org/releases/nobska_mavs4_ooicore-0.0.7-py2.7.egg,,,"SC1,SC25,SC26",aparam_pubrate_config:0
JN,IA14,USER_1,DEPLOYED_AVAILABLE,MF_3,IM2,SBE37SMP Instrument Agent with derived params,Seabird 37 CTD Instrument Agent,0.1,http://sddevrepo.oceanobservatories.org/releases/seabird_sbe37smb_ooicore-0.1.2-py2.7.egg,,,"SC1,SC92",aparam_pubrate_config:0
OPTAA,IA15,USER_1,DEPLOYED_AVAILABLE,MF_3,IM13,OPTAA agent,Agent for Optical Attenuation and Absorption Instrument (OPTAA),0.2,http://sddevrepo.oceanobservatories.org/releases/wetlabs_ac_s_ooicore-0.0.2-py2.7.egg,mi.instrument.wetlabs.ac_s.ooicore.driver,InstrumentDriver,"SC1,SC49,SC50","aparam_pubrate_config.raw:10, aparam_pubrate_config.optaa_sample:10, aparam_pubrate_config.optaa_status:10"
METBK,IA16,USER_1,DEPLOYED_AVAILABLE,MF_3,,METBK Agent,Bulk Meteorology measurements,0.1,http://sddevrepo.oceanobservatories.org/releases/star_asimet_bulkmet_metbk_a-0.0.1-py2.7.egg,mi.instrument.star_asimet.bulkmet.metbk_a.driver',InstrumentDriver,,aparam_pubrate_config:0
