Scenario,Confluence,ID,owner_id,org_ids,instrument_agent_id,instrument_device_id,start_agent,iai/name,iai/description,iai/svr_addr,iai/comms_method,iai/comms_device_address,iai/comms_device_port,comms_server_address,comms_server_port,comms_server_cmd_port,iai/port_agent_work_dir,obsolete/stream_configurations
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,,,,,,,
DOC,,,,,,,,,,used by instrument agent to reach instrument driver.,,used by port agent to reach instrument,used by port agent to reach instrument,used in instrument driver and platform agent to reach port agent,used by instrument driver for data communications with port agent,used by instrument driver and platform agent for control of the port agent,,
R2_DEMO,,IAI3,USER_1,MF_3,IA2,ID3,FALSE,CTD Simulator 1 Demo Agent Instance,,localhost,ethernet,sbe37-simulator.oceanobservatories.org,4001,localhost,8890,9000,/tmp/,"SC1,SC2"
ALPHA_SYS,,IA14,USER_1,MF_3,IA2,ID13,FALSE,CTD Simulator Alpha Agent Instance,,localhost,ethernet,sbe37-simulator.oceanobservatories.org,4001,rsn-port-agent-test.oceanobservatories.org,13000,12000,/tmp/,"SC1,SC2"
BETA_SYS,,IAI5,USER_1,MF_3,IA2,ID14,FALSE,CTD Simulator Beta Agent Instance,,localhost,ethernet,sbe37-simulator.oceanobservatories.org,4001,rsn-port-agent-test.oceanobservatories.org,13002,12002,/tmp/,"SC1,SC2"
R2_DEMO,,IAI4,USER_1,MF_3,IA2,ID4,FALSE,CTD Simulator 2 Demo Agent Instance,,localhost,ethernet,sbe37-simulator.oceanobservatories.org,4002,localhost,8888,9001,/tmp/,"SC1,SC2"
R2_DEMO,,IAI5,USER_1,MF_3,IA2,EEInstrumentDevice,FALSE,CTD Agent Instance for end to end R2 test,,localhost,ethernet,sbe37-simulator.oceanobservatories.org,4001,localhost,8886,9002,/tmp/,"SC1,SC2"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI6,USER_1,MF_3,IA3,ID5,FALSE,PARAD ,PAR-SER-600m,localhost,ethernet,10.180.80.179,2101,rsn-port-agent-test.oceanobservatories.org,13009,12009,/tmp/,"SC1,SC3"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI7,USER_1,MF_3,IA4,ID6,FALSE,PRESF ,SeaBird 26plus Pressure Sensor,localhost,ethernet,10.180.80.185,2101,rsn-port-agent-test.oceanobservatories.org,13005,12005,/tmp/,"SC1,SC4"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI8,USER_1,MF_3,IA5,ID7,FALSE,CTDBP,SBE16plusV2 CTD,localhost,ethernet,ciports1-4.whoi.edu,2104,rsn-port-agent-test.oceanobservatories.org,13007,12007,/tmp/,"SC1,SC2"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI9,USER_1,MF_3,IA6,ID8,FALSE,TRHPH,Temperature and Resistivity Probe,localhost,ethernet,10.180.80.172,2101,rsn-port-agent-test.oceanobservatories.org,13008,12008,/tmp/,"SC1,SC5"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI10,USER_1,MF_3,IA7,ID9,FALSE,PREST,SBE 54 Tsunami Pressure Sensor,localhost,ethernet,10.180.80.170,2101,rsn-port-agent-test.oceanobservatories.org,13012,12012,/tmp/,"SC1,SC6"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI11,USER_1,MF_3,IA8,ID10,FALSE,VELPT,Aquadopp Current Meters,localhost,ethernet,ciports1-4.whoi.edu,2103,rsn-port-agent-test.oceanobservatories.org,13010,12010,/tmp/,"SC1,SC7"
DEVS,https://confluence.oceanobservatories.org/display/CIDev/MIO+VPN+Access,IAI12,USER_1,MF_3,IA9,ID11,FALSE,NUTNR,Satlantic ISUS V3 Nitrate Sensor,localhost,ethernet,67.58.40.195,2101,rsn-port-agent-test.oceanobservatories.org,13011,12011,/tmp/,"SC1,SC8"
BETA,,IAI13,USER_1,MF_3,IA2,ID12,FALSE,SBE37SMP Agent Instance,,localhost,ethernet,67.58.40.198,4001,rsn-port-agent-test.oceanobservatories.org,13013,12013,/tmp/,"SC1,SC2"
IDK,,IDK_AGENT_INSTANCE,IDK_USER,IDK_ORG,IDK_AGENT,IDK_DEVICE,FALSE,IDK Agent Instance,,localhost,ethernet,UNKNOWN,UNKNOWN,localhost,UNKNOWN,UNKNOWN,/tmp/,
