Scenario,ID,owner_id,org_ids,im/name,im/description,im/reference_urls,im/instrument_family,im/instrument_classes_supported,im/primary_interface,im/baud_rate_default,im/manufacturer,im/manufacturer_url,im/mixed_sampling_mode,im/internal_data_storage,im/integrated_inductive_modem_available,im/internal_battery,im/clock_max_drift,im/operational_depth_maximum,im/survival_depth_maximum,im/hotel_current,im/electrical_notes,im/power_source,im/clock_notes,im/power_supply_voltage_minimum,im/power_supply_voltage_maximum,im/weight,im/voltage,im/wattage,im/height,im/length,im/width,im/required_on_time
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC:CI_attribute_name,"[alt_ids, IFF it needs to be preserved]",[x],[association?],name,description,reference_urls,instrument_family,[x],primary_interface,baud_rate_default,manufacturer,manufacturer_url,mixed_sampling_mode,internal_data_storage,integrated_inductive_modem_available,internal_data_storage,clock_max_drift,operational_depth_maximum,survival_depth_maximum,hotel_current,electrical_notes,power_source,clock_notes,power_supply_voltage_minimum,power_supply_voltage_maximum,weight,voltage,wattage,height,length,weight,required_on_time
BETA,IM2,USER_1,MF_3,SBE 37-SMP MicroCAT CTD Model Demo,"A Sea-bird conductivity and temperature (pressure optional) recorder (CTD) model designed for moorings or other long duration, fixed-site deployments.","http://www.seabird.com/pdf_documents/manuals/37SMP_RS232_016.pdf,http://www.seabird.com/products/spec_sheets/37smpdata.htm",CTD,['CTDBP'],RS232,9600,"Sea-bird Electronics, Inc.",http://www.seabird.com,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
DEVS,IM3,USER_1,MF_3,SBE 38 Model Incremental,Different model testing incremental preload,"http://www.seabird.com/pdf_documents/manuals/37SMP_RS232_016.pdf,http://www.seabird.com/products/spec_sheets/37smpdata.htm",CTD,['CTDBP'],RS232,9600,"Sea-bird Electronics, Inc.",http://www.seabird.com,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
DEVS,IM4,USER_1,MF_3,PAR-SER-600M,Passively Measures Photosynthetically Active Radiation (400-700 nm),,Optical Properties,['PARAD'],RS232,9600,Satlantic,http://www.satlantic.com/,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
PRESF,IM5,USER_1,MF_3,SeaBird 26plus ,Seafloor Pressure instrument for Coastal Arrays,,,['PRESF'],RS232,9600,"Sea-bird Electronics, Inc.",http://www.seabird.com,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
CTDBP,IM6,USER_1,MF_3,SBE 16plusV2,"A Sea-bird conductivity and temperature (pressure optional) recorder (CTD) model designed for moorings or other long duration, fixed-site deployments.",,CTD,['CTDBP'],RS232,9600,"Sea-bird Electronics, Inc.",http://www.seabird.com,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
DEVS,IM7,USER_1,MF_3,Temperature and Resistivity Probe,Measures temperature and resistivity in high temperature vent fluids as proxy for chloride concentration (with options for Eh and Hydrogen),,Seafloor Properties,['TRHPH'],RS232,9600,Marv Lilley Lab,http://www.ocean.washington.edu/home/Marvin+Lilley,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
PREST,IM8,USER_1,MF_3,SBE 54 Tsunami Pressure Sensor,Measures ambient seafloor pressure using internal Paroscientific DigiquartzÂ® transducer,,PRS,['PREST'],RS232,9600,"Sea-bird Electronics, Inc.",http://www.seabird.com,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
DEVS,IM9,USER_1,MF_3,Aquadopp Current Meters,Single Point Mean Velocity Meter,,CTD,['VELPT'],RS232,9600,Nortek,,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
DEVS,IM10,USER_1,MF_3,Satlantic ISUS V3 Nitrate Sensor,nitrate sensor,,CTD,['NUTNR'],RS232,9600,Satlantic,http://www.satlantic.com/,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
IDK,IDK_MODEL,IDK_USER,IDK_ORG,IDK Development Device,Model of device used by IDK,,CTD,['CTDBP'],RS232,9600,Internal Dispute Kangaroos,http://confluence.oceanobservatories.org,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
TMPSF,IM11,USER_1,MF_3,RBR XR-420,XR-420 Custom Thermistor String (24 thermistors),,TMPSF,['TMPSF'],RS232,9600,RBR Global,http://www.rbr-global.com/,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,TRUE
VEL3D_B,IM12,USER_1,MF_3,MAVS-4,Velocity Point 3D Turbulence,,VEL3D,['VEL3D'],RS232,9600,Nobska,http://www.nobska.net,TRUE,TRUE,TRUE,TRUE,0,0,0,None,None,None,None,,,,,,,,,
