Scenario,COMMENT,ID,org_ids,sdef/name,sdef/description,param_dict_name,parameter_dictionary,available_fields,reference_designator,Review Status
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,
BETA,,StreamDef11,MF_3,SeabirdSim_raw demo,,raw,DICT9,,,
BETA,,StreamDef12,MF_3,SeabirdSim_parsed demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef13,MF_3,DPD1_out_conductivity_L0 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef14,MF_3,DPD1_out_temp_L0 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef15,MF_3,DPD1_out_pressure_L0 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef16,MF_3,DPD2_out_conductivity_L1 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef17,MF_3,DPD3_out_temp_L1 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef18,MF_3,DPD4_out_pressure_L1 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef19,MF_3,DPD5_out_practical_salinity_L2 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef20,MF_3,DPD6_out_density_L2 demo,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
R2_DEMO,,StreamDef21,MF_3,GoogleDT_out,,google_dt,DICT4,,,
R2_DEMO,,StreamDef22,MF_3,Matplotlib graphs,,graph_image_param_dict,DICT3,,,
BETA,,StreamDef23,MF_3,Raw Stream for any instrument,,raw,DICT9,,,
DEVS,https://confluence.oceanobservatories.org/display/instruments/PARAD+Driver,StreamDef24,MF_3,Parsed Photosynthetically Active Radiation,,parad_parsed,,,,
BETA,https://confluence.oceanobservatories.org/display/instruments/PRESF+Driver,StreamDef25,MF_3,PRESF Parsed Tide Measurements,Includes Seafloor Pressure (SFLPRES_L0) from tide measurements,presf_tide_measurement,DICT15,"PD7,PD10,PD11,PD12,PD16,PD93,PD94,PD29,PD742,PD863",,
BETA,,SD_PLATFORM1,MF_3,Platform Engineering Data,,platform_eng_parsed,DICT7,,,
DEVS,,StreamDef26,MF_3,Parsed TRHPH,,trhph_parsed,,,,
DEVS,,StreamDef28,MF_3,Parsed VELPT,,velpt_parsed,,,,
DEVS,,StreamDef29,MF_3,Parsed NUTNR,,nutnr_parsed,,,,
BETA,,StreamDef30,MF_3,Seabird37SMP_raw,,raw,DICT9,,,
BETA,,StreamDef31,MF_3,Seabird37SMP_parsed,,ctd_parsed_param_dict,DICT1,,GA01SUMO-RI003-03-CTDMOQ999,
IDK,,SD_IDK_RAW,IDK_ORG,IDK raw stream def,,raw,DICT9,,,
IDK,,SD_IDK_PARSED,IDK_ORG,IDK parsed stream def,,UNKNOWN,,,,
BETA,,StreamDef32,MF_3,PRESF Operating Status,,presf_operating_status,DICT16,,,
BETA,,StreamDef33,MF_3,PRESF Calibration Coefficients,,presf_calibration_coefficients,DICT17,,,
BETA,,StreamDef34,MF_3,PRESF L1 Seafloor Pressure from Tide Measurements,Seafloor Pressure (SFLPRES_L1) from tide measurements,presf_tide_measurement,DICT15,"PD7,PD891",,
BETA,CTDBP-CDEF,StreamDef35,MF_3,"CTDBP-C,D,E,F Sample",,ctdbp_cdef_sample,DICT19,,,
BETA,CTDBP-CDEF,StreamDef36,MF_3,"CTDBP-C,D,E,F Operating Status",,ctdbp_cdef_status,DICT20,,,
BETA,CTDBP-CDEF,StreamDef37,MF_3,"CTDBP-C,D,E,F Calibration Coefficients",,ctdbp_cdef_calibration_coefficients,DICT21,,,
SP_TEST,CTDBP-NO,StreamDef38,MF_3,"CTDBP-N,O Sample",,ctdbp_no_sample,DICT23,,,
SP_TEST,CTDBP-NO,StreamDef39,MF_3,"CTDBP-N,O Hardware",,ctdbp_no_hardware,DICT24,,,
SP_TEST,CTDBP-NO,StreamDef40,MF_3,"CTDBP-N,O Calibration Coefficients",,ctdbp_no_calibration_coefficients,DICT25,,,
SP_TEST,CTDBP-NO,StreamDef41,MF_3,"CTDBP-N,O Status",,ctdbp_no_status,DICT23,,,
SP_TEST,CTDBP-NO,StreamDef42,MF_3,"CTDBP-N,O Configuration",,ctdbp_no_configuration,DICT27,,,
SP_TEST,,StreamDef43,MF_3,PARAD-SA Sample,,parad_sa_sample,DICT28,,,
SP_TEST,,StreamDef44,MF_3,TRHPH Sample,,trhph_sample,DICT47,,,
SP_TEST,,StreamDef45,MF_3,TMPSF Sample,,tmpsf_sample,DICT64,,,
SP_TEST,,StreamDef46,MF_3,TMPSF Engineering,,tmpsf_engineering,DICT65,,,
VEL3D_B,,StreamDef47,MF_3,VEL3D-B Sample,"includes VELPTTU from Mavs4
",vel3d_b_sample,DICT67,,,
VEL3D_B,,StreamDef48,MF_3,VEL3D-B Engineering,,vel3d_b_engineering,DICT68,,,
