Scenario,ID,user_id,role_name,auto_enroll,org_id,role_scope,comment,comment2
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,
OOIR2,,T_AMPE,ION_MANAGER,FALSE,ORG_ION,,,
"BETA,OOIR2",,K_FELDMAN,ORG_MANAGER,TRUE,MF_RSN,,,
OOIR2,,T_AMPE,ORG_MANAGER,TRUE,MF_RSN,,,
"BETA,OOIR2",,M_HARRINGTON,OBSERVATORY_OPERATOR,TRUE,MF_RSN,,,
"BETA,OOIR2",,D_MANALANG,OBSERVATORY_OPERATOR,TRUE,MF_RSN,,,
"BETA,OOIR2",,G_PROSKUROWSKI,OBSERVATORY_OPERATOR,TRUE,MF_RSN,,,
"BETA,OOIR2",,O_KAWKA,OBSERVATORY_OPERATOR,TRUE,MF_RSN,,,
OOIR2,,T_AMPE,ORG_MANAGER,TRUE,MF_CGSN,,,
"BETA,OOIR2",,G_CHAVEZ,OBSERVATORY_OPERATOR,TRUE,MF_CGSN,,,
"BETA,OOIR2",,J_COSGROVE,INSTRUMENT_OPERATOR,TRUE,MF_CGSN,,,
OOIR2,,A_PLUEDDEMANN,ORG_MEMBER,TRUE,MF_CGSN,,,
OOIR2,,J_LUND,ORG_MEMBER,TRUE,MF_CGSN,,,
OOIR2,,K_STIFFEL,ORG_MEMBER,TRUE,MF_CGSN,,,
OOIR2,,T_AMPE,ORG_MANAGER,TRUE,MF_EA,,,
OOIR2,,C_RISEN,OBSERVATORY_OPERATOR,TRUE,MF_EA,,,
OOIR2,,M_VARDARO,OBSERVATORY_OPERATOR,TRUE,MF_EA,,,
OOIR2,,L_MORGAN_2,OBSERVATORY_OPERATOR,TRUE,MF_EA,,,
OOIR2,,L_MORGAN_3,INSTRUMENT_OPERATOR,TRUE,MF_EA,,,
OOIR2_DEMO,,K_CARR,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
OOIR2_DEMO,,T_AMPE,ORG_MANAGER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,L_MORGAN,ORG_MANAGER,TRUE,MF_RSN,,,
"BETA,OOIR2_DEMO",,L_MORGAN,ORG_MANAGER,TRUE,MF_CGSN,,,
"BETA,OOIR2_DEMO",,L_MORGAN,ORG_MANAGER,TRUE,MF_EA,,,
"BETA,OOIR2_DEMO",,USER_1,ORG_MANAGER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,USER_2,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,USER_4,INSTRUMENT_OPERATOR,TRUE,MF_RSN,,,
"BETA,OOIR2_DEMO",,USER_4,INSTRUMENT_OPERATOR,TRUE,MF_CGSN,,,
"BETA,OOIR2_DEMO",,USER_4,INSTRUMENT_OPERATOR,TRUE,MF_EA,,,
"BETA,OOIR2_DEMO",,USER_4,INSTRUMENT_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,A_PLUEDDEMANN,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,B_BERGEN,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,C_RISEN,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,D_MANALANG,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,G_PROSKUROWSKI,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,J_LUND,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,K_STIFFEL,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,M_VARDARO,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,O_KAWKA,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,K_FELDMAN,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,L_MORGAN,ORG_MANAGER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,M_LOCKER,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,C_LICHTENWALNER,ORG_MEMBER,TRUE,MF_3,,,
"BETA,OOIR2_DEMO",,M_HARRINGTON,OBSERVATORY_OPERATOR,TRUE,MF_3,,,
BETA,,USER_3,ION_MANAGER,FALSE,ORG_ION,,,
BETA,,USER_3,ORG_MANAGER,TRUE,MF_3,,,
IDK,,IDK_USER,ORG_MANAGER,TRUE,IDK_ORG,,,
IDK_X,,IDK_USER,OBSERVATORY_OPERATOR,TRUE,IDK_ORG,,,
IDK_X,,IDK_USER,INSTRUMENT_OPERATOR,TRUE,IDK_ORG,,,
IDK_X,,IDK_USER,DATA_OPERATOR,TRUE,IDK_ORG,,,
IDK_X,,IDK_USER,ORG_MEMBER,TRUE,IDK_ORG,,,
