Textbox8,tbToday
Instrument Counts Per Class,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class_Name,Class,Class_Description,Family,Count,Textbox15,Textbox19,Textbox18
Velocity profile Mobile Asset,ADCPA,ADCPs to be mounted on gliders and AUVs,VEL,14,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Velocity profile Long Range,ADCPS,ADCPs capable of measuring 500 m or greater from the instrument,VEL,16,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Velocity profile Short Range,ADCPT,ADCPs capable of measuring 300 m or greater from the instrument,VEL,17,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Pressure bottom tilt,BOTPT,Measures seafloor inflation and deflation due to magmatic processes,PRS,3,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Camera digital still strobe,CAMDS,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",CAM,10,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Camera digital video HD,CAMHD,"HD Camera with strobes, pan, and tilt for high definition video imagery of vents, diffuse flow, seeps, macrofauna",CAM,1,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
CTD AUV,CTDAV,CTDs to be mounted on AUVs,CTD,2,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
CTD Bottom Pumped,CTDBP,CTDs equiped with a bottom pump,CTD,21,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
CTD Glider,CTDGV,CTDs to be mounted on gliders,CTD,24,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
CTD Mooring,CTDMO,CTDs to be used in surface and subsurface moorings,CTD,126,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
CTD Profiler,CTDPF,CTDs to be mounted on a profiler,CTD,30,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Oxygen dissolved fastresp,DOFST,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients,DO2,9,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Oxygen dissolved stable,DOSTA,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",DO2,73,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Flux direct covariance,FDCHP,Measures vertical fluxes associated with eddies in the flow over the ocean,FDC,4,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Flux direct cov LP - DEPRECATED,FDCLP,Measures vertical fluxes associated with eddies in the flow over the ocean - DEPRECATED,FDC,0,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
