Textbox8,tbToday
Array Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Array,Array_Name,Attribute,AttributeValue
CE,Endurance Array,depth_port_max,
CE,Endurance Array,depth_port_min,
CE,Endurance Array,depth_subsite,
CE,Endurance Array,First Deployment Date,
CE,Endurance Array,latitude,
CE,Endurance Array,longitude,
CE,Endurance Array,Platform Agent Type,
CE,Endurance Array,Relative Depth,
CI,CyberInfrastructure,depth_port_max,
CI,CyberInfrastructure,depth_port_min,
CI,CyberInfrastructure,depth_subsite,
CI,CyberInfrastructure,First Deployment Date,
CI,CyberInfrastructure,latitude,
CI,CyberInfrastructure,longitude,
CI,CyberInfrastructure,Platform Agent Type,
CI,CyberInfrastructure,Relative Depth,
CP,Pioneer Array,depth_port_max,
CP,Pioneer Array,depth_port_min,
CP,Pioneer Array,depth_subsite,
CP,Pioneer Array,First Deployment Date,
CP,Pioneer Array,latitude,
CP,Pioneer Array,longitude,
CP,Pioneer Array,Platform Agent Type,
CP,Pioneer Array,Relative Depth,
GA,Global Argentine,depth_port_max,
GA,Global Argentine,depth_port_min,
GA,Global Argentine,depth_subsite,
GA,Global Argentine,First Deployment Date,
GA,Global Argentine,latitude,
GA,Global Argentine,longitude,
GA,Global Argentine,Platform Agent Type,
GA,Global Argentine,Relative Depth,
GI,Global Irminger,depth_port_max,
GI,Global Irminger,depth_port_min,
GI,Global Irminger,depth_subsite,
GI,Global Irminger,First Deployment Date,2014-09
GI,Global Irminger,latitude,
GI,Global Irminger,longitude,
GI,Global Irminger,Platform Agent Type,
GI,Global Irminger,Relative Depth,
GP,Global Papa,depth_port_max,
GP,Global Papa,depth_port_min,
GP,Global Papa,depth_subsite,
GP,Global Papa,First Deployment Date,
GP,Global Papa,latitude,
GP,Global Papa,longitude,
GP,Global Papa,Platform Agent Type,
GP,Global Papa,Relative Depth,
GS,Global Southern,depth_port_max,
GS,Global Southern,depth_port_min,
GS,Global Southern,depth_subsite,
GS,Global Southern,First Deployment Date,2014-12
GS,Global Southern,latitude,
GS,Global Southern,longitude,
GS,Global Southern,Platform Agent Type,
GS,Global Southern,Relative Depth,
OO,OOI,depth_port_max,
OO,OOI,depth_port_min,
OO,OOI,depth_subsite,
OO,OOI,First Deployment Date,
OO,OOI,latitude,
OO,OOI,longitude,
OO,OOI,Platform Agent Type,
OO,OOI,Relative Depth,
RS,Regional,depth_port_max,
RS,Regional,depth_port_min,
RS,Regional,depth_subsite,
RS,Regional,First Deployment Date,2014-07
RS,Regional,latitude,
RS,Regional,longitude,
RS,Regional,Platform Agent Type,
RS,Regional,Relative Depth,
SS,Shore Side Facilities,depth_port_max,
SS,Shore Side Facilities,depth_port_min,
SS,Shore Side Facilities,depth_subsite,
SS,Shore Side Facilities,First Deployment Date,
SS,Shore Side Facilities,latitude,
SS,Shore Side Facilities,longitude,
SS,Shore Side Facilities,Platform Agent Type,
SS,Shore Side Facilities,Relative Depth,

