Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
ADCPA,Velocity profile Mobile Asset,2009 Baseline Price*,
ADCPA,Velocity profile Mobile Asset,2009 Deployed Instrument Count,3
ADCPA,Velocity profile Mobile Asset,Alternate Instrument Class Name,Velocity Profiler (short range) for mobile assets
ADCPA,Velocity profile Mobile Asset,CE Spares,
ADCPA,Velocity profile Mobile Asset,CGSN MREFC Spares,
ADCPA,Velocity profile Mobile Asset,CGSN O&M Spares,
ADCPA,Velocity profile Mobile Asset,CGSN P/N,
ADCPA,Velocity profile Mobile Asset,ClassLongName,velocity_profile_mobile_asset
ADCPA,Velocity profile Mobile Asset,Comments,
ADCPA,Velocity profile Mobile Asset,CP Spares,
ADCPA,Velocity profile Mobile Asset,Description,ADCPs to be mounted on gliders and AUVs
ADCPA,Velocity profile Mobile Asset,ECRs that changed the count,
ADCPA,Velocity profile Mobile Asset,Global Spares,
ADCPA,Velocity profile Mobile Asset,Instrument Configuration,
ADCPA,Velocity profile Mobile Asset,Link to the Specification,
ADCPA,Velocity profile Mobile Asset,Notes,
ADCPA,Velocity profile Mobile Asset,PrimaryScienceDiscipline,P
ADCPA,Velocity profile Mobile Asset,Produces Acoustic Interference,
ADCPA,Velocity profile Mobile Asset,Ready for 2013?,
ADCPA,Velocity profile Mobile Asset,RSN O&M Spares,
ADCPA,Velocity profile Mobile Asset,RSN Part Number,
ADCPA,Velocity profile Mobile Asset,Susceptible to Acoustic Interference,Yes
ADCPA,Velocity profile Mobile Asset,"Vendor CLIN, SubCLIN or Model #",
ADCPS,Velocity profile Long Range,2009 Baseline Price*,"$60,575.00"
ADCPS,Velocity profile Long Range,2009 Deployed Instrument Count,16
ADCPS,Velocity profile Long Range,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,Velocity profile Long Range,CE Spares,
ADCPS,Velocity profile Long Range,CGSN MREFC Spares,
ADCPS,Velocity profile Long Range,CGSN O&M Spares,
ADCPS,Velocity profile Long Range,CGSN P/N,
ADCPS,Velocity profile Long Range,ClassLongName,Velocity_Profile_Long_Range
ADCPS,Velocity profile Long Range,Comments,
ADCPS,Velocity profile Long Range,CP Spares,
ADCPS,Velocity profile Long Range,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,Velocity profile Long Range,ECRs that changed the count,
ADCPS,Velocity profile Long Range,Global Spares,
ADCPS,Velocity profile Long Range,Instrument Configuration,
ADCPS,Velocity profile Long Range,Link to the Specification,
ADCPS,Velocity profile Long Range,Notes,
ADCPS,Velocity profile Long Range,PrimaryScienceDiscipline,P
ADCPS,Velocity profile Long Range,Produces Acoustic Interference,
ADCPS,Velocity profile Long Range,Ready for 2013?,
ADCPS,Velocity profile Long Range,RSN O&M Spares,
ADCPS,Velocity profile Long Range,RSN Part Number,
ADCPS,Velocity profile Long Range,Susceptible to Acoustic Interference,Yes
ADCPS,Velocity profile Long Range,"Vendor CLIN, SubCLIN or Model #",
ADCPT,Velocity profile Short Range,2009 Baseline Price*,"$38,625.00"
ADCPT,Velocity profile Short Range,2009 Deployed Instrument Count,18
ADCPT,Velocity profile Short Range,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,Velocity profile Short Range,CE Spares,
ADCPT,Velocity profile Short Range,CGSN MREFC Spares,
ADCPT,Velocity profile Short Range,CGSN O&M Spares,
ADCPT,Velocity profile Short Range,CGSN P/N,
ADCPT,Velocity profile Short Range,ClassLongName,Velocity_Profile_Short_Range
ADCPT,Velocity profile Short Range,Comments,
ADCPT,Velocity profile Short Range,CP Spares,
ADCPT,Velocity profile Short Range,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,Velocity profile Short Range,ECRs that changed the count,
ADCPT,Velocity profile Short Range,Global Spares,
ADCPT,Velocity profile Short Range,Instrument Configuration,
ADCPT,Velocity profile Short Range,Link to the Specification,
ADCPT,Velocity profile Short Range,Notes,
ADCPT,Velocity profile Short Range,PrimaryScienceDiscipline,P
ADCPT,Velocity profile Short Range,Produces Acoustic Interference,
ADCPT,Velocity profile Short Range,Ready for 2013?,
ADCPT,Velocity profile Short Range,RSN O&M Spares,
ADCPT,Velocity profile Short Range,RSN Part Number,
ADCPT,Velocity profile Short Range,Susceptible to Acoustic Interference,Yes
ADCPT,Velocity profile Short Range,"Vendor CLIN, SubCLIN or Model #",
BOTPT,Pressure bottom tilt,2009 Baseline Price*,
BOTPT,Pressure bottom tilt,2009 Deployed Instrument Count,3
BOTPT,Pressure bottom tilt,Alternate Instrument Class Name,Bottom Pressure and Tilt
BOTPT,Pressure bottom tilt,CE Spares,
BOTPT,Pressure bottom tilt,CGSN MREFC Spares,
BOTPT,Pressure bottom tilt,CGSN O&M Spares,
BOTPT,Pressure bottom tilt,CGSN P/N,
BOTPT,Pressure bottom tilt,ClassLongName,pressure_bottom_tilt
BOTPT,Pressure bottom tilt,Comments,
BOTPT,Pressure bottom tilt,CP Spares,
BOTPT,Pressure bottom tilt,Description,Measures seafloor inflation and deflation due to magmatic processes
BOTPT,Pressure bottom tilt,ECRs that changed the count,
BOTPT,Pressure bottom tilt,Global Spares,
BOTPT,Pressure bottom tilt,Instrument Configuration,
BOTPT,Pressure bottom tilt,Link to the Specification,
BOTPT,Pressure bottom tilt,Notes,
BOTPT,Pressure bottom tilt,PrimaryScienceDiscipline,G
BOTPT,Pressure bottom tilt,Produces Acoustic Interference,
BOTPT,Pressure bottom tilt,Ready for 2013?,
BOTPT,Pressure bottom tilt,RSN O&M Spares,
BOTPT,Pressure bottom tilt,RSN Part Number,
BOTPT,Pressure bottom tilt,Susceptible to Acoustic Interference,
BOTPT,Pressure bottom tilt,"Vendor CLIN, SubCLIN or Model #",
CAMDS,Camera digital still strobe,2009 Baseline Price*,"$55,590.00"
CAMDS,Camera digital still strobe,2009 Deployed Instrument Count,9
CAMDS,Camera digital still strobe,Alternate Instrument Class Name,Digital Still Camera with Strobes
CAMDS,Camera digital still strobe,CE Spares,
CAMDS,Camera digital still strobe,CGSN MREFC Spares,
CAMDS,Camera digital still strobe,CGSN O&M Spares,
CAMDS,Camera digital still strobe,CGSN P/N,
CAMDS,Camera digital still strobe,ClassLongName,camera_digital_still_strobe
CAMDS,Camera digital still strobe,Comments,
CAMDS,Camera digital still strobe,CP Spares,
CAMDS,Camera digital still strobe,Description,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna"
CAMDS,Camera digital still strobe,ECRs that changed the count,ECR 1300-00177
CAMDS,Camera digital still strobe,Global Spares,
CAMDS,Camera digital still strobe,Instrument Configuration,
CAMDS,Camera digital still strobe,Link to the Specification,
CAMDS,Camera digital still strobe,Notes,
CAMDS,Camera digital still strobe,PrimaryScienceDiscipline,B
CAMDS,Camera digital still strobe,Produces Acoustic Interference,
CAMDS,Camera digital still strobe,Ready for 2013?,
CAMDS,Camera digital still strobe,RSN O&M Spares,
CAMDS,Camera digital still strobe,RSN Part Number,
CAMDS,Camera digital still strobe,Susceptible to Acoustic Interference,
CAMDS,Camera digital still strobe,"Vendor CLIN, SubCLIN or Model #",
CAMHD,Camera digital video HD,2009 Baseline Price*,
CAMHD,Camera digital video HD,2009 Deployed Instrument Count,1
CAMHD,Camera digital video HD,Alternate Instrument Class Name,HD Digital Video Camera with Strobes
CAMHD,Camera digital video HD,CE Spares,
CAMHD,Camera digital video HD,CGSN MREFC Spares,
CAMHD,Camera digital video HD,CGSN O&M Spares,
CAMHD,Camera digital video HD,CGSN P/N,
CAMHD,Camera digital video HD,ClassLongName,camera_digital_video_HD
CAMHD,Camera digital video HD,Comments,
CAMHD,Camera digital video HD,CP Spares,
CAMHD,Camera digital video HD,Description,"HD Camera with strobes, pan, and tilt for high definition video imagery of vents, diffuse flow, seeps, macrofauna"
CAMHD,Camera digital video HD,ECRs that changed the count,
CAMHD,Camera digital video HD,Global Spares,
CAMHD,Camera digital video HD,Instrument Configuration,
CAMHD,Camera digital video HD,Link to the Specification,
CAMHD,Camera digital video HD,Notes,
