Textbox8,tbToday
Data Product Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level,Attribute,AttributeValue
ABSTHRM,PHSEN Thermistor Temperature,0,Combine QC Flags (CMBNFLG) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,DOORS L2 Science Requirement #(s),Derived from design to achieve PHWATER
ABSTHRM,PHSEN Thermistor Temperature,0,DOORS L2 Science Requirement Text,none
ABSTHRM,PHSEN Thermistor Temperature,0,DPS DCN(s),DCN 1341-00507
ABSTHRM,PHSEN Thermistor Temperature,0,Global Range Test (GLBLRNG) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Gradient Test (GRADTST) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Local Range Test (LOCLRNG) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Notes,
ABSTHRM,PHSEN Thermistor Temperature,0,Processing Flow Diagram DCN(s),DCN 1342-00510
ABSTHRM,PHSEN Thermistor Temperature,0,Regime(s),Water Column
ABSTHRM,PHSEN Thermistor Temperature,0,Spike Test (SPKETST) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Stuck Value Test (STUCKVL) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Trend Test (TRNDTST) QC,not applicable
ABSTHRM,PHSEN Thermistor Temperature,0,Units,volts
BARPRES,Barometric Pressure,0,Combine QC Flags (CMBNFLG) QC,not applicable
BARPRES,Barometric Pressure,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3020
BARPRES,Barometric Pressure,0,DOORS L2 Science Requirement Text,Barometric Pressure
BARPRES,Barometric Pressure,0,DPS DCN(s),DCN 1341-00360
BARPRES,Barometric Pressure,0,Global Range Test (GLBLRNG) QC,not applicable
BARPRES,Barometric Pressure,0,Gradient Test (GRADTST) QC,not applicable
BARPRES,Barometric Pressure,0,Local Range Test (LOCLRNG) QC,not applicable
BARPRES,Barometric Pressure,0,Notes,
BARPRES,Barometric Pressure,0,Processing Flow Diagram DCN(s),DCN 1342-00360
BARPRES,Barometric Pressure,0,Regime(s),"Air-Sea Interface, Surface Water"
BARPRES,Barometric Pressure,0,Spike Test (SPKETST) QC,not applicable
BARPRES,Barometric Pressure,0,Stuck Value Test (STUCKVL) QC,not applicable
BARPRES,Barometric Pressure,0,Trend Test (TRNDTST) QC,not applicable
BARPRES,Barometric Pressure,0,Units,mbar
BENTHFL,Benthic Flow Rates,2,Combine QC Flags (CMBNFLG) QC,Applicable
BENTHFL,Benthic Flow Rates,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3087
BENTHFL,Benthic Flow Rates,2,DOORS L2 Science Requirement Text,Fluid Flow - into and out of seep sites
BENTHFL,Benthic Flow Rates,2,DPS DCN(s),DCN 1341-00220
BENTHFL,Benthic Flow Rates,2,Global Range Test (GLBLRNG) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Gradient Test (GRADTST) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Local Range Test (LOCLRNG) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Notes,
BENTHFL,Benthic Flow Rates,2,Processing Flow Diagram DCN(s),DCN 1342-00220
BENTHFL,Benthic Flow Rates,2,Regime(s),Seafloor/Crust
BENTHFL,Benthic Flow Rates,2,Spike Test (SPKETST) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Stuck Value Test (STUCKVL) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Trend Test (TRNDTST) QC,Applicable
BENTHFL,Benthic Flow Rates,2,Units,m/yr
BOTPRES,Nano-resolution Bottom Pressure,1,Combine QC Flags (CMBNFLG) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3084
BOTPRES,Nano-resolution Bottom Pressure,1,DOORS L2 Science Requirement Text,Coupled near bottom pressure and tilt (Seafloor uplift/deflation)
BOTPRES,Nano-resolution Bottom Pressure,1,DPS DCN(s),DCN 1341-00070
BOTPRES,Nano-resolution Bottom Pressure,1,Global Range Test (GLBLRNG) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Gradient Test (GRADTST) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Local Range Test (LOCLRNG) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Notes,
BOTPRES,Nano-resolution Bottom Pressure,1,Processing Flow Diagram DCN(s),DCN 1342-00060
BOTPRES,Nano-resolution Bottom Pressure,1,Regime(s),Seafloor/Crust
BOTPRES,Nano-resolution Bottom Pressure,1,Spike Test (SPKETST) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Stuck Value Test (STUCKVL) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Trend Test (TRNDTST) QC,Applicable
BOTPRES,Nano-resolution Bottom Pressure,1,Units,nanoPascal
BOTSFLU,Seafloor Uplift and Deflation,2,Combine QC Flags (CMBNFLG) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3084
BOTSFLU,Seafloor Uplift and Deflation,2,DOORS L2 Science Requirement Text,Coupled near bottom pressure and tilt (Seafloor uplift/deflation)
BOTSFLU,Seafloor Uplift and Deflation,2,DPS DCN(s),DCN 1341-00080
BOTSFLU,Seafloor Uplift and Deflation,2,Global Range Test (GLBLRNG) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Gradient Test (GRADTST) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Local Range Test (LOCLRNG) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Notes,
BOTSFLU,Seafloor Uplift and Deflation,2,Processing Flow Diagram DCN(s),DCN 1342-00060
BOTSFLU,Seafloor Uplift and Deflation,2,Regime(s),Seafloor/Crust
BOTSFLU,Seafloor Uplift and Deflation,2,Spike Test (SPKETST) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Stuck Value Test (STUCKVL) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Trend Test (TRNDTST) QC,Applicable
BOTSFLU,Seafloor Uplift and Deflation,2,Units,meters
BOTTILT,Seafloor High-Resolution Tilt,0,Combine QC Flags (CMBNFLG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3084
BOTTILT,Seafloor High-Resolution Tilt,0,DOORS L2 Science Requirement Text,Coupled near bottom pressure and tilt (Seafloor uplift/deflation)
BOTTILT,Seafloor High-Resolution Tilt,0,DPS DCN(s),DCN 1341-00060
BOTTILT,Seafloor High-Resolution Tilt,0,Global Range Test (GLBLRNG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Gradient Test (GRADTST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Local Range Test (LOCLRNG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Notes,
BOTTILT,Seafloor High-Resolution Tilt,0,Processing Flow Diagram DCN(s),DCN 1342-00060
BOTTILT,Seafloor High-Resolution Tilt,0,Regime(s),Seafloor/Crust
BOTTILT,Seafloor High-Resolution Tilt,0,Spike Test (SPKETST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Stuck Value Test (STUCKVL) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Trend Test (TRNDTST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Units,microradians
CAMSTIL,Still Image ,1,Combine QC Flags (CMBNFLG) QC,not applicable
CAMSTIL,Still Image ,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3805
