Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
CAM,Cameras x,2009 Baseline Price*,
CAM,Cameras x,2009 Deployed Instrument Count,
CAM,Cameras x,Alternate Instrument Class Name,
CAM,Cameras x,CE Spares,
CAM,Cameras x,CGSN MREFC Spares,
CAM,Cameras x,CGSN O&M Spares,
CAM,Cameras x,CGSN P/N,
CAM,Cameras x,ClassLongName,
CAM,Cameras x,Comments,
CAM,Cameras x,CP Spares,
CAM,Cameras x,Description,
CAM,Cameras x,ECRs that changed the count,
CAM,Cameras x,Global Spares,
CAM,Cameras x,Instrument Configuration,
CAM,Cameras x,Link to the Specification,
CAM,Cameras x,Notes,
CAM,Cameras x,PrimaryScienceDiscipline,
CAM,Cameras x,Produces Acoustic Interference,
CAM,Cameras x,Ready for 2013?,
CAM,Cameras x,RSN O&M Spares,
CAM,Cameras x,RSN Part Number,
CAM,Cameras x,Susceptible to Acoustic Interference,
CAM,Cameras x,"Vendor CLIN, SubCLIN or Model #",
CHM,Seafloor Chemistry,2009 Baseline Price*,
CHM,Seafloor Chemistry,2009 Deployed Instrument Count,
CHM,Seafloor Chemistry,Alternate Instrument Class Name,
CHM,Seafloor Chemistry,CE Spares,
CHM,Seafloor Chemistry,CGSN MREFC Spares,
CHM,Seafloor Chemistry,CGSN O&M Spares,
CHM,Seafloor Chemistry,CGSN P/N,
CHM,Seafloor Chemistry,ClassLongName,
CHM,Seafloor Chemistry,Comments,
CHM,Seafloor Chemistry,CP Spares,
CHM,Seafloor Chemistry,Description,
CHM,Seafloor Chemistry,ECRs that changed the count,
CHM,Seafloor Chemistry,Global Spares,
CHM,Seafloor Chemistry,Instrument Configuration,
CHM,Seafloor Chemistry,Link to the Specification,
CHM,Seafloor Chemistry,Notes,
CHM,Seafloor Chemistry,PrimaryScienceDiscipline,
CHM,Seafloor Chemistry,Produces Acoustic Interference,
CHM,Seafloor Chemistry,Ready for 2013?,
CHM,Seafloor Chemistry,RSN O&M Spares,
CHM,Seafloor Chemistry,RSN Part Number,
CHM,Seafloor Chemistry,Susceptible to Acoustic Interference,
CHM,Seafloor Chemistry,"Vendor CLIN, SubCLIN or Model #",
CO2,Partial Pressure CO2,2009 Baseline Price*,
CO2,Partial Pressure CO2,2009 Deployed Instrument Count,
CO2,Partial Pressure CO2,Alternate Instrument Class Name,
CO2,Partial Pressure CO2,CE Spares,
CO2,Partial Pressure CO2,CGSN MREFC Spares,
CO2,Partial Pressure CO2,CGSN O&M Spares,
CO2,Partial Pressure CO2,CGSN P/N,
CO2,Partial Pressure CO2,ClassLongName,
CO2,Partial Pressure CO2,Comments,
CO2,Partial Pressure CO2,CP Spares,
CO2,Partial Pressure CO2,Description,
CO2,Partial Pressure CO2,ECRs that changed the count,
CO2,Partial Pressure CO2,Global Spares,
CO2,Partial Pressure CO2,Instrument Configuration,
CO2,Partial Pressure CO2,Link to the Specification,
CO2,Partial Pressure CO2,Notes,
CO2,Partial Pressure CO2,PrimaryScienceDiscipline,
CO2,Partial Pressure CO2,Produces Acoustic Interference,
CO2,Partial Pressure CO2,Ready for 2013?,
CO2,Partial Pressure CO2,RSN O&M Spares,
CO2,Partial Pressure CO2,RSN Part Number,
CO2,Partial Pressure CO2,Susceptible to Acoustic Interference,
CO2,Partial Pressure CO2,"Vendor CLIN, SubCLIN or Model #",
CTD,"Conductivity, Temperature, Depth",2009 Baseline Price*,
CTD,"Conductivity, Temperature, Depth",2009 Deployed Instrument Count,
CTD,"Conductivity, Temperature, Depth",Alternate Instrument Class Name,
CTD,"Conductivity, Temperature, Depth",CE Spares,
CTD,"Conductivity, Temperature, Depth",CGSN MREFC Spares,
CTD,"Conductivity, Temperature, Depth",CGSN O&M Spares,
CTD,"Conductivity, Temperature, Depth",CGSN P/N,
CTD,"Conductivity, Temperature, Depth",ClassLongName,
CTD,"Conductivity, Temperature, Depth",Comments,
CTD,"Conductivity, Temperature, Depth",CP Spares,
CTD,"Conductivity, Temperature, Depth",Description,
CTD,"Conductivity, Temperature, Depth",ECRs that changed the count,
CTD,"Conductivity, Temperature, Depth",Global Spares,
CTD,"Conductivity, Temperature, Depth",Instrument Configuration,
CTD,"Conductivity, Temperature, Depth",Link to the Specification,
CTD,"Conductivity, Temperature, Depth",Notes,
CTD,"Conductivity, Temperature, Depth",PrimaryScienceDiscipline,
CTD,"Conductivity, Temperature, Depth",Produces Acoustic Interference,
CTD,"Conductivity, Temperature, Depth",Ready for 2013?,
CTD,"Conductivity, Temperature, Depth",RSN O&M Spares,
CTD,"Conductivity, Temperature, Depth",RSN Part Number,
CTD,"Conductivity, Temperature, Depth",Susceptible to Acoustic Interference,
CTD,"Conductivity, Temperature, Depth","Vendor CLIN, SubCLIN or Model #",
DO2,Dissolved Oxygen,2009 Baseline Price*,
DO2,Dissolved Oxygen,2009 Deployed Instrument Count,
DO2,Dissolved Oxygen,Alternate Instrument Class Name,
DO2,Dissolved Oxygen,CE Spares,
DO2,Dissolved Oxygen,CGSN MREFC Spares,
DO2,Dissolved Oxygen,CGSN O&M Spares,
DO2,Dissolved Oxygen,CGSN P/N,
DO2,Dissolved Oxygen,ClassLongName,
DO2,Dissolved Oxygen,Comments,
DO2,Dissolved Oxygen,CP Spares,
DO2,Dissolved Oxygen,Description,
DO2,Dissolved Oxygen,ECRs that changed the count,
DO2,Dissolved Oxygen,Global Spares,
DO2,Dissolved Oxygen,Instrument Configuration,
DO2,Dissolved Oxygen,Link to the Specification,
DO2,Dissolved Oxygen,Notes,
DO2,Dissolved Oxygen,PrimaryScienceDiscipline,
DO2,Dissolved Oxygen,Produces Acoustic Interference,
DO2,Dissolved Oxygen,Ready for 2013?,
DO2,Dissolved Oxygen,RSN O&M Spares,
DO2,Dissolved Oxygen,RSN Part Number,
DO2,Dissolved Oxygen,Susceptible to Acoustic Interference,
DO2,Dissolved Oxygen,"Vendor CLIN, SubCLIN or Model #",
FDC,Direct Covariance Flux,2009 Baseline Price*,
FDC,Direct Covariance Flux,2009 Deployed Instrument Count,
FDC,Direct Covariance Flux,Alternate Instrument Class Name,
FDC,Direct Covariance Flux,CE Spares,
