Textbox8,tbToday
Make/Model Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Make_Model_Description,Attribute,Attribute_Value
Aanderaa,Optode 4330,Optode 4330,Calibration Shelf Life,
Aanderaa,Optode 4330,Optode 4330,Connector,
Aanderaa,Optode 4330,Optode 4330,Input Voltage Range,
Aanderaa,Optode 4330,Optode 4330,Interface,
Aanderaa,Optode 4330,Optode 4330,Lead Time,
Aanderaa,Optode 4330,Optode 4330,Make/Model Website,
Aanderaa,Optode 4330,Optode 4330,Output Description,
Aanderaa,Optode 4330,Optode 4330,Vendor Website,
Aanderaa,Optode 4831,Optode 4831,Calibration Shelf Life,Needs pre-deployment calibration by EA (not vendor)
Aanderaa,Optode 4831,Optode 4831,Connector,
Aanderaa,Optode 4831,Optode 4831,Input Voltage Range,
Aanderaa,Optode 4831,Optode 4831,Interface,
Aanderaa,Optode 4831,Optode 4831,Lead Time,
Aanderaa,Optode 4831,Optode 4831,Make/Model Website,
Aanderaa,Optode 4831,Optode 4831,Output Description,
Aanderaa,Optode 4831,Optode 4831,Vendor Website,
Axys Technologies,TRIAXYS,TRIAXYS,Calibration Shelf Life,
Axys Technologies,TRIAXYS,TRIAXYS,Connector,
Axys Technologies,TRIAXYS,TRIAXYS,Input Voltage Range,
Axys Technologies,TRIAXYS,TRIAXYS,Interface,
Axys Technologies,TRIAXYS,TRIAXYS,Lead Time,
Axys Technologies,TRIAXYS,TRIAXYS,Make/Model Website,
Axys Technologies,TRIAXYS,TRIAXYS,Output Description,
Axys Technologies,TRIAXYS,TRIAXYS,Vendor Website,
Biospherical Instruments,QSP-2150,QSP-2150,Calibration Shelf Life,
Biospherical Instruments,QSP-2150,QSP-2150,Connector,
Biospherical Instruments,QSP-2150,QSP-2150,Input Voltage Range,
Biospherical Instruments,QSP-2150,QSP-2150,Interface,
Biospherical Instruments,QSP-2150,QSP-2150,Lead Time,
Biospherical Instruments,QSP-2150,QSP-2150,Make/Model Website,
Biospherical Instruments,QSP-2150,QSP-2150,Output Description,
Biospherical Instruments,QSP-2150,QSP-2150,Vendor Website,
Biospherical Instruments,QSP-2155,QSP-2155,Calibration Shelf Life,Needs annual recalibration
Biospherical Instruments,QSP-2155,QSP-2155,Connector,
Biospherical Instruments,QSP-2155,QSP-2155,Input Voltage Range,
Biospherical Instruments,QSP-2155,QSP-2155,Interface,
Biospherical Instruments,QSP-2155,QSP-2155,Lead Time,
Biospherical Instruments,QSP-2155,QSP-2155,Make/Model Website,
Biospherical Instruments,QSP-2155,QSP-2155,Output Description,
Biospherical Instruments,QSP-2155,QSP-2155,Vendor Website,
Biospherical Instruments,QSP-2200,QSP-2200,Calibration Shelf Life,Needs annual recalibration
Biospherical Instruments,QSP-2200,QSP-2200,Connector,
Biospherical Instruments,QSP-2200,QSP-2200,Input Voltage Range,
Biospherical Instruments,QSP-2200,QSP-2200,Interface,
Biospherical Instruments,QSP-2200,QSP-2200,Lead Time,
Biospherical Instruments,QSP-2200,QSP-2200,Make/Model Website,
Biospherical Instruments,QSP-2200,QSP-2200,Output Description,
Biospherical Instruments,QSP-2200,QSP-2200,Vendor Website,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Calibration Shelf Life,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Connector,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Input Voltage Range,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Interface,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Lead Time,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Make/Model Website,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Output Description,
Falmouth Scientific,ACM-3D-MP,ACM-3D-MP,Vendor Website,
Falmouth Scientific,ACM-Plus,ACM-Plus,Calibration Shelf Life,
Falmouth Scientific,ACM-Plus,ACM-Plus,Connector,
Falmouth Scientific,ACM-Plus,ACM-Plus,Input Voltage Range,
Falmouth Scientific,ACM-Plus,ACM-Plus,Interface,
Falmouth Scientific,ACM-Plus,ACM-Plus,Lead Time,
Falmouth Scientific,ACM-Plus,ACM-Plus,Make/Model Website,
Falmouth Scientific,ACM-Plus,ACM-Plus,Output Description,
Falmouth Scientific,ACM-Plus,ACM-Plus,Vendor Website,
Guralp,CMG-1T/5T,CMG-1T/5T,Calibration Shelf Life,
Guralp,CMG-1T/5T,CMG-1T/5T,Connector,
Guralp,CMG-1T/5T,CMG-1T/5T,Input Voltage Range,
Guralp,CMG-1T/5T,CMG-1T/5T,Interface,
Guralp,CMG-1T/5T,CMG-1T/5T,Lead Time,
Guralp,CMG-1T/5T,CMG-1T/5T,Make/Model Website,
Guralp,CMG-1T/5T,CMG-1T/5T,Output Description,
Guralp,CMG-1T/5T,CMG-1T/5T,Vendor Website,
Guralp,CMG-3T,CMG-3T,Calibration Shelf Life,
Guralp,CMG-3T,CMG-3T,Connector,
Guralp,CMG-3T,CMG-3T,Input Voltage Range,
Guralp,CMG-3T,CMG-3T,Interface,Ethernet
Guralp,CMG-3T,CMG-3T,Lead Time,
Guralp,CMG-3T,CMG-3T,Make/Model Website,
Guralp,CMG-3T,CMG-3T,Output Description,
Guralp,CMG-3T,CMG-3T,Vendor Website,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Calibration Shelf Life,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Connector,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Input Voltage Range,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Interface,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Lead Time,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Make/Model Website,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Output Description,
Guralp,Guralp (CMG-1 sec),Guralp (CMG-1 sec),Vendor Website,
HTI,90-U,90-U,Calibration Shelf Life,
HTI,90-U,90-U,Connector,
HTI,90-U,90-U,Input Voltage Range,
HTI,90-U,90-U,Interface,
HTI,90-U,90-U,Lead Time,
HTI,90-U,90-U,Make/Model Website,
HTI,90-U,90-U,Output Description,
HTI,90-U,90-U,Vendor Website,
Kongsberg,Modified EK-60,Modified EK-60,Calibration Shelf Life,
Kongsberg,Modified EK-60,Modified EK-60,Connector,
Kongsberg,Modified EK-60,Modified EK-60,Input Voltage Range,
Kongsberg,Modified EK-60,Modified EK-60,Interface,
Kongsberg,Modified EK-60,Modified EK-60,Lead Time,
Kongsberg,Modified EK-60,Modified EK-60,Make/Model Website,
Kongsberg,Modified EK-60,Modified EK-60,Output Description,
Kongsberg,Modified EK-60,Modified EK-60,Vendor Website,
Kongsberg,Modified OE14-408,Modified OE14-408,Calibration Shelf Life,
Kongsberg,Modified OE14-408,Modified OE14-408,Connector,
Kongsberg,Modified OE14-408,Modified OE14-408,Input Voltage Range,
Kongsberg,Modified OE14-408,Modified OE14-408,Interface,
Kongsberg,Modified OE14-408,Modified OE14-408,Lead Time,
Kongsberg,Modified OE14-408,Modified OE14-408,Make/Model Website,
Kongsberg,Modified OE14-408,Modified OE14-408,Output Description,
Kongsberg,Modified OE14-408,Modified OE14-408,Vendor Website,
Marv Lilley lab,BARS,BARS,Calibration Shelf Life,
Marv Lilley lab,BARS,BARS,Connector,"MCBH(WB)-8-FS-Ti (1:Data Gnd, 2:RD B+, 3: RD A-, 4:PPS/NC if not used, 5:TD A-, 6:TD B+, 7:Pwr Gnd, 8:+VDC)"
Marv Lilley lab,BARS,BARS,Input Voltage Range,24V (stepped down to 9V internally)
Marv Lilley lab,BARS,BARS,Interface,RS-422
Marv Lilley lab,BARS,BARS,Lead Time,
Marv Lilley lab,BARS,BARS,Make/Model Website,
Marv Lilley lab,BARS,BARS,Output Description,
Marv Lilley lab,BARS,BARS,Vendor Website,[Marv Lilley lab|http://www.ocean.washington.edu/home/Marvin+Lilley]
Nobska,MAVS-4,MAVS-4,Calibration Shelf Life,
Nobska,MAVS-4,MAVS-4,Connector,
Nobska,MAVS-4,MAVS-4,Input Voltage Range,
Nobska,MAVS-4,MAVS-4,Interface,
Nobska,MAVS-4,MAVS-4,Lead Time,"Quantity 1 to 5: 30 Days, Quantity 6 to 10: 45 Days, Quantities Greater than 10: 60 Days"
Nobska,MAVS-4,MAVS-4,Make/Model Website,
Nobska,MAVS-4,MAVS-4,Output Description,
Nobska,MAVS-4,MAVS-4,Vendor Website,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Calibration Shelf Life,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Connector,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Input Voltage Range,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Interface,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Lead Time,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Make/Model Website,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Output Description,
non-commercial,non-commercial BOTPT,non-commercial BOTPT,Vendor Website,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Calibration Shelf Life,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Connector,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Input Voltage Range,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Interface,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Lead Time,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Make/Model Website,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Output Description,
non-commercial,non-commercial FLOBN,non-commercial FLOBN,Vendor Website,
non-commercial,non-commercial HPIES,non-commercial HPIES,Calibration Shelf Life,
non-commercial,non-commercial HPIES,non-commercial HPIES,Connector,
non-commercial,non-commercial HPIES,non-commercial HPIES,Input Voltage Range,
non-commercial,non-commercial HPIES,non-commercial HPIES,Interface,
non-commercial,non-commercial HPIES,non-commercial HPIES,Lead Time,
non-commercial,non-commercial HPIES,non-commercial HPIES,Make/Model Website,
non-commercial,non-commercial HPIES,non-commercial HPIES,Output Description,
non-commercial,non-commercial HPIES,non-commercial HPIES,Vendor Website,
non-commercial,non-commercial MASSP,non-commercial MASSP,Calibration Shelf Life,
non-commercial,non-commercial MASSP,non-commercial MASSP,Connector,
non-commercial,non-commercial MASSP,non-commercial MASSP,Input Voltage Range,
non-commercial,non-commercial MASSP,non-commercial MASSP,Interface,
non-commercial,non-commercial MASSP,non-commercial MASSP,Lead Time,
non-commercial,non-commercial MASSP,non-commercial MASSP,Make/Model Website,
non-commercial,non-commercial MASSP,non-commercial MASSP,Output Description,
non-commercial,non-commercial MASSP,non-commercial MASSP,Vendor Website,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Calibration Shelf Life,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Connector,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Input Voltage Range,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Interface,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Lead Time,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Make/Model Website,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Output Description,
non-commercial,non-commercial OSMOI,non-commercial OSMOI,Vendor Website,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Calibration Shelf Life,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Connector,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Input Voltage Range,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Interface,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Lead Time,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Make/Model Website,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Output Description,
non-commercial,non-commercial PPSDN,non-commercial PPSDN,Vendor Website,
non-commercial,non-commercial RASFL,non-commercial RASFL,Calibration Shelf Life,
non-commercial,non-commercial RASFL,non-commercial RASFL,Connector,
non-commercial,non-commercial RASFL,non-commercial RASFL,Input Voltage Range,
non-commercial,non-commercial RASFL,non-commercial RASFL,Interface,
non-commercial,non-commercial RASFL,non-commercial RASFL,Lead Time,
non-commercial,non-commercial RASFL,non-commercial RASFL,Make/Model Website,
non-commercial,non-commercial RASFL,non-commercial RASFL,Output Description,
non-commercial,non-commercial RASFL,non-commercial RASFL,Vendor Website,
non-commercial,non-commercial THSPH,non-commercial THSPH,Calibration Shelf Life,
non-commercial,non-commercial THSPH,non-commercial THSPH,Connector,
non-commercial,non-commercial THSPH,non-commercial THSPH,Input Voltage Range,
non-commercial,non-commercial THSPH,non-commercial THSPH,Interface,
non-commercial,non-commercial THSPH,non-commercial THSPH,Lead Time,
non-commercial,non-commercial THSPH,non-commercial THSPH,Make/Model Website,
non-commercial,non-commercial THSPH,non-commercial THSPH,Output Description,
non-commercial,non-commercial THSPH,non-commercial THSPH,Vendor Website,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Calibration Shelf Life,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Connector,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Input Voltage Range,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Interface,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Lead Time,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Make/Model Website,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Output Description,
non-commercial,non-commercial TRHPH,non-commercial TRHPH,Vendor Website,
Nortek,Aquadopp,Aquadopp,Calibration Shelf Life,
Nortek,Aquadopp,Aquadopp,Connector,
Nortek,Aquadopp,Aquadopp,Input Voltage Range,
Nortek,Aquadopp,Aquadopp,Interface,
Nortek,Aquadopp,Aquadopp,Lead Time,
Nortek,Aquadopp,Aquadopp,Make/Model Website,
Nortek,Aquadopp,Aquadopp,Output Description,
Nortek,Aquadopp,Aquadopp,Vendor Website,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Calibration Shelf Life,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Connector,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Input Voltage Range,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Interface,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Lead Time,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Make/Model Website,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Output Description,
Nortek,Aquadopp 3000m,Aquadopp 3000m,Vendor Website,
Nortek,Aquadopp 300m,Aquadopp 300m,Calibration Shelf Life,
Nortek,Aquadopp 300m,Aquadopp 300m,Connector,
Nortek,Aquadopp 300m,Aquadopp 300m,Input Voltage Range,
Nortek,Aquadopp 300m,Aquadopp 300m,Interface,
Nortek,Aquadopp 300m,Aquadopp 300m,Lead Time,
Nortek,Aquadopp 300m,Aquadopp 300m,Make/Model Website,
Nortek,Aquadopp 300m,Aquadopp 300m,Output Description,
Nortek,Aquadopp 300m,Aquadopp 300m,Vendor Website,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Calibration Shelf Life,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Connector,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Input Voltage Range,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Interface,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Lead Time,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Make/Model Website,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Output Description,
Nortek,Aquadopp HR,Aquadopp HR with symmetric head,Vendor Website,
Nortek,Aquadopp II,Aquadopp II,Calibration Shelf Life,
Nortek,Aquadopp II,Aquadopp II,Connector,
Nortek,Aquadopp II,Aquadopp II,Input Voltage Range,
Nortek,Aquadopp II,Aquadopp II,Interface,
Nortek,Aquadopp II,Aquadopp II,Lead Time,
Nortek,Aquadopp II,Aquadopp II,Make/Model Website,
Nortek,Aquadopp II,Aquadopp II,Output Description,
Nortek,Aquadopp II,Aquadopp II,Vendor Website,
Nortek,VECTOR,VECTOR,Calibration Shelf Life,
Nortek,VECTOR,VECTOR,Connector,
Nortek,VECTOR,VECTOR,Input Voltage Range,
Nortek,VECTOR,VECTOR,Interface,
Nortek,VECTOR,VECTOR,Lead Time,6-8 weeks
Nortek,VECTOR,VECTOR,Make/Model Website,
Nortek,VECTOR,VECTOR,Output Description,
Nortek,VECTOR,VECTOR,Vendor Website,
Ocean Sonics,icListen HF,icListen HF,Calibration Shelf Life,
Ocean Sonics,icListen HF,icListen HF,Connector,
Ocean Sonics,icListen HF,icListen HF,Input Voltage Range,
Ocean Sonics,icListen HF,icListen HF,Interface,
Ocean Sonics,icListen HF,icListen HF,Lead Time,
Ocean Sonics,icListen HF,icListen HF,Make/Model Website,
Ocean Sonics,icListen HF,icListen HF,Output Description,
Ocean Sonics,icListen HF,icListen HF,Vendor Website,
Pro-Oceanus,pCO2-pro,pCO2-pro,Calibration Shelf Life,
Pro-Oceanus,pCO2-pro,pCO2-pro,Connector,
Pro-Oceanus,pCO2-pro,pCO2-pro,Input Voltage Range,
Pro-Oceanus,pCO2-pro,pCO2-pro,Interface,
Pro-Oceanus,pCO2-pro,pCO2-pro,Lead Time,
Pro-Oceanus,pCO2-pro,pCO2-pro,Make/Model Website,
Pro-Oceanus,pCO2-pro,pCO2-pro,Output Description,
Pro-Oceanus,pCO2-pro,pCO2-pro,Vendor Website,
RBR Global,XR-420,XR-420,Calibration Shelf Life,
RBR Global,XR-420,XR-420,Connector,
RBR Global,XR-420,XR-420,Input Voltage Range,
RBR Global,XR-420,XR-420,Interface,
RBR Global,XR-420,XR-420,Lead Time,
RBR Global,XR-420,XR-420,Make/Model Website,
RBR Global,XR-420,XR-420,Output Description,
RBR Global,XR-420,XR-420,Vendor Website,
Satlantic,Deep SUNA,Deep SUNA,Calibration Shelf Life,"None.  "David Gillett was just here from Satlantic.  He said that sitting on the shelf for years won't be a problem.  The cal starts to degrade only when the instrument in operating. " "
Satlantic,Deep SUNA,Deep SUNA,Connector,
Satlantic,Deep SUNA,Deep SUNA,Input Voltage Range,
Satlantic,Deep SUNA,Deep SUNA,Interface,
Satlantic,Deep SUNA,Deep SUNA,Lead Time,
Satlantic,Deep SUNA,Deep SUNA,Make/Model Website,
Satlantic,Deep SUNA,Deep SUNA,Output Description,
Satlantic,Deep SUNA,Deep SUNA,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,digital PAR,digital PAR,Calibration Shelf Life,
Satlantic,digital PAR,digital PAR,Connector,
Satlantic,digital PAR,digital PAR,Input Voltage Range,
Satlantic,digital PAR,digital PAR,Interface,
Satlantic,digital PAR,digital PAR,Lead Time,
Satlantic,digital PAR,digital PAR,Make/Model Website,
Satlantic,digital PAR,digital PAR,Output Description,
Satlantic,digital PAR,digital PAR,Vendor Website,
Satlantic,ISUS,ISUS,Calibration Shelf Life,"None.  "David Gillett was just here from Satlantic.  He said that sitting on the shelf for years won't be a problem.  The cal starts to degrade only when the instrument in operating. " "
Satlantic,ISUS,ISUS,Connector,
Satlantic,ISUS,ISUS,Input Voltage Range,
Satlantic,ISUS,ISUS,Interface,
Satlantic,ISUS,ISUS,Lead Time,10-12 weeks
Satlantic,ISUS,ISUS,Make/Model Website,
Satlantic,ISUS,ISUS,Output Description,
Satlantic,ISUS,ISUS,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,OCR507 ICSW,OCR507 ICSW,Calibration Shelf Life,"None.  "David Gillett was just here from Satlantic.  He said that sitting on the shelf for years won't be a problem.  The cal starts to degrade only when the instrument in operating."  "
Satlantic,OCR507 ICSW,OCR507 ICSW,Connector,
Satlantic,OCR507 ICSW,OCR507 ICSW,Input Voltage Range,
Satlantic,OCR507 ICSW,OCR507 ICSW,Interface,
Satlantic,OCR507 ICSW,OCR507 ICSW,Lead Time,6-8 weeks
Satlantic,OCR507 ICSW,OCR507 ICSW,Make/Model Website,
Satlantic,OCR507 ICSW,OCR507 ICSW,Output Description,
Satlantic,OCR507 ICSW,OCR507 ICSW,Vendor Website,[Satlantic|http://www.satlantic.com/]
Satlantic,PAR-SER-600m,PAR-SER-600m,Calibration Shelf Life,
Satlantic,PAR-SER-600m,PAR-SER-600m,Connector,"MCBH(WB)-6-FS-Ti (1:Gnd, 2:RXD, 3:TXD, 4:+VDC, 5:NC, 6:NC)"
Satlantic,PAR-SER-600m,PAR-SER-600m,Input Voltage Range,6-30 VDC
Satlantic,PAR-SER-600m,PAR-SER-600m,Interface,RS-232
Satlantic,PAR-SER-600m,PAR-SER-600m,Lead Time,
Satlantic,PAR-SER-600m,PAR-SER-600m,Make/Model Website,[PAR-SER-600m|http://www.satlantic.com/details.asp?ID=30&CategoryID=1&SubCategoryID=1008]
