Textbox8,tbToday
Node Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Node,Node_Type,Node_Site_Sequence,Attribute,AttributeValue
CE01ISSM-MF004,MF,004,depth_port_max,
CE01ISSM-MF004,MF,004,depth_port_min,
CE01ISSM-MF004,MF,004,depth_subsite,24.3
CE01ISSM-MF004,MF,004,First Deployment Date,2014-04
CE01ISSM-MF004,MF,004,latitude,44.66
CE01ISSM-MF004,MF,004,longitude,124.1
CE01ISSM-MF004,MF,004,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004,MF,004,Relative Depth,
CE01ISSM-MF005,MF,005,depth_port_max,
CE01ISSM-MF005,MF,005,depth_port_min,
CE01ISSM-MF005,MF,005,depth_subsite,24.3
CE01ISSM-MF005,MF,005,First Deployment Date,2014-04
CE01ISSM-MF005,MF,005,latitude,44.66
CE01ISSM-MF005,MF,005,longitude,124.1
CE01ISSM-MF005,MF,005,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005,MF,005,Relative Depth,
CE01ISSM-RI002,RI,002,depth_port_max,
CE01ISSM-RI002,RI,002,depth_port_min,
CE01ISSM-RI002,RI,002,depth_subsite,24.3
CE01ISSM-RI002,RI,002,First Deployment Date,2014-04
CE01ISSM-RI002,RI,002,latitude,44.66
CE01ISSM-RI002,RI,002,longitude,124.1
CE01ISSM-RI002,RI,002,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI002,RI,002,Relative Depth,
CE01ISSM-RI003,RI,003,depth_port_max,
CE01ISSM-RI003,RI,003,depth_port_min,
CE01ISSM-RI003,RI,003,depth_subsite,24.3
CE01ISSM-RI003,RI,003,First Deployment Date,2014-04
CE01ISSM-RI003,RI,003,latitude,44.66
CE01ISSM-RI003,RI,003,longitude,124.1
CE01ISSM-RI003,RI,003,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003,RI,003,Relative Depth,
CE01ISSM-SB001,SB,001,depth_port_max,
CE01ISSM-SB001,SB,001,depth_port_min,
CE01ISSM-SB001,SB,001,depth_subsite,24.3
CE01ISSM-SB001,SB,001,First Deployment Date,2014-04
CE01ISSM-SB001,SB,001,latitude,44.66
CE01ISSM-SB001,SB,001,longitude,124.1
CE01ISSM-SB001,SB,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-SB001,SB,001,Relative Depth,
CE01ISSP-SP001,SP,001,depth_port_max,
CE01ISSP-SP001,SP,001,depth_port_min,
CE01ISSP-SP001,SP,001,depth_subsite,24.3
CE01ISSP-SP001,SP,001,First Deployment Date,2014-10
CE01ISSP-SP001,SP,001,latitude,44.66
CE01ISSP-SP001,SP,001,longitude,124.1
CE01ISSP-SP001,SP,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001,SP,001,Relative Depth,
CE02SHBP-LJ01D,LJ,01D,depth_port_max,
CE02SHBP-LJ01D,LJ,01D,depth_port_min,
CE02SHBP-LJ01D,LJ,01D,depth_subsite,80
CE02SHBP-LJ01D,LJ,01D,First Deployment Date,2014-07
CE02SHBP-LJ01D,LJ,01D,latitude,44.64
CE02SHBP-LJ01D,LJ,01D,longitude,124.31
CE02SHBP-LJ01D,LJ,01D,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D,LJ,01D,Relative Depth,
CE02SHBP-MJ01C,MJ,01C,depth_port_max,
CE02SHBP-MJ01C,MJ,01C,depth_port_min,
CE02SHBP-MJ01C,MJ,01C,depth_subsite,80
CE02SHBP-MJ01C,MJ,01C,First Deployment Date,2014-07
CE02SHBP-MJ01C,MJ,01C,latitude,44.64
CE02SHBP-MJ01C,MJ,01C,longitude,124.31
CE02SHBP-MJ01C,MJ,01C,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-MJ01C,MJ,01C,Relative Depth,
CE02SHSM-RI002,RI,002,depth_port_max,
CE02SHSM-RI002,RI,002,depth_port_min,
CE02SHSM-RI002,RI,002,depth_subsite,80
CE02SHSM-RI002,RI,002,First Deployment Date,2014-10
CE02SHSM-RI002,RI,002,latitude,44.64
CE02SHSM-RI002,RI,002,longitude,124.31
CE02SHSM-RI002,RI,002,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002,RI,002,Relative Depth,
CE02SHSM-RI003,RI,003,depth_port_max,
CE02SHSM-RI003,RI,003,depth_port_min,
CE02SHSM-RI003,RI,003,depth_subsite,80
CE02SHSM-RI003,RI,003,First Deployment Date,2014-10
