Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE01ISSM-MF004-01-DOSTAD999,DOSTA,depth_port_max,23
CE01ISSM-MF004-01-DOSTAD999,DOSTA,depth_port_min,23
CE01ISSM-MF004-01-DOSTAD999,DOSTA,depth_subsite,24.3
CE01ISSM-MF004-01-DOSTAD999,DOSTA,First Deployment Date,2014-04
CE01ISSM-MF004-01-DOSTAD999,DOSTA,latitude,44.66
CE01ISSM-MF004-01-DOSTAD999,DOSTA,longitude,124.1
CE01ISSM-MF004-01-DOSTAD999,DOSTA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-01-DOSTAD999,DOSTA,Relative Depth,2m above the bottom
CE01ISSM-MF004-02-PHSEND999,PHSEN,depth_port_max,23
CE01ISSM-MF004-02-PHSEND999,PHSEN,depth_port_min,23
CE01ISSM-MF004-02-PHSEND999,PHSEN,depth_subsite,24.3
CE01ISSM-MF004-02-PHSEND999,PHSEN,First Deployment Date,2014-04
CE01ISSM-MF004-02-PHSEND999,PHSEN,latitude,44.66
CE01ISSM-MF004-02-PHSEND999,PHSEN,longitude,124.1
CE01ISSM-MF004-02-PHSEND999,PHSEN,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-02-PHSEND999,PHSEN,Relative Depth,2m above the bottom
CE01ISSM-MF004-03-OPTAAD999,OPTAA,depth_port_max,23
CE01ISSM-MF004-03-OPTAAD999,OPTAA,depth_port_min,23
CE01ISSM-MF004-03-OPTAAD999,OPTAA,depth_subsite,24.3
CE01ISSM-MF004-03-OPTAAD999,OPTAA,First Deployment Date,2014-04
CE01ISSM-MF004-03-OPTAAD999,OPTAA,latitude,44.66
CE01ISSM-MF004-03-OPTAAD999,OPTAA,longitude,124.1
CE01ISSM-MF004-03-OPTAAD999,OPTAA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-03-OPTAAD999,OPTAA,Relative Depth,2m above the bottom
CE01ISSM-MF004-04-PCO2WB999,PCO2W,depth_port_max,23
CE01ISSM-MF004-04-PCO2WB999,PCO2W,depth_port_min,23
CE01ISSM-MF004-04-PCO2WB999,PCO2W,depth_subsite,24.3
CE01ISSM-MF004-04-PCO2WB999,PCO2W,First Deployment Date,2014-04
CE01ISSM-MF004-04-PCO2WB999,PCO2W,latitude,44.66
CE01ISSM-MF004-04-PCO2WB999,PCO2W,longitude,124.1
CE01ISSM-MF004-04-PCO2WB999,PCO2W,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-04-PCO2WB999,PCO2W,Relative Depth,2m above the bottom
CE01ISSM-MF004-05-ADCPTM999,ADCPT,depth_port_max,25
CE01ISSM-MF004-05-ADCPTM999,ADCPT,depth_port_min,25
CE01ISSM-MF004-05-ADCPTM999,ADCPT,depth_subsite,24.3
CE01ISSM-MF004-05-ADCPTM999,ADCPT,First Deployment Date,2014-04
CE01ISSM-MF004-05-ADCPTM999,ADCPT,latitude,44.66
CE01ISSM-MF004-05-ADCPTM999,ADCPT,longitude,124.1
CE01ISSM-MF004-05-ADCPTM999,ADCPT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-05-ADCPTM999,ADCPT,Relative Depth,"Bottom mount, uplooking"
CE01ISSM-MF005-01-CTDBPC999,CTDBP,depth_port_max,23
CE01ISSM-MF005-01-CTDBPC999,CTDBP,depth_port_min,23
CE01ISSM-MF005-01-CTDBPC999,CTDBP,depth_subsite,24.3
CE01ISSM-MF005-01-CTDBPC999,CTDBP,First Deployment Date,2014-04
CE01ISSM-MF005-01-CTDBPC999,CTDBP,latitude,44.66
CE01ISSM-MF005-01-CTDBPC999,CTDBP,longitude,124.1
CE01ISSM-MF005-01-CTDBPC999,CTDBP,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005-01-CTDBPC999,CTDBP,Relative Depth,2m above the bottom
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,depth_port_max,23
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,depth_port_min,23
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,depth_subsite,24.3
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,First Deployment Date,2014-04
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,latitude,44.66
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,longitude,124.1
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005-02-ZPLSCC999,ZPLSC,Relative Depth,"Mounted 2m above bottom, uplooking"
CE01ISSM-MF005-03-VEL3DD999,VEL3D,depth_port_max,23
CE01ISSM-MF005-03-VEL3DD999,VEL3D,depth_port_min,23
CE01ISSM-MF005-03-VEL3DD999,VEL3D,depth_subsite,24.3
CE01ISSM-MF005-03-VEL3DD999,VEL3D,First Deployment Date,2014-04
CE01ISSM-MF005-03-VEL3DD999,VEL3D,latitude,44.66
CE01ISSM-MF005-03-VEL3DD999,VEL3D,longitude,124.1
