Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
ADCPA,M,ADCPA Series M,2009 Baseline Price*,
ADCPA,M,ADCPA Series M,2009 Deployed Instrument Count,3
ADCPA,M,ADCPA Series M,Alternate Instrument Class Name,Velocity Profiler (short range) for mobile assets
ADCPA,M,ADCPA Series M,CE Spares,
ADCPA,M,ADCPA Series M,CGSN MREFC Spares,
ADCPA,M,ADCPA Series M,CGSN O&M Spares,
ADCPA,M,ADCPA Series M,CGSN P/N,
ADCPA,M,ADCPA Series M,ClassLongName,velocity_profile_mobile_asset
ADCPA,M,ADCPA Series M,Comments,
ADCPA,M,ADCPA Series M,CP Spares,
ADCPA,M,ADCPA Series M,Description,ADCPs to be mounted on gliders and AUVs
ADCPA,M,ADCPA Series M,ECRs that changed the count,
ADCPA,M,ADCPA Series M,Global Spares,
ADCPA,M,ADCPA Series M,Instrument Configuration,
ADCPA,M,ADCPA Series M,Link to the Specification,
ADCPA,M,ADCPA Series M,Notes,
ADCPA,M,ADCPA Series M,PrimaryScienceDiscipline,P
ADCPA,M,ADCPA Series M,Produces Acoustic Interference,
ADCPA,M,ADCPA Series M,Ready for 2013?,
ADCPA,M,ADCPA Series M,RSN O&M Spares,
ADCPA,M,ADCPA Series M,RSN Part Number,
ADCPA,M,ADCPA Series M,Susceptible to Acoustic Interference,Yes
ADCPA,M,ADCPA Series M,"Vendor CLIN, SubCLIN or Model #",
ADCPA,N,ADCPA Series N,2009 Baseline Price*,
ADCPA,N,ADCPA Series N,2009 Deployed Instrument Count,3
ADCPA,N,ADCPA Series N,Alternate Instrument Class Name,Velocity Profiler (short range) for mobile assets
ADCPA,N,ADCPA Series N,CE Spares,
ADCPA,N,ADCPA Series N,CGSN MREFC Spares,
ADCPA,N,ADCPA Series N,CGSN O&M Spares,
ADCPA,N,ADCPA Series N,CGSN P/N,
ADCPA,N,ADCPA Series N,ClassLongName,velocity_profile_mobile_asset
ADCPA,N,ADCPA Series N,Comments,
ADCPA,N,ADCPA Series N,CP Spares,
ADCPA,N,ADCPA Series N,Description,ADCPs to be mounted on gliders and AUVs
ADCPA,N,ADCPA Series N,ECRs that changed the count,
ADCPA,N,ADCPA Series N,Global Spares,
ADCPA,N,ADCPA Series N,Instrument Configuration,
ADCPA,N,ADCPA Series N,Link to the Specification,
ADCPA,N,ADCPA Series N,Notes,
ADCPA,N,ADCPA Series N,PrimaryScienceDiscipline,P
