Textbox8,tbToday
Site Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Site,Site_Name,Attribute,AttributeValue
CE01,Oregon (OR) Inshore,depth_port_max,
CE01,Oregon (OR) Inshore,depth_port_min,
CE01,Oregon (OR) Inshore,depth_subsite,
CE01,Oregon (OR) Inshore,First Deployment Date,2014-04
CE01,Oregon (OR) Inshore,latitude,
CE01,Oregon (OR) Inshore,longitude,
CE01,Oregon (OR) Inshore,Platform Agent Type,
CE01,Oregon (OR) Inshore,Relative Depth,
CE02,Oregon (OR) Shelf,depth_port_max,
CE02,Oregon (OR) Shelf,depth_port_min,
CE02,Oregon (OR) Shelf,depth_subsite,
CE02,Oregon (OR) Shelf,First Deployment Date,2014-07
CE02,Oregon (OR) Shelf,latitude,
CE02,Oregon (OR) Shelf,longitude,
CE02,Oregon (OR) Shelf,Platform Agent Type,
CE02,Oregon (OR) Shelf,Relative Depth,
CE04,Oregon (OR) Offshore,depth_port_max,
CE04,Oregon (OR) Offshore,depth_port_min,
CE04,Oregon (OR) Offshore,depth_subsite,
CE04,Oregon (OR) Offshore,First Deployment Date,2014-07
CE04,Oregon (OR) Offshore,latitude,
CE04,Oregon (OR) Offshore,longitude,
CE04,Oregon (OR) Offshore,Platform Agent Type,
CE04,Oregon (OR) Offshore,Relative Depth,
CE05,Endurance Mobile Asset,depth_port_max,
CE05,Endurance Mobile Asset,depth_port_min,
CE05,Endurance Mobile Asset,depth_subsite,
CE05,Endurance Mobile Asset,First Deployment Date,
CE05,Endurance Mobile Asset,latitude,
CE05,Endurance Mobile Asset,longitude,
CE05,Endurance Mobile Asset,Platform Agent Type,
CE05,Endurance Mobile Asset,Relative Depth,
CE06,Washington (WA) Inshore,depth_port_max,
CE06,Washington (WA) Inshore,depth_port_min,
CE06,Washington (WA) Inshore,depth_subsite,
CE06,Washington (WA) Inshore,First Deployment Date,2014-04
CE06,Washington (WA) Inshore,latitude,
CE06,Washington (WA) Inshore,longitude,
CE06,Washington (WA) Inshore,Platform Agent Type,
CE06,Washington (WA) Inshore,Relative Depth,
CE07,Washington (WA) Shelf,depth_port_max,
CE07,Washington (WA) Shelf,depth_port_min,
CE07,Washington (WA) Shelf,depth_subsite,
CE07,Washington (WA) Shelf,First Deployment Date,
CE07,Washington (WA) Shelf,latitude,
CE07,Washington (WA) Shelf,longitude,
CE07,Washington (WA) Shelf,Platform Agent Type,
CE07,Washington (WA) Shelf,Relative Depth,
CE09,Washington (WA) Offshore,depth_port_max,
CE09,Washington (WA) Offshore,depth_port_min,
CE09,Washington (WA) Offshore,depth_subsite,
CE09,Washington (WA) Offshore,First Deployment Date,
CE09,Washington (WA) Offshore,latitude,
CE09,Washington (WA) Offshore,longitude,
CE09,Washington (WA) Offshore,Platform Agent Type,
CE09,Washington (WA) Offshore,Relative Depth,
CP01,Pioneer Central,depth_port_max,
CP01,Pioneer Central,depth_port_min,
CP01,Pioneer Central,depth_subsite,
CP01,Pioneer Central,First Deployment Date,
CP01,Pioneer Central,latitude,
CP01,Pioneer Central,longitude,
CP01,Pioneer Central,Platform Agent Type,
CP01,Pioneer Central,Relative Depth,
CP02,Pioneer Profilers Moorings Only,depth_port_max,
CP02,Pioneer Profilers Moorings Only,depth_port_min,
CP02,Pioneer Profilers Moorings Only,depth_subsite,
CP02,Pioneer Profilers Moorings Only,First Deployment Date,
CP02,Pioneer Profilers Moorings Only,latitude,
CP02,Pioneer Profilers Moorings Only,longitude,
CP02,Pioneer Profilers Moorings Only,Platform Agent Type,
CP02,Pioneer Profilers Moorings Only,Relative Depth,
CP03,Pioneer Inshore,depth_port_max,
CP03,Pioneer Inshore,depth_port_min,
CP03,Pioneer Inshore,depth_subsite,
CP03,Pioneer Inshore,First Deployment Date,
CP03,Pioneer Inshore,latitude,
CP03,Pioneer Inshore,longitude,
CP03,Pioneer Inshore,Platform Agent Type,
CP03,Pioneer Inshore,Relative Depth,
CP04,Pioneer Offshore,depth_port_max,
CP04,Pioneer Offshore,depth_port_min,
CP04,Pioneer Offshore,depth_subsite,
CP04,Pioneer Offshore,First Deployment Date,
CP04,Pioneer Offshore,latitude,
CP04,Pioneer Offshore,longitude,
CP04,Pioneer Offshore,Platform Agent Type,
CP04,Pioneer Offshore,Relative Depth,
CP05,Pioneer Mobile Asset,depth_port_max,
CP05,Pioneer Mobile Asset,depth_port_min,
CP05,Pioneer Mobile Asset,depth_subsite,
CP05,Pioneer Mobile Asset,First Deployment Date,
CP05,Pioneer Mobile Asset,latitude,
CP05,Pioneer Mobile Asset,longitude,
CP05,Pioneer Mobile Asset,Platform Agent Type,
CP05,Pioneer Mobile Asset,Relative Depth,
GA01,Argentine Surface Mooring,depth_port_max,
GA01,Argentine Surface Mooring,depth_port_min,
GA01,Argentine Surface Mooring,depth_subsite,
GA01,Argentine Surface Mooring,First Deployment Date,
GA01,Argentine Surface Mooring,latitude,
GA01,Argentine Surface Mooring,longitude,
GA01,Argentine Surface Mooring,Platform Agent Type,
GA01,Argentine Surface Mooring,Relative Depth,
GA02,Argentine Hybrid Profiler Mooring,depth_port_max,
GA02,Argentine Hybrid Profiler Mooring,depth_port_min,
GA02,Argentine Hybrid Profiler Mooring,depth_subsite,
GA02,Argentine Hybrid Profiler Mooring,First Deployment Date,
GA02,Argentine Hybrid Profiler Mooring,latitude,
GA02,Argentine Hybrid Profiler Mooring,longitude,
GA02,Argentine Hybrid Profiler Mooring,Platform Agent Type,
GA02,Argentine Hybrid Profiler Mooring,Relative Depth,
GA03,Argentine Flanking Mooring,depth_port_max,
GA03,Argentine Flanking Mooring,depth_port_min,
GA03,Argentine Flanking Mooring,depth_subsite,
GA03,Argentine Flanking Mooring,First Deployment Date,
GA03,Argentine Flanking Mooring,latitude,
GA03,Argentine Flanking Mooring,longitude,
GA03,Argentine Flanking Mooring,Platform Agent Type,
GA03,Argentine Flanking Mooring,Relative Depth,
GA05,Argentine Mobile Asset,depth_port_max,
GA05,Argentine Mobile Asset,depth_port_min,
GA05,Argentine Mobile Asset,depth_subsite,
GA05,Argentine Mobile Asset,First Deployment Date,
GA05,Argentine Mobile Asset,latitude,
GA05,Argentine Mobile Asset,longitude,
GA05,Argentine Mobile Asset,Platform Agent Type,
GA05,Argentine Mobile Asset,Relative Depth,
GI01,Irminger Surface Mooring,depth_port_max,
GI01,Irminger Surface Mooring,depth_port_min,
GI01,Irminger Surface Mooring,depth_subsite,
GI01,Irminger Surface Mooring,First Deployment Date,2014-09
GI01,Irminger Surface Mooring,latitude,
GI01,Irminger Surface Mooring,longitude,
GI01,Irminger Surface Mooring,Platform Agent Type,
GI01,Irminger Surface Mooring,Relative Depth,
GI02,Irminger Hybrid Profiler Mooring,depth_port_max,
GI02,Irminger Hybrid Profiler Mooring,depth_port_min,
GI02,Irminger Hybrid Profiler Mooring,depth_subsite,
GI02,Irminger Hybrid Profiler Mooring,First Deployment Date,2014-09
GI02,Irminger Hybrid Profiler Mooring,latitude,
GI02,Irminger Hybrid Profiler Mooring,longitude,
GI02,Irminger Hybrid Profiler Mooring,Platform Agent Type,
GI02,Irminger Hybrid Profiler Mooring,Relative Depth,
GI03,Irminger Flanking Mooring,depth_port_max,
GI03,Irminger Flanking Mooring,depth_port_min,
GI03,Irminger Flanking Mooring,depth_subsite,
GI03,Irminger Flanking Mooring,First Deployment Date,2014-09
GI03,Irminger Flanking Mooring,latitude,
GI03,Irminger Flanking Mooring,longitude,
GI03,Irminger Flanking Mooring,Platform Agent Type,
GI03,Irminger Flanking Mooring,Relative Depth,
GI05,Irminger Mobile Asset,depth_port_max,
GI05,Irminger Mobile Asset,depth_port_min,
GI05,Irminger Mobile Asset,depth_subsite,
GI05,Irminger Mobile Asset,First Deployment Date,2014-09
GI05,Irminger Mobile Asset,latitude,
GI05,Irminger Mobile Asset,longitude,
GI05,Irminger Mobile Asset,Platform Agent Type,
GI05,Irminger Mobile Asset,Relative Depth,
GP02,Papa Hybrid Profiler Mooring,depth_port_max,
GP02,Papa Hybrid Profiler Mooring,depth_port_min,
GP02,Papa Hybrid Profiler Mooring,depth_subsite,
GP02,Papa Hybrid Profiler Mooring,First Deployment Date,
GP02,Papa Hybrid Profiler Mooring,latitude,
GP02,Papa Hybrid Profiler Mooring,longitude,
GP02,Papa Hybrid Profiler Mooring,Platform Agent Type,
GP02,Papa Hybrid Profiler Mooring,Relative Depth,
GP03,Papa Flanking Mooring,depth_port_max,
GP03,Papa Flanking Mooring,depth_port_min,
GP03,Papa Flanking Mooring,depth_subsite,
GP03,Papa Flanking Mooring,First Deployment Date,
GP03,Papa Flanking Mooring,latitude,
GP03,Papa Flanking Mooring,longitude,
GP03,Papa Flanking Mooring,Platform Agent Type,
GP03,Papa Flanking Mooring,Relative Depth,
GP05,Papa Mobile Asset,depth_port_max,
