Textbox8,tbToday
Subseries Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Subseries,Subseries_Name,Attribute,AttributeValue
ADCPA,M,01,ADCPA Series M Sub 01,2009 Baseline Price*,
ADCPA,M,01,ADCPA Series M Sub 01,2009 Deployed Instrument Count,3
ADCPA,M,01,ADCPA Series M Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range) for mobile assets
ADCPA,M,01,ADCPA Series M Sub 01,CE Spares,
ADCPA,M,01,ADCPA Series M Sub 01,CGSN MREFC Spares,
ADCPA,M,01,ADCPA Series M Sub 01,CGSN O&M Spares,
ADCPA,M,01,ADCPA Series M Sub 01,CGSN P/N,3305-00009-00001
ADCPA,M,01,ADCPA Series M Sub 01,ClassLongName,velocity_profile_mobile_asset
ADCPA,M,01,ADCPA Series M Sub 01,Comments,TWR P/N: 4334 Rev. 01
ADCPA,M,01,ADCPA Series M Sub 01,CP Spares,
ADCPA,M,01,ADCPA Series M Sub 01,Description,ADCPs to be mounted on gliders and AUVs
ADCPA,M,01,ADCPA Series M Sub 01,ECRs that changed the count,
ADCPA,M,01,ADCPA Series M Sub 01,Global Spares,
ADCPA,M,01,ADCPA Series M Sub 01,Instrument Configuration,Teledyne RDI Explorer DVL 600 kHz
ADCPA,M,01,ADCPA Series M Sub 01,Link to the Specification,
ADCPA,M,01,ADCPA Series M Sub 01,Notes,
ADCPA,M,01,ADCPA Series M Sub 01,PrimaryScienceDiscipline,P
ADCPA,M,01,ADCPA Series M Sub 01,Produces Acoustic Interference,
ADCPA,M,01,ADCPA Series M Sub 01,Ready for 2013?,
ADCPA,M,01,ADCPA Series M Sub 01,RSN O&M Spares,
ADCPA,M,01,ADCPA Series M Sub 01,RSN Part Number,
ADCPA,M,01,ADCPA Series M Sub 01,Susceptible to Acoustic Interference,Yes
ADCPA,M,01,ADCPA Series M Sub 01,"Vendor CLIN, SubCLIN or Model #",
ADCPA,N,01,ADCPA Series N Sub 01,2009 Baseline Price*,
ADCPA,N,01,ADCPA Series N Sub 01,2009 Deployed Instrument Count,3
ADCPA,N,01,ADCPA Series N Sub 01,Alternate Instrument Class Name,Velocity Profiler (short range) for mobile assets
ADCPA,N,01,ADCPA Series N Sub 01,CE Spares,
ADCPA,N,01,ADCPA Series N Sub 01,CGSN MREFC Spares,
ADCPA,N,01,ADCPA Series N Sub 01,CGSN O&M Spares,
ADCPA,N,01,ADCPA Series N Sub 01,CGSN P/N,3305-00009-00002
ADCPA,N,01,ADCPA Series N Sub 01,ClassLongName,velocity_profile_mobile_asset
ADCPA,N,01,ADCPA Series N Sub 01,Comments,up/down looking
ADCPA,N,01,ADCPA Series N Sub 01,CP Spares,
ADCPA,N,01,ADCPA Series N Sub 01,Description,ADCPs to be mounted on gliders and AUVs
ADCPA,N,01,ADCPA Series N Sub 01,ECRs that changed the count,
ADCPA,N,01,ADCPA Series N Sub 01,Global Spares,
