Textbox8,tbToday
Data Product Spreadsheet,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level1,Units,DPS_DCN_s_,Processing_Flow_Diagram_DCN_s_,Instrument_Class,Instrument_Name,First_Deployment_Date,DOORS_L2_Science_Req__,Regime_s_
ABSTHRM,PHSEN Thermistor Temperature,L0,volts,DCN 1341-00507,DCN 1342-00510,PHSEN,pH stable,2013-07-17,Derived from design to achieve PHWATER,Water Column
BARPRES,Barometric Pressure,L0,mbar,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3020,"Air-Sea Interface, Surface Water"
BARPRES,Barometric Pressure,L1,Pa,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3020,"Air-Sea Interface, Surface Water"
BENTHFL,Benthic Flow Rates,L2,m/yr,DCN 1341-00220,DCN 1342-00220,FLOBN,Benthic Flow,2014-07,L2-SR-RQ-3087,Seafloor/Crust
BOTPRES,Nano-resolution Bottom Pressure,L1,nanoPascal,DCN 1341-00070,DCN 1342-00060,BOTPT,Pressure bottom tilt,2014-07,L2-SR-RQ-3084,Seafloor/Crust
BOTSFLU,Seafloor Uplift and Deflation,L2,meters,DCN 1341-00080,DCN 1342-00060,BOTPT,Pressure bottom tilt,2014-07,L2-SR-RQ-3084,Seafloor/Crust
BOTTILT,Seafloor High-Resolution Tilt,L0,microradians,DCN 1341-00060,DCN 1342-00060,BOTPT,Pressure bottom tilt,2014-07,L2-SR-RQ-3084,Seafloor/Crust
BOTTILT,Seafloor High-Resolution Tilt,L1,microradians,DCN 1341-00060,DCN 1342-00060,BOTPT,Pressure bottom tilt,2014-07,L2-SR-RQ-3084,Seafloor/Crust
CAMSTIL,Still Image ,L1,Lossless compression Image File,DCN 1341-00830,n/a,CAMDS,Camera digital still strobe,2014-04,L2-SR-RQ-3805,"Benthic Boundary Layer, Seafloor/Crust"
CDOMFLO,Fluorometric CDOM Concentration,L0,counts,DCN 1341-00550,DCN 1342-00530,FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3187,Water Column
CDOMFLO,Fluorometric CDOM Concentration,L1,ppm,DCN 1341-00550,DCN 1342-00530,FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3187,Water Column
CHLAFLO,Fluorometric Chlorophyll-a Concentration,L0,counts,DCN 1341-00530,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORD,Fluorometer two wavelength,2013-07-17,L2-SR-RQ-3185,Water Column
CHLAFLO,Fluorometric Chlorophyll-a Concentration,L0,counts,DCN 1341-00530,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3185,Water Column
CHLAFLO,Fluorometric Chlorophyll-a Concentration,L1,ug/L,DCN 1341-00530,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORD,Fluorometer two wavelength,2013-07-17,L2-SR-RQ-3185,Water Column
CHLAFLO,Fluorometric Chlorophyll-a Concentration,L1,ug/L,DCN 1341-00530,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3185,Water Column
CO2ABS1,Optical Absorbance Ratio at 434nm,L0,unitless,DCN 1341-00487,DCN 1342-00490,PCO2W,pCO2 water,2013-11,Derived from design to achieve PCO2WAT,Water Column
CO2ABS2,Optical Absorbance Ratio at 620nm,L0,unitless,DCN 1341-00488,DCN 1342-00490,PCO2W,pCO2 water,2013-11,Derived from design to achieve PCO2WAT,Water Column
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,L2,mol m-2 s-1,DCN 1341-00270,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,L2-SR-RQ-3032,Air-Sea Interface
CO2THRM,PCO2W Thermistor Temperature,L0,volts,DCN 1341-00489,DCN 1342-00490,PCO2W,pCO2 water,2013-11,Derived from design to achieve PCO2WAT,Water Column
CONDSRF,Sea Surface Conductivity,L1,S/m,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,"L2-SR-RQ-3413, L2-SR-RQ-3711","Air-Sea Interface, Surface Water"
CONDWAT,Conductivity,L0,unitless,DCN 1341-00030,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L0,unitless,DCN 1341-00030,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L0,unitless,DCN 1341-00030,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L0,unitless,DCN 1341-00030,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L0,unitless,DCN 1341-00030,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L1,S/m,DCN 1341-00030,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L1,S/m,DCN 1341-00030,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L1,S/m,DCN 1341-00030,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L1,S/m,DCN 1341-00030,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3045,Water Column
CONDWAT,Conductivity,L1,S/m,DCN 1341-00030,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3045,Water Column
DENSITY,Density,L2,kg/m^3,DCN 1341-00050,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3065,Water Column
DENSITY,Density,L2,kg/m^3,DCN 1341-00050,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3065,Water Column
DENSITY,Density,L2,kg/m^3,DCN 1341-00050,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3065,Water Column
DENSITY,Density,L2,kg/m^3,DCN 1341-00050,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3065,Water Column
DENSITY,Density,L2,kg/m^3,DCN 1341-00050,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3065,Water Column
DNASAMP,16s rRNA sequence of filtered physical sample,L2,2 micron filter,DCN 1341-00630,n/a,PPSDN,DNA particulate,2014-07,L2-SR-RQ-3850,Seafloor/Crust
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,L0,counts,DCN 1341-00521,DCN 1342-00521,DOFST,Oxygen dissolved fastresp,2013-11, L2-SR-RQ-3048,Water Column
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,L2, µmol/kg,DCN 1341-00521,DCN 1342-00521,DOFST,Oxygen dissolved fastresp,2013-11,L2-SR-RQ-3048,Water Column
DOCONCS,Oxygen Concentration from Stable DO Instrument,L0,angular degrees,DCN 1341-00520,DCN 1342-00520,DOSTA,Oxygen dissolved stable,2013-07-17,L2-SR-RQ-3048,Water Column
DOCONCS,Oxygen Concentration from Stable DO Instrument,L1,umol/kg,DCN 1341-00520,DCN 1342-00520,DOSTA,Oxygen dissolved stable,2013-07-17, L2-SR-RQ-3048, Water Column
DOXYGEN,Oxygen Concentration from Stable DO Instrument,L2,µmol/kg ,DCN 1341-00520,DCN 1342-00520,DOSTA,Oxygen dissolved stable,2013-07-17,L2-SR-RQ-3048,Water Column
ECHOINT,Echo Intensity,L0,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPA,Velocity profile Mobile Asset,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L0,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPS,Velocity profile Long Range,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L0,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPT,Velocity profile Short Range,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L0,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",VADCP,Velocity profile 50m turb,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L1,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPA,Velocity profile Mobile Asset,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L1,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPS,Velocity profile Long Range,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L1,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",ADCPT,Velocity profile Short Range,2013-07-17,L2-SR-RQ-3887,Water Column
ECHOINT,Echo Intensity,L1,dB,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)","DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",VADCP,Velocity profile 50m turb,2013-07-17,L2-SR-RQ-3887,Water Column
FLUBSCT,Optical Backscatter (Red Wavelengths),L0,counts,DCN 1341-00540,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORD,Fluorometer two wavelength,2013-07-17,L2-SR-RQ-3059,Water Column
FLUBSCT,Optical Backscatter (Red Wavelengths),L0,counts,DCN 1341-00540,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3059,Water Column
FLUBSCT,Optical Backscatter (Red Wavelengths),L1,1/m,DCN 1341-00540,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORD,Fluorometer two wavelength,2013-07-17,L2-SR-RQ-3059,Water Column
FLUBSCT,Optical Backscatter (Red Wavelengths),L1,1/m,DCN 1341-00540,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",FLORT,Fluorometer three wavelength,2013-07-17,L2-SR-RQ-3059,Water Column
FLUXHOT,Direct Covariance Flux of Heat,L2,J m^(-2) s^(-1),DCN 1341-00330,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3062,Air-Sea Interface
FLUXMOM,Direct Covariance Flux of Momentum,L2,kg m^(-1) s^(-2),DCN 1341-00320,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3033,Air-Sea Interface
FRSHFLX ,Freshwater Flux,L2,m3/s,,,METBK,Meteorology bulk,2013-11,,
GRNDACC,Broadband Ground Acceleration,L1,m/s^2,DCN 1341-00100,DCN 1342-00090,OBSBB,Seismometer BB triaxial accel,2014-07,L2-SR-RQ-3603,Seafloor/Crust
GRNDACC,Broadband Ground Acceleration,L1,m/s^2,DCN 1341-00100,DCN 1342-00090,OBSBK,Seismometer BB triaxial keck,2014-07,L2-SR-RQ-3603,Seafloor/Crust
GRNDVEL,Broadband Ground Velocity,L1,m/s,DCN 1341-00090,DCN 1342-00090,OBSBB,Seismometer BB triaxial accel,2014-07,L2-SR-RQ-3096,Seafloor/Crust
GRNDVEL,Broadband Ground Velocity,L1,m/s,DCN 1341-00090,DCN 1342-00090,OBSBK,Seismometer BB triaxial keck,2014-07,L2-SR-RQ-3096,Seafloor/Crust
HDVIDEO,HD Video ,L1,Lossless compression Image File,DCN 1341-00840,n/a,CAMHD,Camera digital video HD,2014-07,L2-SR-RQ-3804,Seafloor/Crust
HEATFLX ,Net Heat Flux,L2,W/m2,,,METBK,Meteorology bulk,2013-11,,
HYDAPBB,Broadband Acoustic pressure waves ,L0,TBD,DCN 1341-00820,DCN 1342-00810,HYDBB,Hydrophone BB passive,2014-07,L2-SR-RQ-3086,"Water Column, Seafloor/Crust"
HYDAPBB,Broadband Acoustic pressure waves ,L1,dB//1uPa/V,DCN 1341-00820,DCN 1342-00810,HYDBB,Hydrophone BB passive,2014-07,L2-SR-RQ-3086,"Water Column, Seafloor/Crust"
HYDAPLF,Low Frequency Acoustic pressure waves,L0,,DCN 1341-00821,DCN 1341-00821,HYDLF,Hydrophone LF passive,2014-07,,
HYDAPLF,Low Frequency Acoustic pressure waves,L1,,DCN 1341-00821,DCN 1342-00821,HYDLF,Hydrophone LF passive,2014-07,,
HYDFRBB,Broadband Frequency,L0,TBD,DCN 1341-00810,DCN 1342-00810,HYDBB,Hydrophone BB passive,2014-07,Derived from design to achieve HYDACR,"Water Column, Seafloor/Crust"
HYDFRBB,Broadband Frequency,L1,KHz,DCN 1341-00810,DCN 1342-00810,HYDBB,Hydrophone BB passive,2014-07,Derived from design to achieve HYDACR,"Water Column, Seafloor/Crust"
IES_HEF,Horizontal Electric Fields,L0,TBD,DCN 1341-00580,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3912,Water Column
IES_HEF,Horizontal Electric Fields,L1,micro volt/cm,DCN 1341-00580,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3912,Water Column
IES_WPP,Water Property Profile Time Series,L2,"T (degree C), salinity (unitless), density (kgm-3)",DCN 1341-00600,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3073,Water Column
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,L2,m/s,DCN 1341-00590,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3641,Water Column
IESHEAT,Water Column Heat Content,L2,Jm-2,DCN 1341-00610,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3073,Water Column
IESPRES,Bottom Pressure,L0,TBD,DCN 1341-00570,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3918,Water Column
IESPRES,Bottom Pressure,L1,Pa,DCN 1341-00570,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3918,Water Column
IESRATT,Roundtrip Acoustic Travel Time (RATT),L0,TBD,DCN 1341-00560,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3593,Water Column
IESRATT,Roundtrip Acoustic Travel Time (RATT),L1,milliseconds,DCN 1341-00560,DCN 1342-00560,HPIES,IES pressure velocity,2014-07,L2-SR-RQ-3593,Water Column
LATNFLX ,Latent Heat Flux,L2,W/m2,,,METBK,Meteorology bulk,2013-11,,
LONGIRR,Downwelling Longwave Irradiance,L1,W/m2,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3021,"Air-Sea Interface, Surface Water"
