Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
CE05MOAS-GL001-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CE05MOAS-GL002-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CE05MOAS-GL003-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CE05MOAS-GL004-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CE05MOAS-GL005-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CE05MOAS-GL006-03-ADCPAM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,03,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,Yes,
CP05MOAS-GL001-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),001,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-GL002-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),002,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-GL003-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),003,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-GL004-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),004,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-GL005-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),005,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-GL006-01-ADCPAM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),006,01,ADCPA,M,999,01,ADCPA Series M Sub 01,Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,2013-11,,,Yes,
CP05MOAS-AV001-05-ADCPAN999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,05,ADCPA,N,999,01,ADCPA Series N Sub 01,Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,2013-11,,,Yes,
CP05MOAS-AV002-05-ADCPAN999,Pioneer Mobile Assets,05,MOAS,AV (AUV),002,05,ADCPA,N,999,01,ADCPA Series N Sub 01,Teledyne RDI,Workhorse Navigator 600 kHz dual,Workhorse Navigator 600 kHz dual,2013-11,,,Yes,
CE04OSBP-LJ01C-05-ADCPSI103,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,05,ADCPS,I,103,01,ADCPS Series I Sub 01,Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,2014-07,Shore CyberPoP - Regional Observatory Management System,,Yes,
CE09OSSM-MF004-04-ADCPSJ999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,04,ADCPS,J,999,01,ADCPS Series J Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CP04OSSM-MF005-03-ADCPSJ999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,03,ADCPS,J,999,01,ADCPS Series J Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CP02PMUO-RI001-01-ADCPSL999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,RI (Mooring Riser),001,01,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2013-11,Shore CyberPoP - Coastal Mooring Server,,Yes,
