Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE01ISSM-MF004-01-DOSTAD999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,2m above the bottom,23,23
CE01ISSM-MF004-02-PHSEND999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2m above the bottom,23,23
CE01ISSM-MF004-03-OPTAAD999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,2m above the bottom,23,23
CE01ISSM-MF004-04-PCO2WB999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Sunburst,SAMI-pCO2,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Partial Pressure of CO2 in Water,2m above the bottom,23,23
CE01ISSM-MF004-05-ADCPTM999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel 600khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Bottom mount, uplooking",25,25
CE01ISSM-MF005-01-CTDBPC999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2m above the bottom,23,23
CE01ISSM-MF005-02-ZPLSCC999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),ZPLSC,Bio-acoustic Sonar (Coastal),Measures acoustic signal of plankton and zooplankton on coastal arrays,,,Multi-Frequency Acoustic Backscatter,"Mounted 2m above bottom, uplooking",23,23
CE01ISSM-MF005-03-VEL3DD999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,VECTOR,Mean Point Water Velocity; Turbulent Point Water Velocity ,2m above the bottom,23,23
CE01ISSM-MF005-04-PRESFA999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),PRESF,Seafloor Pressure,Measures seafloor pressure,Sea-Bird,SBE 26plus,Seafloor Pressure,2m above the bottom,23,23
CE01ISSM-MF005-05-CAMDSA999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF(Multi-Function Node),CAMDS,Digital Still Camera with Strobes,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",Kongsberg,Modified OE14-408,Still Image ,2m above the bottom,23,23
