Textbox8,tbToday
Make/Model Attributes Report,Report Generated: 9/28/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Make_Model_Description,Attribute,Attribute_Value
,SBE 43F,SBE 43F,Connector,
,SBE 43F,SBE 43F,Input Voltage Range,
,SBE 43F,SBE 43F,Interface,
,SBE 43F,SBE 43F,Lead Time,
,SBE 43F,SBE 43F,Make/Model Website,
,SBE 43F,SBE 43F,Output Description,
,SBE 43F,SBE 43F,Vendor Website,
,SBE 52MP,SBE 52MP,Connector,
,SBE 52MP,SBE 52MP,Input Voltage Range,
,SBE 52MP,SBE 52MP,Interface,
,SBE 52MP,SBE 52MP,Lead Time,
,SBE 52MP,SBE 52MP,Make/Model Website,
,SBE 52MP,SBE 52MP,Output Description,
,SBE 52MP,SBE 52MP,Vendor Website,
Aanderaa,Optode 4330,Optode 4330,Connector,
Aanderaa,Optode 4330,Optode 4330,Input Voltage Range,
Aanderaa,Optode 4330,Optode 4330,Interface,
Aanderaa,Optode 4330,Optode 4330,Lead Time,
Aanderaa,Optode 4330,Optode 4330,Make/Model Website,
Aanderaa,Optode 4330,Optode 4330,Output Description,
Aanderaa,Optode 4330,Optode 4330,Vendor Website,
Aanderaa,Optode 4831,Optode 4831,Connector,
Aanderaa,Optode 4831,Optode 4831,Input Voltage Range,
Aanderaa,Optode 4831,Optode 4831,Interface,
Aanderaa,Optode 4831,Optode 4831,Lead Time,
Aanderaa,Optode 4831,Optode 4831,Make/Model Website,
Aanderaa,Optode 4831,Optode 4831,Output Description,
Aanderaa,Optode 4831,Optode 4831,Vendor Website,
Aanderaa(SeaBird),SBE 43,SBE 43,Connector,
Aanderaa(SeaBird),SBE 43,SBE 43,Input Voltage Range,
Aanderaa(SeaBird),SBE 43,SBE 43,Interface,
Aanderaa(SeaBird),SBE 43,SBE 43,Lead Time,
Aanderaa(SeaBird),SBE 43,SBE 43,Make/Model Website,
Aanderaa(SeaBird),SBE 43,SBE 43,Output Description,
Aanderaa(SeaBird),SBE 43,SBE 43,Vendor Website,
Axys Technologies,TRIAXYS,TRIAXYS,Connector,
Axys Technologies,TRIAXYS,TRIAXYS,Input Voltage Range,
Axys Technologies,TRIAXYS,TRIAXYS,Interface,
Axys Technologies,TRIAXYS,TRIAXYS,Lead Time,
Axys Technologies,TRIAXYS,TRIAXYS,Make/Model Website,
Axys Technologies,TRIAXYS,TRIAXYS,Output Description,
Axys Technologies,TRIAXYS,TRIAXYS,Vendor Website,
Biospherical Instruments,QSP-2100,QSP-2100,Connector,
Biospherical Instruments,QSP-2100,QSP-2100,Input Voltage Range,
Biospherical Instruments,QSP-2100,QSP-2100,Interface,
Biospherical Instruments,QSP-2100,QSP-2100,Lead Time,
Biospherical Instruments,QSP-2100,QSP-2100,Make/Model Website,
Biospherical Instruments,QSP-2100,QSP-2100,Output Description,
Biospherical Instruments,QSP-2100,QSP-2100,Vendor Website,
Biospherical Instruments,QSP-2150,QSP-2150,Connector,
Biospherical Instruments,QSP-2150,QSP-2150,Input Voltage Range,
Biospherical Instruments,QSP-2150,QSP-2150,Interface,
Biospherical Instruments,QSP-2150,QSP-2150,Lead Time,
