Textbox8,tbToday
Instrument Table (Website),Report Generated: 9/29/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Array,SubsiteID,Subsite,NodeType,Class,ClassAlternateName,ClassDescription,DataProducts,Relative_Depths__m_
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Echo Intensity; Velocity Profile ,Bottom mount measures up to surface 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),CAMDS,Digital Still Camera with Strobes,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",Still Image ,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Oxygen Concentration from Fastrep DO Instrument,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,Optical Absorption Coefficient; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Patial Pressure of CO2 in Water,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),PHSEN,Seawater pH,pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),PRESF,Seafloor Pressure,Measures seafloor pressure,Seafloor Pressure,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Turbulent Point Water Velocity,2 above the bottom 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,MF (Multi-Function Node),ZPLSC,Bio-acoustic Sonar (Coastal),Measures acoustic signal of plankton and zooplankton on coastal arrays,Multi-Frequency Acoustic Backscatter,Mounted 2 above bottom measures up to surface 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI (Mooring Riser),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,5 below sea surface 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI (Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Oxygen Concentration from Fastrep DO Instrument,5 below sea surface 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI (Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,5 below sea surface 
CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI (Mooring Riser),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Nitrate Concentation,5 below sea surface 
