Textbox8,tbToday,Total_Count2,Total_Count3,Total_Count
Instrument Make / Models,Report Generated: 9/28/2012,Total Make/Models: 40,Total Assigned Instruments: 420,Total Instruments: 771

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Manufacturer,Make_Model,Instrument_Description,InstrumentCount
WET Labs,AC-S Deep,AC-S Deep,2
Nortek,Aquadopp,Aquadopp,0
Nortek,Aquadopp 3000m,Aquadopp 3000m,7
Nortek,Aquadopp 300m,Aquadopp 300m,14
Star Engineering,ASIMET,ASIMET,18
Marv Lilley lab,BARS,BARS,1
Guralp,CMG-3T,CMG-3T,3
Satlantic,Deep SUNA,Deep SUNA,3
WET Labs,ECO Puck,ECO Puck,12
WET Labs,ECO Triplet,ECO Triplet,0
WET Labs,ECO Triplet-w,ECO Triplet-w,0
Teledyne RDI,Explorer DVL 600 kHz,Explorer DVL 600 kHz,12
Satlantic,ISUS,ISUS,9
Nobska,MAVS-4,MAVS-4,0
Satlantic,OCR507 ICSW,OCR507 ICSW,9
Aanderaa,Optode 4330,Optode 4330,27
Satlantic,PAR-SER-600m,PAR-SER-600m,0
Pro-Oceanus,pCO2-pro,pCO2-pro,10
Biospherical Instruments,QSP-2100,QSP-2100,0
Biospherical Instruments,QSP-2150,QSP-2150,3
Biospherical Instruments,QSP-2155,QSP-2155,12
Teledyne RDI,Quartermaster 150kHz,Quartermaster 150kHz,0
Sunburst,SAMI-pCO2,SAMI-pCO2,15
Sunburst,SAMI-pH,SAMI-pH,19
Sea-Bird,SBE 16plusV2,SBE 16plusV2,28
Sea-Bird,SBE 26plus,SBE 26plus,7
Sea-Bird,SBE 37IM,SBE 37IM,132
Aanderaa(SeaBird),SBE 43,SBE 43,0
,SBE 43F,SBE 43F,0
,SBE 52MP,SBE 52MP,0
Sea-Bird,SBE 54,SBE 54,3
Axys Technologies,TRIAXYS,TRIAXYS,8
Nortek,VECTOR,VECTOR,6
Teledyne RDI,Workhorse custom 600 kHz 5 Beam ,Workhorse custom 600 kHz 5 Beam ,2
Teledyne RDI,WorkHorse LongRanger Monitor 75khz,WorkHorse LongRanger Monitor 75khz,1
Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,14
Teledyne RDI,WorkHorse Monitor 150khz,WorkHorse Monitor 150khz,5
Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,4
Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,8
Aanderaa,Optode 4831,Optode 4831,26

