Textbox8,tbToday,Textbox2
Instrument Counts Per Subsite,Report Generated: 9/28/2012,771

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_Description,LSubsite_PublicID,LSubsite_Description,Subsite_Latitude,Subsite_Longitude,Subsite_Depth,First_Deployment_Date,InstrumentCount
Endurance Array,CE01ISSM,Endurance OR Inshore Surface Mooring,44.65,124.1,25,2013-10,20
Endurance Array,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,44.65,124.1,25,2014-05,9
Endurance Array,CE02SHBP,Endurance OR Shelf Benthic Pkg,44.64,124.3,80,2013-08,10
Endurance Array,CE02SHSM,Endurance OR Shelf Surface Mooring,44.64,124.3,80,2014-10,15
Endurance Array,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring,44.64,124.3,80,2014-07,9
Endurance Array,CE04OSBP,Endurance OR Offshore Benthic Pkg,44.65,124.9,500,2013-08,8
Endurance Array,CE04OSHY,Endurance OR Offshore Hybrid Profiler Mooring,44.65,124.9,500,2014-08,16
Endurance Array,CE04OSSM,Endurance OR Offshore Surface Mooring,44.65,124.9,500,2014-10,15
Endurance Array,CE05MOAS,Endurance Mobile Assets,,,,2012-10,30
Endurance Array,CE06ISSM,Endurance WA Inshore Surface Mooring,47,124.162,25,2014-05,20
Endurance Array,CE06ISSP,Endurance WA Inshore Surface Piercing Profiler Mooring,47,124.162,25,2014-05,9
Endurance Array,CE07SHSM,Endurance WA Shelf Surface Mooring,47,124.27,80,2014-05,25
Endurance Array,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,47,124.27,80,2013-10,9
Endurance Array,CE09OSPM,Endurance WA Offshore Profiler Mooring,46.91,124.95,500,2013-10,5
Endurance Array,CE09OSSM,Endurance WA Offshore Surface Mooring,46.91,124.95,500,2014-10,23
Pioneer Array,CP01CNSM,Pioneer Central Surface Mooring,40.0333,70.7916,210,2013-09,21
Pioneer Array,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,40.0333,70.7916,210,2014-09,9
Pioneer Array,CP02PMCI,Pioneer Central Inshore Profiler Mooring,40.1,70.7916,140,2013-09,6
Pioneer Array,CP02PMCO,Pioneer Central Offshore Profiler Mooring,39.975,70.7916,360,2013-09,6
Pioneer Array,CP02PMUI,Pioneer Upstream Inshore Profiler Mooring,40.1166,70.6833,130,2013-09,6
Pioneer Array,CP02PMUO,Pioneer Upstream Offshore Profiler Mooring,39.9083,70.6833,520,2013-09,6
Pioneer Array,CP03ISSM,Pioneer Inshore Surface Mooring,40.1666,70.7916,130,2014-09,20
Pioneer Array,CP03ISSP,Pioneer Inshore Surface-Piercing Profiler Mooring,40.1666,70.7916,130,2014-09,9
Pioneer Array,CP04OSPM,Pioneer Offshore Profiler Mooring,39.9166,70.7916,520,2013-09,5
Pioneer Array,CP04OSSM,Pioneer Offshore Surface Mooring,39.9166,70.7916,520,2014-09,19
Pioneer Array,CP05MOAS,Pioneer Mobile Assets,,,,,48
Global Argentine,GA01SUMO,Argentine Basin Surface Mooring,-42.990,42.5104,5200,2015-01,23
Global Argentine,GA02HYPM,Argentine Basin Hybrid Profiler,-42.922,42.5104,5200,2015-01,16
Global Argentine,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,-42.507,42.8905,5200,2015-01,16
Global Argentine,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,-42.507,42.1303,5200,2015-01,16
Global Argentine,GA05MOAS,Argentine Basin Mobile Assets,,,,2014-02,9
Global Irminger,GI01SUMO,Irminger Sea Surface Mooring,60.6136,38.2581,2800,2014-06,23
Global Irminger,GI02HYPM,Irminger Sea Hybrid Profiler,60.5732,38.2581,2800,2014-06,12
Global Irminger,GI03FLMA,Irminger Sea Mesoscale Flanking Mooring A,60.4582,38.4407,2800,2014-06,16
Global Irminger,GI03FLMB,Irminger Sea Mesoscale Flanking Mooring B,60.4582,38.0755,2800,2014-06,16
Global Irminger,GI05MOAS,Irminger Sea Mobile Assets,,,,2014-06,9
Global Papa,GP02HYPM,Station Papa Hybrid Profiler,50.1969,144.713,4250,2013-08,16
Global Papa,GP03FLMA,Station Papa Mesoscale Flanking Mooring A,50.4676,144.517,4250,2013-08,16
Global Papa,GP03FLMB,Station Papa Mesoscale Flanking Mooring B,50.125,144.209,4250,2013-08,16
Global Papa,GP05MOAS,Station Papa Mobile Assets,,,,2013-08,9
Global Southern,GS01SUMO,Southern Ocean Surface Mooring,-54.470,89.2796,4800,2015-01,23
Global Southern,GS02HYPM,Southern Ocean Hybrid Profiler,-54.406,89.2796,4800,2015-01,16
Global Southern,GS03FLMA,Southern Ocean Mesoscale Flanking Mooring A,-54.081,89.6652,4800,2015-01,16
Global Southern,GS03FLMB,Southern Ocean Mesoscale Flanking Mooring B,-54.081,88.894,4800,2015-01,16
Global Southern,GS05MOAS,Southern Ocean Mobile Assets,,,,2015-01,9
Regional,RS01SLBS,Slope Base,44.5540,125.352,2906,2013-08,4
Regional,RS01SBVM,Slope Base Vertical Mooring,44.5540,125.352,2906,2014-08,29
Regional,RS01SUM1,Southern Hydrate Summit 1,44.568,125.15,807,2013-08,7
Regional,RS01SUM2,Southern Hydrate Summit 2,44.57,125.147,811,2013-08,5
Regional,RS03ASHS,Ashes,45.9361,130.014,1552,2013-08,5
Regional,RS03INT1,International District 1,45.9357,130.015,1551,2013-08,2
Regional,RS03INT2,International District 2,45.9356,130.013,1554,2013-08,7
Regional,RS03AXBS,Axial Base,46.1081,129.618,2654,2013-08,4
Regional,RS03AXVM,Axial Mooring,46.0670,129.603,2597,2014-08,29
Regional,RS03ECAL,Eastern Caldera,45.9480,129.980,1518,2013-08,5
Regional,RS03CCAL,Central Caldera,45.9761,130.020,1584,2013-08,3

