__pk_HelpTag_ID,Description,Name,Text
"2290442","","firmware_version [Resource Attribute]","The hard-coded operating system in the device"
"2290443","","instrument_family [Resource Attribute]","The family of instrument, from the SAF Instrument Application categorization"
"2290444","","instrument_classes_supported [Resource Attribute]","The list of instrument classes this instrument model can support. This has a controlled vocabulary."
"2290445","","primary_interface [Resource Attribute]","The principal interface by which the instrument communicates.  Terms: RS232, RS245, TCP/IP, TTL, Ethernet, Acoustic, Inductive, USB, Firewire, Bluetooth, RemovableMedia"
"2290446","","baud_rate_default [Resource Attribute]","Default rate at which bits are sent over RS232 interface"
"2290447","","mixed_sampling_mode [Resource Attribute]","Can instrument be queried for data while streaming data (True = yes)"
"2290448","","inline_management [Resource Attribute]","Can  the system be managed while it is operating (True = yes)"
"2290449","","clock_max_drift [Resource Attribute]","Manufacturer's specifications of clock drift rate"
"2290450","","clock_notes [Resource Attribute]","Notes about real-time clock"
"2290451","","weight [Resource Attribute]","Weight of instrument in air, as configured for operation, in kg"
"2290452","","operational_depth_maximum [Resource Attribute]","Maximum depth for correct functioning (meters)"
"2290453","","survival_depth_maximum [Resource Attribute]","Maximum depth beyond which instrument may be damaged (m)"
"2290454","","internal_data_storage [Resource Attribute]","Can system store data internally (True = yes)"
"2290455","","power_source [Resource Attribute]","Indicates if required power source is external or internal"
"2290456","","voltage [Resource Attribute]","Nominal voltage at which unit operates, in Volts"
"2290457","","wattage [Resource Attribute]","Nominal wattage consumed by instrument, in Watts"
"2290458","","electrical_notes [Resource Attribute]","Notes about electrical attributes or characteristics"
"2290459","","hotel_current [Resource Attribute]","Amount of current drawn by the instrument on standby (Amps)"
"2290460","","integrated_inductive_modem_available [Resource Attribute]","Is there an inductive modem in the unit (True = yes)"
"2290461","","internal_battery [Resource Attribute]","Is there an internal battery (True = yes)"
"2290462","","ci_onboard [Resource Attribute]","Whether ION software is run on platform resources (True = yes)"
"2290463","","shore_networked [Resource Attribute]","Is the platform typically connected to the terrestrial network  (True = yes)"
"2290464","","platform_family [Resource Attribute]","The family of platform, with term from the OOI Node Type list"
"2290465","","descriptors [Resource Attribute]","A list of keywords for the data product, along with information about the source of each keyword"
"2290466","","processing_level_code [Resource Attribute]","The OOI-defined processing level"
"2290467","","quality_control_level [Resource Attribute]","The quality control level of the data product.  A = no QC, b = automated QC, c = human QC"
"2290468","","iso_spatial_representation_type [Resource Attribute]","method used to spatially represent geographic information, as defined in ISO 19115 metadata"
"2290469","","license_uri [Resource Attribute]","Links to a description of the permissions and restrictions for use of OOI data"
"2290470","","geospatial_bounds [Resource Attribute]","specifies the latitude, longitude, and optionally vertical bounding box of the data records"
"2290471","","parameters [Resource Attribute]","A list describing the individual measured entities, within the Data Product (aka parameters, or variables)"
"2290472","","data_datetime [Resource Attribute]","the timestamps of the earliest and latest values in the data product"
"2290473","","url [Resource Attribute]","Link to an external web page"
"2290474","","manufacturer_url [Resource Attribute]","The URL of the manufacturer"
"2290475","","firmware_version [Resource Attribute]","Identifier of hard-coded operating system in unit"
