__pk_ObjectType_ID,Object Supertype,Name,Description,CI ID
"2480182","","bool","boolean (primitive)","2480001"
"2480183","","dict","dictionary (primitive)","2480002"
"2480184","","float","float (primitive)","2480003"
"2480185","","int","integer (primitive)","2480004"
"2480186","","list","list (primitive)","2480005"
"2480187","","str","string (primitive)","2480006"
"2480188","2480201","ContactInformation","","2480028"
"2480189","2480201","Event","Base type for all events in the system","2480073"
"2480190","2480201","GeospatialBounds","Describes a lat/lon/depth bounding region","2480083"
"2480191","2480201","GeospatialPoint","Describes a lat/lon/depth point","2480084"
"2480193","2480201","Parameter","Information about individual parameters within data products","2480139"
"2480194","2480201","Phone","","2480145"
"2480195","","ParameterCharacteristicsReport","Information about accuracy, drift, precision, etc.","2480146"
"2480196","","CodeReport","gives explanation of each code used in a coded parameter, such as the meaning of QC flags","2480147"
"2480198","","GeospatialCoordinateReferenceSystem","Hold information about the geospatial coordinate reference system(s) used","2480150"
"2480199","","DeviceMountingPosition","Provides information specific to the mounting of an instrument on a platform","2480151"
"2480201","","IonObjectBase","","2480144"
"2480203","","TemporalBounds","Defines a time bounds through a start and end datetime pair","2480183"
"2480204","","Enum","Enumerated list","2480220"
"2480205","","UserSubscription","Information on users who have subscribed to acquire data (does not apply to processes that ""subscribe"" to streams)","2480184"
"2480206","","Term","This object allows the association of an authority with a term","2480149"
"2480207","","DatasetDescription","","2480043"
"2480208","","UpdateDescription","","2480137"
"2480209","","ExternalArchive","Holds information on where and when a data product was submitted to an external archive","2480182"
