__pk_ResourceAttribute_ID,Information Level,_fk_ObjectType_ID,_fk_ResourceType_ID,Base Attribute,CI ID,Default Widget ID,Description,Name
"2010674","2","2480187","2190017","","2010674","2130023","A place to acknowledge various types of support provided by the project that produced the data","acknowledgement"
"2010435","4","2480186","2190017","","2010435","2130023","List of users who have initiated but not terminated ""acquire"" for the data product","active_user_subscriptions"
"2012001","0","2480185","2190014","2013452","","2130023","The status roll-up that summarizes the entire status of the device","aggregated_status"
"2012002","0","2480185","2190011","2013452","","2130023","The status roll-up that summarizes the entire status of the device","aggregated_status"
"2010037","0","2480187","2190012","","2010037","2130023","","baud_rate_default"
"2010050","0","2480184","2190012","","2010050","2130023","","clock_max_drift"
"2010051","2","2480187","2190012","","2010051","2130023","","clock_notes"
"2010380","0","2480185","2190011","","2010380","2130023","Gives the status as a red, yellow, green or black (unassessed)","communications_status_roll_up"
"2010271","","2480188","2190037","","2010271","2130023","","contact"
"2010273","","2480188","2190038","","2010273","2130023","","contact"
"2010015","2","2480182","2190011","2010784","","2130023","Whether the device can be sent a control message","controllable"
"2010746","2","2480182","2190014","2010784","","2130023","Whether the device can be sent a control message","controllable"
"2010784","2","2480182","2190059","","2010784","2130023","Whether the device can be sent a control message","controllable"
"2010116","0","2480187","2190017","","2010116","2130023","Indicates the OOI-defined processing level","processing_level_code"
"2010117","0","2480187","2190017","","2010117","2130023","The quality control level of the data product.  A = no QC, b = automated QC, c = human QC","quality_control_level"
"2010381","0","2480185","2190011","","2010381","2130023","Gives the status as a red, yellow, green or black (unassessed)","data_status_roll_up"
"2010266","0","2480207","2190037","","2010266","2130023","","dataset_description"
"2010268","","2480187","2190037","","2010268","2130023","url to the resource on an external sytem","dataset_path"
"2010189","0","2480187","2190022","","2010189","2130023","","definition_type"
"2010175","0","2480187","2190020","2012435","","2130023","human-readable description of the resource","description"
"2010532","0","2480187","2190059","2012435","","2130023","human-readable description of the resource","description"
"2010693","0","2480187","2190010","2012435","","2130023","human-readable description of the resource","description"
"2010710","0","2480187","2190071","2012435","","2130023","human-readable description of the resource","description"
"2010730","0","2480187","2190011","2012435","","2130023","human-readable description of the resource","description"
"2010748","0","2480187","2190014","2012435","","2130023","human-readable description of the resource","description"
"2010766","0","2480187","2190045","2012435","","2130023","human-readable description of the resource","description"
"2010899","0","2480187","2190015","2012435","","2130023","human-readable description of the resource","description"
"2010917","0","2480187","2190016","2012435","","2130023","human-readable description of the resource","description"
"2010935","0","2480187","2190017","2012435","","2130023","human-readable description of the resource","description"
"2010986","0","2480187","2190025","2012435","","2130023","human-readable description of the resource","description"
"2011057","0","2480187","2190029","2012435","","2130023","human-readable description of the resource","description"
"2011090","0","2480187","2190032","2012435","","2130023","human-readable description of the resource","description"
"2011142","0","2480187","2190038","2012435","","2130023","human-readable description of the resource","description"
"2011281","0","2480187","2190058","2012435","","2130023","human-readable description of the resource","description"
"2011334","0","2480187","2190062","2012435","","2130023","human-readable description of the resource","description"
"2011496","0","2480187","2190073","2012435","","2130023","human-readable description of the resource","description"
"2011586","0","2480187","2190078","2012435","","2130023","human-readable description of the resource","description"
"2011622","0","2480187","2190080","2012435","","2130023","human-readable description of the resource","description"
"2011658","0","2480187","2190082","2012435","","2130023","human-readable description of the resource","description"
"2011766","0","2480187","2190092","2012435","","2130023","human-readable description of the resource","description"
"2011820","0","2480187","2190100","2012435","","2130023","human-readable description of the resource","description"
"2011856","0","2480187","2190102","2012435","","2130023","human-readable description of the resource","description"
"2011882","0","2480187","2190084","2012435","","2130023","human-readable description of the resource","description"
"2011908","0","2480187","2190094","2012435","","2130023","human-readable description of the resource","description"
"2011934","0","2480187","2190097","2012435","","2130023","human-readable description of the resource","description"
"2011952","0","2480187","2190090","2012435","","2130023","human-readable description of the resource","description"
"2012046","0","2480187","2190110","2012435","","2130023","human-readable description of the resource","description"
"2012064","0","2480187","2190112","2012435","","2130023","human-readable description of the resource","description"
"2012082","0","2480187","2190134","2012435","","2130023","human-readable description of the resource","description"
"2012100","0","2480187","2190108","2012435","","2130023","human-readable description of the resource","description"
"2012172","0","2480187","2190130","2012435","","2130023","human-readable description of the resource","description"
"2012190","0","2480187","2190131","2012435","","2130023","human-readable description of the resource","description"
"2012208","0","2480187","2190135","2012435","","2130023","human-readable description of the resource","description"
"2012226","0","2480187","2190109","2012435","","2130023","human-readable description of the resource","description"
"2012244","0","2480187","2190111","2012435","","2130023","human-readable description of the resource","description"
"2012262","0","2480187","2190133","2012435","","2130023","human-readable description of the resource","description"
"2012435","0","2480187","2190009","","2012435","2130023","human-readable description of the resource","description"
"2012524","0","2480187","2190022","2012435","","2130023","human-readable description of the resource","description"
"2012526","0","2480187","2190037","2012435","","2130023","human-readable description of the resource","description"
"2012528","0","2480187","2190043","2012435","","2130023","human-readable description of the resource","description"
"2012529","0","2480187","2190044","2012435","","2130023","human-readable description of the resource","description"
"2012734","0","2480187","2190012","2012435","","2130023","human-readable description of the resource","description"
"2010073","2","2480187","2190012","","2010073","2130023","","electrical_notes"
"2010018","1","2480187","2190011","","2010018","2130023","Identifier of hard-coded operating system in unit","firmware_version"
"2010228","","2480187","2190030","","2010228","2130023","Identifier of hard-coded operating system in unit","firmware_version"
"2010135","0","2480190","2190017","","2010135","2130023","specifies both limits of the resource's  latitude, longitude, and optionally vertical position, with respect to a geospatial CRS","geospatial_bounds"
