__pk_Widget_ID,Description,Name,Visual Sample URL
"2130005","Standard menu with graphic menu items.","Button Menu","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-button-menu.png"
"2130012","Standard menu with textual menu items.","Menu","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-menu.png"
"2130013","Standard clickable button.","Button","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-button.png"
"2130023","Short text field. Does not allow paragraph breaks use scroll bars.","Text - Short","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-text-short.png"
"2130024","Frame for full screen display.","View","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-view.png"
"2130025","Tabbed grouping of information. Partial screen display.","Group","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-group.png"
"2130026","Grouped display of related information.","Block","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-block.png"
"2130028","Non-editable text label","Text - Static","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-text-static.png"
"2130029","Present information as list of attribute-value pairs.","Attribute Group","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-attribute-group.png"
"2130030","Mathematical plot of data.","Chart","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-chart.png"
"2130031","Control boundaries of geospatial region.","Geospatial Extent","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-geospatial-extent.png"
"2130032","Control boundaries of temporal region.","Temporal Extent","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-temporal-extent.png"
"2130033","Extended text field. Allows free form text entry including multiple paragraphs.","Text - Extended","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-text-extended.png"
"2130034","Present information in a 2-d tabular form.","Table","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-table.png"
"2130035","Present information as a set of radio buttons (only one value possible).","Radio Button","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-radio-button.png"
"2130036","Interactive map display","Map","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-map.png"
"2130037","2-d network graph display","Graph","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-graph.png"
"2130038","Present controlled vocabulary for value selection.","Dropdown","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-dropdown.png"
"2130039","Present information as boolean selection value.","Checkbox","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-checkbox.png"
"2130040","Popup display of information.","Callout","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-callout.png"
"2130041","Wireframe map to display current geographic context and/or control interactive map widget.","Context Map","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-context-map.png"
"2130042","Repeating information elements - as in a table, but without table headers, borders and behavior","List","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-list.png"
"2130043","Image and information values presented as visual tile","Tile","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-tile.png"
"2130044","Control boundaries of vertical region.","Vertical Extent","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-vertical-extent.png"
"2130047","Display element as image","Image","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-image.png"
"2130048","","Icon","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-icon.png"
"2130049","","Contact Information","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-contact-information.png"
"2130051","","Geospatial Point","https://userexperience.oceanobservatories.org/assets/Widget/R2-widget-geospatial-point.png"
