__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2031952","2010657","2160015","Resource Attribute"
"2031953","2010658","2160016","Resource Attribute"
"2031954","2010288","2160017","Resource Attribute"
"2031965","2012001","2160028","Resource Attribute"
"2032222","2010287","2160285","Resource Attribute"
"2032223","2010037","2160286","Resource Attribute"
"2032235","2010659","2160298","Resource Attribute"
"2032237","2010051","2160300","Resource Attribute"
"2032244","2010380","2160307","Resource Attribute"
"2032252","2010271","2160315","Resource Attribute"
"2032253","2010273","2160316","Resource Attribute"
"2032257","2010015","2160320","Resource Attribute"
"2032258","2010746","2160321","Resource Attribute"
"2032259","2010784","2160322","Resource Attribute"
"2032261","2490816","2160324","Object Field"
"2032273","2010116","2160336","Resource Attribute"
"2032274","2010117","2160337","Resource Attribute"
"2032281","2010381","2160344","Resource Attribute"
"2032292","2010266","2160355","Resource Attribute"
"2032303","2010635","2160366","Resource Attribute"
"2032308","2010189","2160371","Resource Attribute"
"2032310","2010634","2160373","Resource Attribute"
"2032323","2010175","2160386","Resource Attribute"
"2032325","2010532","2160388","Resource Attribute"
"2032326","2010693","2160389","Resource Attribute"
"2032328","2010730","2160391","Resource Attribute"
"2032329","2010748","2160392","Resource Attribute"
"2032330","2010766","2160393","Resource Attribute"
"2032335","2010899","2160398","Resource Attribute"
"2032336","2010917","2160399","Resource Attribute"
"2032337","2010935","2160400","Resource Attribute"
"2032339","2010986","2160402","Resource Attribute"
"2032340","2011004","2160403","Resource Attribute"
"2032341","2011022","2160404","Resource Attribute"
"2032342","2011040","2160405","Resource Attribute"
"2032343","2011057","2160406","Resource Attribute"
"2032345","2011090","2160408","Resource Attribute"
"2032347","2011142","2160410","Resource Attribute"
"2032352","2011281","2160415","Resource Attribute"
"2032355","2011334","2160418","Resource Attribute"
"2032357","2011370","2160420","Resource Attribute"
"2032359","2011406","2160422","Resource Attribute"
"2032364","2011496","2160427","Resource Attribute"
"2032369","2011586","2160432","Resource Attribute"
"2032371","2011622","2160434","Resource Attribute"
"2032373","2011658","2160436","Resource Attribute"
"2032379","2011766","2160442","Resource Attribute"
"2032381","2011820","2160444","Resource Attribute"
"2032383","2011856","2160446","Resource Attribute"
"2032384","2011882","2160447","Resource Attribute"
"2032385","2011908","2160448","Resource Attribute"
"2032386","2011934","2160449","Resource Attribute"
"2032387","2011952","2160450","Resource Attribute"
"2032389","2012046","2160452","Resource Attribute"
"2032390","2012064","2160453","Resource Attribute"
"2032391","2012082","2160454","Resource Attribute"
"2032392","2012100","2160455","Resource Attribute"
"2032393","2012118","2160456","Resource Attribute"
"2032394","2012136","2160457","Resource Attribute"
"2032396","2012172","2160459","Resource Attribute"
"2032397","2012190","2160460","Resource Attribute"
"2032398","2012208","2160461","Resource Attribute"
"2032399","2012226","2160462","Resource Attribute"
"2032400","2012244","2160463","Resource Attribute"
"2032401","2012262","2160464","Resource Attribute"
"2032402","2012435","2160465","Resource Attribute"
"2032409","2012524","2160472","Resource Attribute"
"2032410","2012526","2160473","Resource Attribute"
"2032411","2012528","2160474","Resource Attribute"
"2032412","2012529","2160475","Resource Attribute"
"2032424","2012734","2160487","Resource Attribute"
"2032459","2010656","2160522","Resource Attribute"
"2032473","2010073","2160536","Resource Attribute"
"2032475","2010663","2160538","Resource Attribute"
"2032478","2010216","2160541","Resource Attribute"
"2032505","2010665","2160568","Resource Attribute"
"2032507","2010018","2160570","Resource Attribute"
"2032509","2011987","2160572","Resource Attribute"
"2032512","2010135","2160575","Resource Attribute"
"2032703","2012836","2160766","Resource Attribute"
"2032705","2010664","2160768","Resource Attribute"
"2032709","2010074","2160772","Resource Attribute"
"2032714","2010688","2160777","Resource Attribute"
"2032715","2010707","2160778","Resource Attribute"
"2032717","2010780","2160780","Resource Attribute"
"2032718","2010799","2160781","Resource Attribute"
"2032723","2010895","2160786","Resource Attribute"
"2032724","2010913","2160787","Resource Attribute"
"2032725","2010931","2160788","Resource Attribute"
"2032728","2011000","2160791","Resource Attribute"
"2032729","2011018","2160792","Resource Attribute"
"2032730","2011036","2160793","Resource Attribute"
"2032731","2011071","2160794","Resource Attribute"
"2032732","2011104","2160795","Resource Attribute"
"2032734","2011156","2160797","Resource Attribute"
"2032739","2011245","2160802","Resource Attribute"
"2032740","2011262","2160803","Resource Attribute"
"2032741","2011295","2160804","Resource Attribute"
"2032744","2011348","2160807","Resource Attribute"
"2032746","2011384","2160809","Resource Attribute"
"2032748","2011420","2160811","Resource Attribute"
"2032753","2011510","2160816","Resource Attribute"
"2032758","2011600","2160821","Resource Attribute"
"2032760","2011636","2160823","Resource Attribute"
"2032762","2011672","2160825","Resource Attribute"
"2032770","2011834","2160833","Resource Attribute"
"2032772","2011870","2160835","Resource Attribute"
"2032773","2011896","2160836","Resource Attribute"
"2032774","2011922","2160837","Resource Attribute"
"2032775","2011948","2160838","Resource Attribute"
"2032776","2011966","2160839","Resource Attribute"
"2032777","2011983","2160840","Resource Attribute"
"2032780","2012060","2160843","Resource Attribute"
"2032781","2012078","2160844","Resource Attribute"
"2032782","2012096","2160845","Resource Attribute"
"2032783","2012114","2160846","Resource Attribute"
"2032784","2012132","2160847","Resource Attribute"
"2032785","2012150","2160848","Resource Attribute"
"2032787","2012186","2160850","Resource Attribute"
"2032788","2012204","2160851","Resource Attribute"
"2032789","2012222","2160852","Resource Attribute"
"2032790","2012240","2160853","Resource Attribute"
"2032791","2012258","2160854","Resource Attribute"
"2032792","2012276","2160855","Resource Attribute"
"2032810","2012523","2160873","Resource Attribute"
"2032811","2012525","2160874","Resource Attribute"
"2032812","2012527","2160875","Resource Attribute"
"2032834","2010666","2160897","Resource Attribute"
"2032838","2010653","2160901","Resource Attribute"
"2032839","2010652","2160902","Resource Attribute"
"2032840","2010537","2160903","Resource Attribute"
"2032844","2010044","2160907","Resource Attribute"
"2032849","2010033","2160912","Resource Attribute"
"2032850","2010032","2160913","Resource Attribute"
"2032856","2010077","2160919","Resource Attribute"
"2032859","2010060","2160922","Resource Attribute"
"2032861","2010101","2160924","Resource Attribute"
"2032865","2010120","2160928","Resource Attribute"
"2032866","2010672","2160929","Resource Attribute"
"2032867","2010111","2160930","Resource Attribute"
"2032876","2010152","2160939","Resource Attribute"
"2032878","2011997","2160941","Resource Attribute"
"2033008","2010694","2161071","Resource Attribute"
"2033010","2010749","2161073","Resource Attribute"
"2033011","2010767","2161074","Resource Attribute"
"2033012","2010786","2161075","Resource Attribute"
"2033016","2010882","2161079","Resource Attribute"
"2033017","2010900","2161080","Resource Attribute"
"2033018","2010918","2161081","Resource Attribute"
"2033019","2010936","2161082","Resource Attribute"
"2033021","2010970","2161084","Resource Attribute"
"2033022","2010987","2161085","Resource Attribute"
"2033023","2011005","2161086","Resource Attribute"
"2033024","2011023","2161087","Resource Attribute"
"2033025","2011041","2161088","Resource Attribute"
"2033026","2011058","2161089","Resource Attribute"
"2033028","2011091","2161091","Resource Attribute"
"2033030","2011126","2161093","Resource Attribute"
"2033031","2011143","2161094","Resource Attribute"
"2033036","2011232","2161099","Resource Attribute"
"2033037","2011249","2161100","Resource Attribute"
"2033039","2011282","2161102","Resource Attribute"
"2033042","2011335","2161105","Resource Attribute"
"2033044","2011371","2161107","Resource Attribute"
"2033046","2011407","2161109","Resource Attribute"
"2033051","2011497","2161114","Resource Attribute"
"2033056","2011587","2161119","Resource Attribute"
"2033058","2011623","2161121","Resource Attribute"
"2033060","2011659","2161123","Resource Attribute"
"2033066","2011767","2161129","Resource Attribute"
