__pk_jt_ScreenElement_ScreenElement_ID,_fk_Graphic_ID #override,Embedding Information Level,_fk_ScreenElement_ID #embedded,_fk_ScreenElement_ID #embedding,_fk_ScreenLabel_ID #override,Position,Data Path,Suggested Data Path,Data Path Description
"2360004","","0","2160913","2162997","2090850","B04","instrument_model.instrument_family","instrument_model.family_id",""
"2360005","","2","2162449","2162997","","B06","resource.ts_created","resource.ts_created",""
"2360006","","2","2162571","2162997","","B07","resource.ts_updated","resource.ts_updated",""
"2360007","","2","2162397","2162997","","B02","resource.serial_number","resource.serial_number",""
"2360008","","0","2160336","2163001","","A02","processing_level_code","attribute_group_ooi (2163001): data_product.processing_level_code",""
"2360009","","0","2160337","2163001","","A01","quality_control_level","attribute_group_ooi (2163001): data_product.quality_control_level",""
"2360010","","0","2162245","2163004","2090019","B03","instrument_model.reference_urls","instrument_model.reference_urls",""
"2360012","","0","2161461","2163005","2090854","B01","agent_instance.name","instrument_agent_instance.name",""
"2360013","","2","2160570","2164854","","B02","resource.firmware_version","resource.firmware_version",""
"2360014","","0","2162101","2163006","","B04","instrument_model.primary_interface","instrument_model.primary_interface",""
"2360015","","0","2160286","2163006","","B05","instrument_model.baud_rate_default","instrument_model.baud_rate_default",""
"2360016","","0","2161375","2163006","","B06","instrument_model.mixed_sampling_mode","instrument_model.mixed_sampling_mode",""
"2360017","","0","2160907","2163006","","B12","instrument_model.inline_management","instrument_model.inline_management",""
"2360018","","0","2161392","2163008","","T03","unknown1119","table_ooi (2163008): policy.name",""
"2360019","","2","2162463","2163008","","T05","unknown1166","table_ooi (2163008): policy.ts_created",""
"2360020","","0","2162585","2163008","","T06","unknown1179","table_ooi (2163008): policy.ts_updated",""
"2360021","","0","2161084","2163008","","T07","unknown1187","table_ooi (2163008): policy.lcstate",""
"2360022","","0","2160922","2164854","","B03","instrument_model.internal_data_storage","instrument_model.internal_data_storage",""
"2360023","","2","2160300","2164854","","B05","instrument_model.clock_notes","instrument_model.clock_notes",""
"2360024","","2","2162425","2164854","","B07","instrument_model.survival_depth_maximum","instrument_model.survival_depth_maximum",""
"2360025","","2","2162026","2164854","","B06","instrument_model.operational_depth_maximum","instrument_model.operational_depth_maximum",""
"2360026","","0","2162085","2163010","","B01","instrument_model.power_source","instrument_model.power_source",""
"2360027","","2","2160536","2163010","","B18","instrument_model.electrical_notes","instrument_model.electrical_notes",""
"2360028","","0","2160772","2163010","","B07","instrument_model.hotel_current","instrument_model.hotel_current",""
"2360029","","2","2160919","2163010","","B17","instrument_model.integrated_inductive_modem_available","instrument_model.integrated_inductive_modem_available",""
"2360030","","0","2161396","2163015","","B01","resource.name","resource.name",""
"2360031","","0","2162061","2163015","2090850","B04","platform_model.platform_family","platform_model.platform_family","?PlatformModel.platform_family"
"2360032","","2","2162398","2163015","","B02","resource.serial_number","resource.serial_number",""
"2360033","","2","2162452","2163015","","B06","resource.ts_created","resource.ts_created",""
"2360034","","2","2162574","2163015","","B07","resource.ts_updated","resource.ts_updated",""
"2360035","","0","2162402","2163016","","B04","platform_model.shore_networked","platform_model.shore_networked",""
"2360036","","0","2162973","2163019","","B02","platform_model.wattage","platform_model.wattage",""
"2360037","","0","2161141","2163020","","B02","agent_instance.lcstate","platform_agent_instance.lcstate",""
"2360038","","0","2161465","2163020","2090854","B01","agent_instance.name","platform_agent_instance.name",""
"2360039","","2","2160463","2163020","","B03","agent_instance.description","platform_agent.description",""
"2360043","","0","2160391","2163025","","B01","resource.description","resource.description",""
"2360044","","0","2164290","2163031","","B10","computed.power_status_roll_up.value","image_ooi",""
"2360045","","0","2164288","2163031","","B11","computed.communications_status_roll_up.value","image_ooi",""
"2360046","","0","2164289","2163031","","B12","computed.data_status_roll_up.value","image_ooi",""
"2360047","","0","2164291","2163031","","B13","computed.location_status_roll_up.value","image_ooi",""
"2360048","","0","2160392","2163033","","B01","resource.description","resource.description",""
"2360049","","0","2163884","2163035","","B03","resource.contacts.1","attribute_group_ooi","Primary Contact"
"2360050","","0","2163884","2163035","","B05","resource.contacts.1","attribute_group_ooi","PI"
"2360051","","0","2160408","2163048","","B02","resource.description","resource.description",""
"2360052","","0","2163884","2163049","","B03","resource.contacts.1","attribute_group_ooi","#primary_contact from Org contacts list"
"2360053","","0","2163884","2163049","","B05","resource.contacts.1","attribute_group_ooi","#secondary_contact from Org contacts list"
"2360054","","0","2161396","2163052","","T12","name","table_ooi (2163052): resource.name",""
"2360055","","1","2163330","2163052","","T04","unknown1150","table_ooi (2163052): computed.power_status_roll_up",""
"2360056","","0","2160336","2163053","","T05","processing_level_code","table_ooi (2163053): resource.processing_level_code",""
"2360057","","0","2161410","2163053","","T04","name","table_ooi (2163053): resource.name",""
"2360058","","0","2160337","2163053","","T06","quality_control_level","table_ooi (2163053): resource.quality_control_level",""
"2360059","","0","2160400","2163053","","T08","description","table_ooi (2163053): resource.description",""
"2360064","","0","2162017","2163057","","B04","number_of_platforms","observatory.number_platforms",""
"2360065","","0","2161638","2163057","","B02","number_of_instruments","observatory.number_instruments",""
"2360066","","0","2161073","2163063","2090389","B07","resource.lcstate","resource.lcstate",""
"2360067","","0","2163993","2163072","","B01","unknown276","table_ooi",""
"2360068","","0","2163884","2163074","","B01","resource.contact","attribute_group_ooi","This user's  contact information"
"2360069","","0","2160444","2163079","","T08","description","table_ooi (2163079): user_role.description",""
"2360070","","0","2161399","2163083","","T05","name","table_ooi (2163083): resource.name",""
"2360071","","0","2162654","2163083","","T08","ts_updated","table_ooi (2163083): resource.ts_updated",""
"2360072","","2","2162532","2163083","","T07","unknown1192","table_ooi (2163083): resource.ts_created",""
"2360073","","0","2161410","2163088","","B01","resource.name","resource.name",""
"2360074","","0","2160336","2163088","","B04","resource.processing_level_code","resource.processing_level_code",""
"2360075","","0","2160337","2163088","","B05","resource.quality_control_level","resource.quality_control_level",""
"2360076","","2","2162461","2163088","","B09","resource.ts_created","resource.ts_created",""
"2360080","","0","2160575","2163089","","B02","resource.geospatial_bounds","computed.geospatial_bounds",""
"2360081","","0","2163884","2163090","","B03","resource.contacts.1","attribute_group_ooi","Primary Contact"
"2360082","","0","2163884","2163090","","B05","resource.contacts.1","attribute_group_ooi","primary data contact"
"2360083","","0","2160400","2163091","","B01","resource.description","resource.description",""
"2360084","","0","2161194","2164400","","B01","resource.license_uri","resource.license_uri",""
"2360085","","0","2161399","2163099","","B01","resource.name","resource.name",""
"2360086","","2","2162532","2163099","","B02","resource.ts_created","resource.ts_created",""
"2360087","","2","2162654","2163099","","B03","resource.ts_updated","resource.ts_updated",""
"2360088","","0","2160465","2163100","","B01","resource.description","resource.description",""
"2360089","","0","2163884","2163102","","B03","resource.contacts.1","attribute_group_ooi","Primary Contact"
"2360090","","0","2163884","2163102","","B05","resource.contacts.1","attribute_group_ooi",""
"2360093","","0","2162997","2163123","","G01","unknown674","N/A",""
"2360094","","0","2162999","2163123","","G05","unknown973","N/A",""
"2360095","","0","2163015","2163123","","G01","unknown678","N/A",""
"2360096","","0","2163017","2163123","","G03","unknown866","N/A",""
"2360097","","0","2163025","2163123","","G04","unknown916","N/A",""
"2360098","","0","2163033","2163123","","G04","unknown918","N/A",""
"2360099","","0","2163035","2163123","","G05","unknown978","N/A",""
"2360100","","0","2163046","2163123","","G01","unknown686","N/A",""
"2360102","","0","2163049","2163123","","G05","unknown982","N/A",""
"2360103","","0","2163048","2163123","","G04","unknown919","N/A",""
"2360104","","0","2163064","2163123","","G01","unknown696","N/A",""
"2360105","","0","2163074","2163123","","G05","unknown983","N/A",""
"2360106","","0","2163089","2163123","","G03","unknown871","N/A",""
"2360107","","0","2163088","2163123","","G01","unknown701","N/A",""
"2360108","","0","2163091","2163123","","G04","unknown922","N/A",""
"2360109","","0","2163090","2163123","","G05","unknown985","N/A",""
"2360110","","0","2163099","2163123","","G01","unknown706","N/A",""
"2360111","","0","2163100","2163123","","G04","unknown923","N/A",""
"2360112","","0","2163102","2163123","","G05","unknown_0112","N/A",""
"2360113","","0","2163103","2163123","","G01","unknown_0113","N/A",""
"2360114","","0","2163104","2163123","","G04","unknown_0114","N/A",""
"2360115","","0","2163076","2163123","","G04","unknown921","N/A",""
"2360118","","0","2163004","2163125","","G06","unknown1035","N/A",""
"2360119","","0","2163005","2164853","","G01","unknown1019","N/A",""
"2360120","","0","2163009","2163125","","G03","unknown914","N/A",""
"2360121","","0","2163010","2163125","","G04","unknown974","N/A",""
"2360122","","0","2163006","2164853","","G07","unknown1042","N/A",""
"2360123","","0","2163016","2163125","","G02","unknown1036","N/A",""
"2360124","","0","2163018","2163125","","G03","unknown867","N/A",""
"2360125","","0","2163019","2163125","","G04","unknown915","N/A",""
"2360126","","0","2163020","2164853","","G01","unknown976","N/A",""
"2360127","","0","2163039","2164570","","G15","unknown1045","N/A",""
"2360128","","0","2163040","2163125","","G06","unknown1022","N/A",""
"2360129","","0","2163080","2164570","","G15","unknown1046","N/A",""
"2360132","","0","2163092","2163125","","G03","unknown702","N/A",""
"2360134","","0","2163107","2164570","","G15","unknown1047","N/A",""
"2360135","","0","2163108","2164570","","G15","unknown1048","N/A",""
"2360137","","0","2163043","2163126","","G01","unknown682","N/A",""
"2360138","","0","2163050","2163126","","G01","unknown687","N/A",""
"2360139","","0","2163081","2163126","","G01","unknown700","N/A",""
"2360140","","0","2163096","2163126","","G01","unknown704","N/A",""
"2360141","","0","2163109","2163126","","G01","unknown708","N/A",""
"2360142","","0","2163110","2163126","","G01","unknown_0142","N/A",""
"2360143","","0","2163014","2163129","","G04","unknown975","N/A",""
"2360144","","0","2163045","2163129","","G04","unknown981","N/A",""
"2360148","","1","2163030","2163132","","G05","unknown1021","N/A",""
"2360149","","0","2163031","2163133","","G01","unknown680","N/A",""
"2360150","","0","2163063","2163133","","G01","unknown695","N/A",""
"2360151","","0","2163121","2163134","","G01","unknown714","N/A",""
"2360152","","0","2163062","2163145","","G01","unknown691","N/A",""
"2360153","","0","2163123","2163152","","V01","unknown1259","N/A",""
"2360154","","0","2163126","2163152","","V07","unknown1323","N/A",""
"2360158","","0","2163145","2163152","","V05","unknown1308","N/A",""
"2360159","","0","2164660","2163152","","V02","unknown1273","N/A",""
"2360160","","0","2163123","2163153","","V01","unknown1260","N/A",""
"2360162","","","2163165","2163164","","B02","unknown404","button_ooi",""
"2360163","","","2163166","2163164","","B03","unknown479","button_ooi",""
"2360164","","","2163167","2163164","","B04","unknown540","button_ooi",""
"2360165","","","2163168","2163164","","B01","unknown212","button_ooi",""
"2360166","","","2163179","2163180","","M01","unknown1080","button_ooi",""
"2360167","","","2163181","2163180","","M02","unknown1083","button_ooi",""
"2360168","","","2163182","2163180","","M03","unknown1086","button_ooi",""
