__pk_ResourceType_ID,CI ID,Description,Name
"2190017","2190017","","DataProduct"
"2190011","2190011","","InstrumentDevice"
"2190020","2190020","","InstrumentAgent"
"2190012","2190012","","InstrumentModel"
"2190014","2190014","","PlatformDevice"
"2190015","2190015","","PlatformModel"
"2190022","2190022","","Policy"
"2190009","2190009","","Resource"
"2190010","2190010","","TaskableResource"
"2190016","2190016","","UserInfo"
"2190025","2190025","","View"
"2190026","2190026","","Transform"
"2190027","2190027","","Subscription"
"2190028","2190028","","Stream"
"2190029","2190029","","Site"
"2190030","2190030","","SensorDevice"
"2190032","2190032","","Org"
"2190037","2190037","","ExternalDataset"
"2190038","2190038","","ExternalDataProvider"
"2190043","2190043","","DataSet"
"2190044","2190044","","DataProducer"
"2190045","2190045","","DataProcess"
"2190051","2190051","","Event"
"2190058","2190058","","Deployment"
"2190059","2190059","","Device"
"2190062","2190062","","SensorModel"
"2190064","2190064","","WorkflowDefinition"
"2190066","2190066","","ResourceLifecycle"
"2190071","2190071","","InformationResource"
"2190072","2190072","","AgentInstance"
"2190073","2190073","","Collection"
"2190078","2190078","","DataProcessDefinition"
"2190080","2190080","","DataSource"
"2190082","2190082","","DeviceModel"
"2190084","2190084","","InstrumentSite"
"2190089","2190089","","AgentDefinition"
"2190090","2190090","","InstrumentAgentInstance"
"2190092","2190092","","Observatory"
"2190094","2190094","","PlatformSite"
"2190097","2190097","","Subsite"
"2190100","2190100","","UserRole"
"2190102","2190102","","StreamDefinition"
"2190104","2190104","","ContactInformation"
"2190108","2190108","","Attachment"
"2190109","2190109","","ExternalDatasetAgent"
"2190110","2190110","","ExternalDatasetAgentInstance"
"2190111","2190111","","PlatformAgent"
"2190112","2190112","","PlatformAgentInstance"
"2190114","2190114","","Taxonomy"
"2190128","2190128","","Workflow"
"2190129","2190129","","EventType"
"2190130","2190130","","ExecutableResource"
"2190131","2190131","","ExternalDatasetModel"
"2190133","2190133","","DataSourceAgent"
"2190134","2190134","","DataSourceAgentInstance"
"2190135","2190135","","DataSourceModel"
"2190164","2190171","","DataProductVersion"
