__pk_jt_ScreenElement_ScreenElement_ID,_fk_Graphic_ID #override,Embedding Information Level,_fk_ScreenElement_ID #embedded,_fk_ScreenElement_ID #embedding,_fk_ScreenLabel_ID #override,Position
"2360009","","0","2160913","2162997","","B03"
"2360010","","0","2162449","2162997","","B07"
"2360013","","0","2162571","2162997","","B08"
"2360014","","2","2162397","2162997","","B06"
"2360026","","0","2160538","2162999","","B02"
"2360027","","0","2162057","2162999","","B04"
"2360028","","0","2160538","2162999","","B06"
"2360029","","0","2160572","2162999","","B01"
"2360030","","0","2162057","2162999","","B08"
"2360031","","0","2160572","2162999","","B05"
"2360039","","0","2160336","2163001","","B02"
"2360040","","0","2162069","2163001","","B11"
"2360043","","0","2160337","2163001","","B01"
"2360049","","0","2161194","2163001","","B10"
"2360060","","0","2161396","2163003","","B01"
"2360061","","0","2162061","2163003","","B04"
"2360067","","0","2161237","2163004","","B05"
"2360069","","0","2162245","2163004","","B06"
"2360076","","0","2161391","2163005","","B03"
"2360078","","2","2160320","2163005","","B08"
"2360079","","1","2160570","2163005","","B07"
"2360082","","0","2160386","2163005","","B05"
"2360084","","0","2162101","2163006","","B01"
"2360086","","0","2160286","2163006","","B03"
"2360091","","1","2161375","2163006","","B05"
"2360092","","1","2160907","2163006","","B11"
"2360101","","0","2161392","2163008","","B02"
"2360102","","0","2160371","2163008","","B05"
"2360110","","0","2162463","2163008","","B10"
"2360111","","0","2162585","2163008","","B11"
"2360112","","0","2161084","2163008","","B12"
"2360115","","0","2160922","2163009","","B05"
"2360121","","2","2160300","2163009","","B11"
"2360122","","2","2162425","2163009","","B24"
"2360123","","2","2162026","2163009","","B19"
"2360138","","0","2162966","2163010","","B02"
"2360139","","0","2162972","2163010","","B13"
"2360140","","0","2162085","2163010","","B01"
"2360144","","2","2160536","2163010","","B17"
"2360145","","0","2160772","2163010","","B04"
"2360148","","2","2160919","2163010","","B16"
"2360187","","0","2161396","2163015","","B01"
"2360188","","0","2162061","2163015","","B05"
"2360190","","0","2163350","2163015","","B06"
"2360191","","2","2162398","2163015","","B12"
"2360194","","0","2162452","2163015","","B16"
"2360195","","0","2162574","2163015","","B17"
"2360199","","2","2160924","2163015","","B02"
"2360207","","0","2162402","2163016","","B09"
"2360225","","0","2162973","2163019","","B03"
"2360228","","0","2161437","2163020","","B03"
"2360230","","0","2161073","2163020","","B02"
"2360231","","0","2160463","2163020","","B05"
"2360232","","2","2160321","2163020","","B06"
"2360234","","0","2161398","2163021","","B01"
"2360235","","0","2160781","2163021","","B02"
"2360239","","0","2160388","2163021","","B07"
"2360241","","0","2161398","2163022","","B01"
"2360242","","0","2160781","2163022","","B02"
"2360245","","0","2160388","2163022","","B07"
"2360252","","0","2162402","2163023","","B05"
"2360263","","0","2160391","2163025","","B01"
"2360267","","0","2162086","2163031","","B05"
"2360268","","0","2160307","2163031","","B06"
"2360269","","0","2160344","2163031","","B07"
"2360270","","0","2161198","2163031","","B08"
"2360277","","0","2163330","2163032","","B01"
"2360279","","0","2163333","2163032","","B04"
"2360281","","0","2160392","2163033","","B01"
"2360282","","0","2160538","2163035","","B02"
"2360283","","0","2162057","2163035","","B04"
"2360284","","0","2162057","2163035","","B08"
"2360285","","0","2160572","2163035","","B01"
"2360286","","0","2160572","2163035","","B05"
"2360288","","0","2160538","2163035","","B06"
"2360293","","0","2160939","2163036","","B05"
"2360297","","0","2160337","2163037","","B01"
"2360298","","0","2160336","2163037","","B02"
"2360303","","0","2161194","2163037","","B10"
"2360304","","0","2162069","2163037","","B11"
"2360319","","0","2161392","2163039","","B02"
"2360325","","0","2160371","2163039","","B05"
"2360328","","0","2161084","2163039","","B12"
"2360329","","0","2162585","2163039","","B11"
"2360330","","0","2162463","2163039","","B10"
"2360334","","0","2161237","2163040","","B04"
"2360340","","0","2161453","2163042","","B01"
"2360363","","0","2161417","2163046","","B01"
"2360365","","4","2162717","2163046","","B03"
"2360366","","1","2163301","2163046","","B04"
"2360368","","0","2160442","2163048","","B01"
"2360369","","0","2160572","2163049","","B01"
"2360370","","0","2160538","2163049","","B02"
"2360372","","0","2162057","2163049","","B04"
"2360373","","0","2160572","2163049","","B05"
"2360374","","0","2160538","2163049","","B06"
"2360376","","0","2162057","2163049","","B08"
"2360389","","0","2161396","2163052","","B06"
"2360390","","0","2163330","2163052","","B01"
"2360392","","0","2162698","2163052","","B08"
"2360396","","0","2160336","2163053","","B07"
"2360397","","0","2161410","2163053","","B02"
"2360399","","0","2160337","2163053","","B08"
"2360400","","0","2162708","2163053","","B04"
"2360405","","0","2160400","2163053","","B05"
"2360407","","0","2161402","2163054","","B02"
"2360408","","0","2160780","2163054","","B03"
"2360409","","0","2162699","2163054","","B04"
"2360410","","0","2160393","2163054","","B05"
"2360417","","0","2161392","2163056","","B02"
"2360420","","0","2160371","2163056","","B05"
"2360424","","0","2162463","2163056","","B10"
"2360425","","0","2162585","2163056","","B11"
"2360427","","0","2162018","2163057","","B02"
"2360429","","0","2161639","2163057","",""
"2360430","","0","2161641","2163057","",""
"2360431","","0","2161643","2163057","",""
"2360435","","0","2162017","2163057","",""
"2360437","","","2161638","2163057","",""
"2360441","","4","2162951","2163058","","B07"
"2360446","","0","2161396","2163059","","B06"
"2360448","","0","2162698","2163059","","B08"
"2360449","","0","2161073","2163059","","B10"
"2360461","","0","2161634","2163061","","B01"
"2360468","","0","2161073","2163063","","B02"
"2360476","","0","2161399","2163072","",""
"2360477","","0","2160538","2163074","","B04"
"2360478","","0","2160572","2163074","","B01"
"2360479","","0","2162055","2163074","","B05"
"2360482","","4","2160768","2163074","","B06"
"2360489","","0","2162387","2163077","","B04"
"2360491","","0","2161455","2163079","","B01"
"2360492","","0","2162757","2163079","","B04"
"2360493","","0","2160444","2163079","","B02"
"2360495","","0","2161399","2163079","","B05"
"2360499","","0","2161392","2163080","","B02"
"2360502","","0","2160371","2163080","","B05"
"2360507","","0","2162463","2163080","","B10"
"2360508","","0","2162585","2163080","","B11"
"2360522","","0","2161399","2163083","","B02"
"2360523","","0","2162654","2163083","","B04"
"2360524","","0","2162532","2163083","","B03"
"2360525","","0","2160568","2163084","","B02"
"2360526","","0","2160897","2163084","","B03"
"2360527","","0","2160538","2163084","","B01"
"2360528","","0","2161410","2163088","","B01"
"2360529","","0","2162708","2163088","","B02"
"2360530","","0","2160336","2163088","","B04"
"2360531","","0","2160337","2163088","","B05"
"2360533","","0","2162461","2163088","","B06"
"2360534","","0","2162583","2163088","","B07"
"2360535","","1","2161528","2163088","","B08"
"2360536","","2","2160930","2163088","","B09"
"2360537","","0","2160575","2163089","","B01"
"2360539","","0","2160572","2163090","","B01"
"2360540","","0","2160538","2163090","","B02"
"2360542","","0","2162057","2163090","","B04"
"2360543","","0","2160572","2163090","","B05"
"2360544","","0","2160538","2163090","","B06"
"2360546","","0","2162057","2163090","","B08"
"2360547","","0","2160400","2163091","","B01"
"2360554","","0","2160941","2163093","","B04"
"2360557","","0","2161194","2163094","","B10"
